                              Millimeters         
Date,None
2006-01-01,3.5
2006-01-02,2.2
2006-01-03,.0
2006-01-04,.0
2006-01-05,3.0
2006-01-06,.0
2006-01-07,.0
2006-01-08,2.1
2006-01-09,5.5
2006-01-10,3.0
2006-01-11,2.6
2006-01-12,20.0
2006-01-13,95.5
2006-01-14,2.5
2006-01-15,.0
2006-01-16,.0
2006-01-17,.0
2006-01-18,.0
2006-01-19,.0
2006-01-20,.0
2006-01-21,.0
2006-01-22,.0
2006-01-23,.0
2006-01-24,.0
2006-01-25,.0
2006-01-26,.0
2006-01-27,7.0
2006-01-28,3.5
2006-01-29,.0
2006-01-30,.0
2006-01-31,.0
2006-02-01,.0
2006-02-02,.0
2006-02-03,.0
2006-02-04,18.0
2006-02-05,2.0
2006-02-06,.0
2006-02-07,.0
2006-02-08,9.0
2006-02-09,35.0
2006-02-10,.0
2006-02-11,.0
2006-02-12,.0
2006-02-13,1.0
2006-02-14,.0
2006-02-15,.0
2006-02-16,.0
2006-02-17,.0
2006-02-18,.0
2006-02-19,.0
2006-02-20,.0
2006-02-21,.0
2006-02-22,.0
2006-02-23,.0
2006-02-24,.0
2006-02-25,.0
2006-02-26,.0
2006-02-27,.0
2006-02-28,.0
2006-03-01,.0
2006-03-02,.0
2006-03-03,.0
2006-03-04,.0
2006-03-05,5.5
2006-03-06,2.0
2006-03-07,1.0
2006-03-08,.0
2006-03-09,.0
2006-03-10,.0
2006-03-11,.0
2006-03-12,.0
2006-03-13,2.0
2006-03-14,1.0
2006-03-15,.0
2006-03-16,.0
2006-03-17,.0
2006-03-18,.0
2006-03-19,.0
2006-03-20,.0
2006-03-21,.0
2006-03-22,.0
2006-03-23,.0
2006-03-24,.0
2006-03-25,.0
2006-03-26,.0
2006-03-27,.0
2006-03-28,1.0
2006-03-29,1.0
2006-03-30,.0
2006-03-31,.0
2006-04-01,.0
2006-04-02,.0
2006-04-03,1.5
2006-04-04,1.0
2006-04-05,.0
2006-04-06,.0
2006-04-07,.0
2006-04-08,.0
2006-04-09,.0
2006-04-10,.0
2006-04-11,.0
2006-04-12,.0
2006-04-13,.0
2006-04-14,.0
2006-04-15,25.0
2006-04-16,50.0
2006-04-17,75.0
2006-04-18,5.0
2006-04-19,25.0
2006-04-20,5.0
2006-04-21,.0
2006-04-22,.0
2006-04-23,.0
2006-04-24,.0
2006-04-25,.0
2006-04-26,.0
2006-04-27,.0
2006-04-28,.0
2006-04-29,.0
2006-04-30,.0
