                              DODANGASLANDA           
                              LAT:  7.57N    LON: 80.53E    ELEV:  165.0M
                              Precip, daily   
                              Millimeters         
Date,Precip
2008-01-01,-9.9
2008-01-02,-9.9
2008-01-03,-9.9
2008-01-04,-9.9
2008-01-05,-9.9
2008-01-06,-9.9
2008-01-07,-9.9
2008-01-08,-9.9
2008-01-09,-9.9
2008-01-10,-9.9
2008-01-11,-9.9
2008-01-12,-9.9
2008-01-13,-9.9
2008-01-14,-9.9
2008-01-15,-9.9
2008-01-16,-9.9
2008-01-17,-9.9
2008-01-18,-9.9
2008-01-19,-9.9
2008-01-20,-9.9
2008-01-21,-9.9
2008-01-22,-9.9
2008-01-23,-9.9
2008-01-24,-9.9
2008-01-25,-9.9
2008-01-26,-9.9
2008-01-27,-9.9
2008-01-28,-9.9
2008-01-29,-9.9
2008-01-30,-9.9
2008-01-31,-9.9
2008-02-01,-9.9
2008-02-02,-9.9
2008-02-03,-9.9
2008-02-04,-9.9
2008-02-05,-9.9
2008-02-06,-9.9
2008-02-07,-9.9
2008-02-08,-9.9
2008-02-09,-9.9
2008-02-10,-9.9
2008-02-11,-9.9
2008-02-12,-9.9
2008-02-13,-9.9
2008-02-14,-9.9
2008-02-15,-9.9
2008-02-16,-9.9
2008-02-17,-9.9
2008-02-18,-9.9
2008-02-19,-9.9
2008-02-20,-9.9
2008-02-21,-9.9
2008-02-22,-9.9
2008-02-23,-9.9
2008-02-24,-9.9
2008-02-25,-9.9
2008-02-26,-9.9
2008-02-27,-9.9
2008-02-28,-9.9
2008-02-29,-9.9
2008-03-01,-9.9
2008-03-02,-9.9
2008-03-03,-9.9
2008-03-04,-9.9
2008-03-05,-9.9
2008-03-06,-9.9
2008-03-07,-9.9
2008-03-08,-9.9
2008-03-09,-9.9
2008-03-10,-9.9
2008-03-11,-9.9
2008-03-12,-9.9
2008-03-13,-9.9
2008-03-14,-9.9
2008-03-15,-9.9
2008-03-16,-9.9
2008-03-17,-9.9
2008-03-18,-9.9
2008-03-19,-9.9
2008-03-20,-9.9
2008-03-21,-9.9
2008-03-22,-9.9
2008-03-23,-9.9
2008-03-24,-9.9
2008-03-25,-9.9
2008-03-26,-9.9
2008-03-27,-9.9
2008-03-28,-9.9
2008-03-29,-9.9
2008-03-30,-9.9
2008-03-31,-9.9
2008-04-01,.9
2008-04-02,14.3
2008-04-03,.0
2008-04-04,.6
2008-04-05,.0
2008-04-06,5.5
2008-04-07,3.2
2008-04-08,1.0
2008-04-09,.9
2008-04-10,.5
2008-04-11,7.8
2008-04-12,6.9
2008-04-13,2.6
2008-04-14,11.5
2008-04-15,5.3
2008-04-16,.0
2008-04-17,.0
2008-04-18,22.6
2008-04-19,16.2
2008-04-20,.0
2008-04-21,.0
2008-04-22,.0
2008-04-23,.0
2008-04-24,.0
2008-04-25,.8
2008-04-26,18.6
2008-04-27,45.8
2008-04-28,.0
2008-04-29,.0
2008-04-30,.0
2008-05-01,.0
2008-05-02,.0
2008-05-03,.0
2008-05-04,.0
2008-05-05,.0
2008-05-06,.0
2008-05-07,.0
2008-05-08,.0
2008-05-09,.0
2008-05-10,.0
2008-05-11,.0
2008-05-12,.0
2008-05-13,2.4
2008-05-14,.0
2008-05-15,.0
2008-05-16,.0
2008-05-17,.0
2008-05-18,.0
2008-05-19,.0
2008-05-20,.0
2008-05-21,.0
2008-05-22,66.5
2008-05-23,5.7
2008-05-24,.0
2008-05-25,.0
2008-05-26,.0
2008-05-27,.0
2008-05-28,.0
2008-05-29,.0
2008-05-30,.7
2008-05-31,.0
2008-06-01,.0
2008-06-02,2.1
2008-06-03,10.9
2008-06-04,.0
2008-06-05,.0
2008-06-06,1.2
2008-06-07,.0
2008-06-08,1.1
2008-06-09,.7
2008-06-10,.0
2008-06-11,6.1
2008-06-12,.0
2008-06-13,.0
2008-06-14,.0
2008-06-15,.0
2008-06-16,.0
2008-06-17,.0
2008-06-18,7.2
