                              HAPUTALE (UPPER OHIYA)  
                              LAT:  6.78N    LON: 80.85E    ELEV: ******M
                              Precip, daily   
                              Millimeters         
Date,Precip
1991-01-01,60.4
1991-01-02,20.0
1991-01-03,18.4
1991-01-04,18.4
1991-01-05,30.4
1991-01-06,3.4
1991-01-07,18.4
1991-01-08,27.5
1991-01-09,19.4
1991-01-10,21.5
1991-01-11,23.4
1991-01-12,23.8
1991-01-13,.0
1991-01-14,.0
1991-01-15,20.7
1991-01-16,33.6
1991-01-17,48.4
1991-01-18,29.3
1991-01-19,26.5
1991-01-20,.0
1991-01-21,.0
1991-01-22,.0
1991-01-23,.0
1991-01-24,.0
1991-01-25,.0
1991-01-26,.0
1991-01-27,.0
1991-01-28,.0
1991-01-29,.0
1991-01-30,.0
1991-01-31,.0
1991-02-01,.0
1991-02-02,.0
1991-02-03,.0
1991-02-04,.0
1991-02-05,.0
1991-02-06,28.9
1991-02-07,16.4
1991-02-08,.0
1991-02-09,.0
1991-02-10,.0
1991-02-11,.0
1991-02-12,.0
1991-02-13,.0
1991-02-14,.0
1991-02-15,.0
1991-02-16,.0
1991-02-17,.0
1991-02-18,.0
1991-02-19,.0
1991-02-20,.0
1991-02-21,6.2
1991-02-22,.0
1991-02-23,.0
1991-02-24,.0
1991-02-25,.0
1991-02-26,1.7
1991-02-27,.0
1991-02-28,.0
1991-03-01,.5
1991-03-02,3.7
1991-03-03,60.0
1991-03-04,.0
1991-03-05,4.5
1991-03-06,.0
1991-03-07,.0
1991-03-08,.0
1991-03-09,.0
1991-03-10,49.0
1991-03-11,.0
1991-03-12,.0
1991-03-13,.0
1991-03-14,.0
1991-03-15,.0
1991-03-16,.0
1991-03-17,.0
1991-03-18,.0
1991-03-19,.0
1991-03-20,.0
1991-03-21,.0
1991-03-22,.0
1991-03-23,.0
1991-03-24,.0
1991-03-25,5.0
1991-03-26,.0
1991-03-27,10.5
1991-03-28,.0
1991-03-29,.0
1991-03-30,10.1
1991-03-31,20.3
1991-04-01,20.3
1991-04-02,.0
1991-04-03,.0
1991-04-04,.0
1991-04-05,30.2
1991-04-06,5.0
1991-04-07,.0
1991-04-08,15.1
1991-04-09,10.2
1991-04-10,.0
1991-04-11,.0
1991-04-12,.0
1991-04-13,.0
1991-04-14,.0
1991-04-15,.0
1991-04-16,.0
1991-04-17,.0
1991-04-18,.0
1991-04-19,.0
1991-04-20,.0
1991-04-21,20.3
1991-04-22,.0
1991-04-23,30.8
1991-04-24,.0
1991-04-25,.0
1991-04-26,.0
1991-04-27,.0
1991-04-28,.0
1991-04-29,.0
1991-04-30,.0
1991-05-01,.0
1991-05-02,.0
1991-05-03,.0
1991-05-04,.0
1991-05-05,.0
1991-05-06,.0
1991-05-07,.7
1991-05-08,.8
1991-05-09,2.4
1991-05-10,.0
1991-05-11,.0
1991-05-12,36.0
1991-05-13,37.5
1991-05-14,42.5
1991-05-15,39.4
1991-05-16,29.3
1991-05-17,31.2
1991-05-18,11.4
1991-05-19,20.1
1991-05-20,15.2
1991-05-21,18.5
1991-05-22,6.4
1991-05-23,4.3
1991-05-24,5.3
1991-05-25,12.4
1991-05-26,35.4
1991-05-27,45.8
1991-05-28,30.0
1991-05-29,.0
1991-05-30,10.3
1991-05-31,10.5
1991-06-01,18.0
1991-06-02,24.0
1991-06-03,6.0
1991-06-04,7.8
1991-06-05,2.5
1991-06-06,.0
1991-06-07,.0
1991-06-08,.0
1991-06-09,28.0
1991-06-10,.0
1991-06-11,.0
1991-06-12,8.0
1991-06-13,4.0
1991-06-14,5.5
1991-06-15,.0
1991-06-16,.0
1991-06-17,.0
1991-06-18,.0
1991-06-19,.0
1991-06-20,17.5
1991-06-21,12.5
1991-06-22,1.5
1991-06-23,.0
1991-06-24,.0
1991-06-25,1.0
1991-06-26,.0
1991-06-27,.0
1991-06-28,1.0
1991-06-29,1.0
1991-06-30,.0
1991-07-01,.0
