                              KINIGAMA                
                              LAT:  6.83N    LON: 81.05E    ELEV: ******M
                              Precip, daily   
                              Millimeters         
Date,Precip
1991-01-01,NA
1991-01-02,NA
1991-01-03,NA
1991-01-04,NA
1991-01-05,NA
1991-01-06,NA
1991-01-07,NA
1991-01-08,NA
1991-01-09,NA
1991-01-10,NA
1991-01-11,NA
1991-01-12,NA
1991-01-13,NA
1991-01-14,NA
1991-01-15,NA
1991-01-16,NA
1991-01-17,NA
1991-01-18,NA
1991-01-19,NA
1991-01-20,NA
1991-01-21,NA
1991-01-22,NA
1991-01-23,NA
1991-01-24,NA
1991-01-25,NA
1991-01-26,NA
1991-01-27,NA
1991-01-28,NA
1991-01-29,NA
1991-01-30,NA
1991-01-31,NA
1991-02-01,NA
1991-02-02,NA
1991-02-03,NA
1991-02-04,NA
1991-02-05,NA
1991-02-06,NA
1991-02-07,NA
1991-02-08,NA
1991-02-09,NA
1991-02-10,NA
1991-02-11,NA
1991-02-12,NA
1991-02-13,NA
1991-02-14,NA
1991-02-15,NA
1991-02-16,NA
1991-02-17,NA
1991-02-18,NA
1991-02-19,NA
1991-02-20,NA
1991-02-21,NA
1991-02-22,NA
1991-02-23,NA
1991-02-24,NA
1991-02-25,NA
1991-02-26,NA
1991-02-27,NA
1991-02-28,NA
1991-03-01,NA
1991-03-02,NA
1991-03-03,NA
1991-03-04,NA
1991-03-05,NA
1991-03-06,NA
1991-03-07,NA
1991-03-08,NA
1991-03-09,NA
1991-03-10,NA
1991-03-11,NA
1991-03-12,NA
1991-03-13,NA
1991-03-14,NA
1991-03-15,NA
1991-03-16,NA
1991-03-17,NA
1991-03-18,NA
1991-03-19,NA
1991-03-20,NA
1991-03-21,NA
1991-03-22,NA
1991-03-23,NA
1991-03-24,NA
1991-03-25,NA
1991-03-26,NA
1991-03-27,NA
1991-03-28,NA
1991-03-29,NA
1991-03-30,NA
1991-03-31,NA
1991-04-01,NA
1991-04-02,NA
1991-04-03,NA
1991-04-04,NA
1991-04-05,NA
1991-04-06,NA
1991-04-07,NA
1991-04-08,NA
1991-04-09,NA
1991-04-10,NA
1991-04-11,NA
1991-04-12,NA
1991-04-13,NA
1991-04-14,NA
1991-04-15,NA
1991-04-16,NA
1991-04-17,NA
1991-04-18,NA
1991-04-19,NA
1991-04-20,NA
1991-04-21,NA
1991-04-22,NA
1991-04-23,NA
1991-04-24,NA
1991-04-25,NA
1991-04-26,NA
1991-04-27,NA
1991-04-28,NA
1991-04-29,NA
1991-04-30,NA
1991-05-01,NA
1991-05-02,NA
1991-05-03,NA
1991-05-04,NA
1991-05-05,NA
1991-05-06,NA
1991-05-07,NA
1991-05-08,NA
1991-05-09,NA
1991-05-10,NA
1991-05-11,NA
1991-05-12,NA
1991-05-13,NA
1991-05-14,NA
1991-05-15,NA
1991-05-16,NA
1991-05-17,NA
1991-05-18,NA
1991-05-19,NA
1991-05-20,NA
1991-05-21,NA
1991-05-22,NA
1991-05-23,NA
1991-05-24,NA
1991-05-25,NA
1991-05-26,NA
1991-05-27,NA
1991-05-28,NA
1991-05-29,NA
1991-05-30,NA
1991-05-31,NA
1991-06-01,NA
1991-06-02,NA
1991-06-03,NA
1991-06-04,NA
1991-06-05,NA
1991-06-06,NA
1991-06-07,NA
1991-06-08,NA
1991-06-09,NA
1991-06-10,NA
1991-06-11,NA
1991-06-12,NA
1991-06-13,NA
1991-06-14,NA
1991-06-15,NA
1991-06-16,NA
1991-06-17,NA
1991-06-18,NA
1991-06-19,NA
1991-06-20,NA
1991-06-21,NA
1991-06-22,NA
1991-06-23,NA
1991-06-24,NA
1991-06-25,NA
1991-06-26,NA
1991-06-27,NA
1991-06-28,NA
1991-06-29,NA
1991-06-30,NA
1991-07-01,NA
1991-07-02,NA
1991-07-03,NA
1991-07-04,NA
1991-07-05,NA
1991-07-06,NA
1991-07-07,NA
1991-07-08,NA
1991-07-09,NA
