                              Millimeters         
Date,None
1991-01-01,NA
1991-01-02,NA
1991-01-03,NA
1991-01-04,NA
1991-01-05,NA
1991-01-06,NA
1991-01-07,NA
1991-01-08,NA
1991-01-09,NA
1991-01-10,NA
1991-01-11,NA
1991-01-12,NA
1991-01-13,NA
1991-01-14,NA
1991-01-15,NA
1991-01-16,NA
1991-01-17,NA
1991-01-18,NA
1991-01-19,NA
1991-01-20,NA
1991-01-21,NA
1991-01-22,NA
1991-01-23,NA
1991-01-24,NA
1991-01-25,NA
1991-01-26,NA
1991-01-27,NA
1991-01-28,NA
1991-01-29,NA
1991-01-30,NA
1991-01-31,NA
1991-02-01,NA
1991-02-02,NA
1991-02-03,NA
1991-02-04,NA
1991-02-05,NA
1991-02-06,NA
1991-02-07,NA
1991-02-08,NA
1991-02-09,NA
1991-02-10,NA
1991-02-11,NA
1991-02-12,NA
1991-02-13,NA
1991-02-14,NA
1991-02-15,NA
1991-02-16,NA
1991-02-17,NA
1991-02-18,NA
1991-02-19,NA
1991-02-20,NA
1991-02-21,NA
1991-02-22,NA
1991-02-23,NA
1991-02-24,NA
1991-02-25,NA
1991-02-26,NA
1991-02-27,NA
1991-02-28,NA
1991-03-01,NA
1991-03-02,NA
1991-03-03,NA
1991-03-04,NA
1991-03-05,NA
1991-03-06,NA
1991-03-07,NA
1991-03-08,NA
1991-03-09,NA
1991-03-10,NA
1991-03-11,NA
1991-03-12,NA
1991-03-13,NA
1991-03-14,NA
1991-03-15,NA
1991-03-16,NA
1991-03-17,NA
1991-03-18,NA
1991-03-19,NA
1991-03-20,NA
1991-03-21,NA
1991-03-22,NA
1991-03-23,NA
1991-03-24,NA
1991-03-25,NA
1991-03-26,NA
1991-03-27,NA
1991-03-28,NA
1991-03-29,NA
1991-03-30,NA
1991-03-31,NA
1991-04-01,.0
1991-04-02,28.0
1991-04-03,13.0
1991-04-04,1.5
1991-04-05,13.1
1991-04-06,2.5
1991-04-07,1.0
1991-04-08,.0
1991-04-09,4.5
1991-04-10,11.0
1991-04-11,.0
1991-04-12,.0
1991-04-13,.0
1991-04-14,8.0
1991-04-15,13.0
1991-04-16,.0
1991-04-17,.0
1991-04-18,.0
1991-04-19,.0
1991-04-20,.0
1991-04-21,.0
1991-04-22,5.5
1991-04-23,6.0
1991-04-24,2.5
1991-04-25,.0
1991-04-26,.0
1991-04-27,.0
1991-04-28,13.0
1991-04-29,.0
1991-04-30,.0
1991-05-01,.0
1991-05-02,.0
1991-05-03,.0
1991-05-04,.0
1991-05-05,.0
1991-05-06,7.0
1991-05-07,.0
1991-05-08,.0
1991-05-09,.0
1991-05-10,.0
1991-05-11,32.0
1991-05-12,1.0
1991-05-13,1.0
1991-05-14,14.0
1991-05-15,5.0
1991-05-16,3.2
1991-05-17,22.0
1991-05-18,.0
1991-05-19,2.5
1991-05-20,.0
1991-05-21,3.5
1991-05-22,27.0
1991-05-23,.0
1991-05-24,8.5
