                              POLONNARUWA             
                              LAT:  7.87N    LON: 81.05E    ELEV:   43.0M
                              Temp, daily max 
                              Degrees C           
Date,Temp.max
2009-01-01,NA
2009-01-02,NA
2009-01-03,NA
2009-01-04,NA
2009-01-05,NA
2009-01-06,NA
2009-01-07,NA
2009-01-08,NA
2009-01-09,NA
2009-01-10,NA
2009-01-11,NA
2009-01-12,NA
2009-01-13,NA
2009-01-14,NA
2009-01-15,NA
2009-01-16,NA
2009-01-17,NA
2009-01-18,NA
2009-01-19,NA
2009-01-20,NA
2009-01-21,NA
2009-01-22,NA
2009-01-23,NA
2009-01-24,NA
2009-01-25,NA
2009-01-26,NA
2009-01-27,NA
2009-01-28,NA
2009-01-29,NA
2009-01-30,NA
2009-01-31,NA
2009-02-01,30.9
2009-02-02,31.0
2009-02-03,30.7
2009-02-04,30.9
2009-02-05,30.5
2009-02-06,30.6
2009-02-07,30.7
2009-02-08,30.1
2009-02-09,30.6
2009-02-10,31.2
2009-02-11,31.5
2009-02-12,32.0
2009-02-13,31.0
2009-02-14,31.2
2009-02-15,31.0
2009-02-16,31.7
2009-02-17,29.5
2009-02-18,30.5
2009-02-19,29.4
2009-02-20,31.7
2009-02-21,32.5
2009-02-22,30.5
2009-02-23,32.7
2009-02-24,33.5
2009-02-25,34.3
2009-02-26,34.2
2009-02-27,34.1
2009-02-28,34.7
2009-03-01,34.9
2009-03-02,34.9
2009-03-03,35.0
2009-03-04,34.7
2009-03-05,35.1
2009-03-06,35.1
2009-03-07,35.0
2009-03-08,32.7
2009-03-09,32.0
2009-03-10,32.9
2009-03-11,31.6
2009-03-12,33.3
2009-03-13,32.1
2009-03-14,30.8
2009-03-15,33.0
2009-03-16,33.7
2009-03-17,33.3
2009-03-18,34.0
2009-03-19,34.4
2009-03-20,34.8
2009-03-21,34.9
2009-03-22,34.5
2009-03-23,34.3
2009-03-24,34.0
2009-03-25,34.3
2009-03-26,34.9
2009-03-27,34.9
2009-03-28,35.3
2009-03-29,34.0
2009-03-30,33.5
2009-03-31,34.4
2009-04-01,35.0
2009-04-02,34.6
2009-04-03,34.4
2009-04-04,33.0
2009-04-05,34.6
2009-04-06,35.0
2009-04-07,35.7
2009-04-08,33.2
2009-04-09,32.4
2009-04-10,30.7
2009-04-11,28.7
2009-04-12,31.4
2009-04-13,33.6
2009-04-14,33.0
2009-04-15,35.0
2009-04-16,34.3
2009-04-17,35.3
2009-04-18,35.6
2009-04-19,34.6
2009-04-20,34.0
2009-04-21,34.7
2009-04-22,34.5
2009-04-23,35.3
2009-04-24,36.0
2009-04-25,35.0
2009-04-26,35.3
2009-04-27,35.4
2009-04-28,35.5
2009-04-29,34.9
2009-04-30,35.0
2009-05-01,35.0
2009-05-02,36.1
2009-05-03,37.0
2009-05-04,36.4
2009-05-05,36.0
2009-05-06,35.6
2009-05-07,36.2
2009-05-08,36.6
2009-05-09,35.4
2009-05-10,35.9
2009-05-11,36.4
2009-05-12,37.0
2009-05-13,35.9
2009-05-14,35.9
2009-05-15,37.0
2009-05-16,36.9
2009-05-17,32.3
2009-05-18,35.8
2009-05-19,34.3
2009-05-20,31.1
2009-05-21,33.1
2009-05-22,34.1
2009-05-23,34.7
2009-05-24,33.3
2009-05-25,33.7
2009-05-26,31.4
2009-05-27,36.0
2009-05-28,35.6
2009-05-29,35.8
2009-05-30,35.1
2009-05-31,35.2
2009-06-01,35.1
2009-06-02,36.1
2009-06-03,35.7
2009-06-04,35.7
2009-06-05,34.0
2009-06-06,35.2
2009-06-07,33.9
2009-06-08,35.4
2009-06-09,35.7
2009-06-10,36.0
2009-06-11,36.2
2009-06-12,34.5
2009-06-13,35.5
2009-06-14,36.5
2009-06-15,36.2
2009-06-16,36.2
2009-06-17,35.3
2009-06-18,35.2
2009-06-19,33.8
2009-06-20,35.2
2009-06-21,36.1
2009-06-22,35.6
2009-06-23,35.9
2009-06-24,35.7
2009-06-25,35.3
2009-06-26,34.7
2009-06-27,34.6
2009-06-28,35.6
2009-06-29,35.9
2009-06-30,34.4
2009-07-01,34.4
2009-07-02,34.0
2009-07-03,34.0
2009-07-04,34.1
2009-07-05,35.1
2009-07-06,34.6
2009-07-07,36.3
2009-07-08,36.0
2009-07-09,34.9
2009-07-10,36.3
2009-07-11,36.2
2009-07-12,36.2
2009-07-13,36.4
2009-07-14,33.9
2009-07-15,35.2
2009-07-16,33.6
2009-07-17,34.9
2009-07-18,35.4
2009-07-19,35.0
2009-07-20,34.8
2009-07-21,35.5
2009-07-22,35.7
2009-07-23,36.5
2009-07-24,37.4
2009-07-25,37.1
2009-07-26,35.8
2009-07-27,35.4
2009-07-28,35.9
2009-07-29,36.8
2009-07-30,36.9
2009-07-31,36.4
2009-08-01,32.9
2009-08-02,34.1
2009-08-03,35.8
2009-08-04,35.6
2009-08-05,36.2
2009-08-06,35.9
2009-08-07,36.1
2009-08-08,36.5
2009-08-09,36.7
2009-08-10,36.7
2009-08-11,36.8
2009-08-12,37.2
2009-08-13,37.1
2009-08-14,36.0
2009-08-15,34.5
2009-08-16,34.3
2009-08-17,31.7
2009-08-18,32.4
2009-08-19,36.1
2009-08-20,32.5
2009-08-21,32.6
2009-08-22,34.0
2009-08-23,34.5
2009-08-24,32.5
2009-08-25,34.8
2009-08-26,34.5
2009-08-27,34.8
2009-08-28,34.3
2009-08-29,35.1
2009-08-30,34.6
2009-08-31,33.5
2009-09-01,34.5
2009-09-02,34.6
2009-09-03,34.2
2009-09-04,33.4
2009-09-05,34.4
2009-09-06,33.9
2009-09-07,34.6
2009-09-08,34.4
2009-09-09,36.1
2009-09-10,36.7
2009-09-11,38.5
2009-09-12,37.5
2009-09-13,37.0
2009-09-14,35.9
2009-09-15,36.0
2009-09-16,37.2
2009-09-17,35.7
2009-09-18,35.4
2009-09-19,36.4
2009-09-20,36.2
2009-09-21,33.8
2009-09-22,34.6
2009-09-23,35.8
2009-09-24,36.1
2009-09-25,36.6
2009-09-26,36.4
2009-09-27,36.4
2009-09-28,37.1
2009-09-29,33.0
2009-09-30,33.9
2009-10-01,34.6
2009-10-02,32.2
2009-10-03,35.0
2009-10-04,34.6
2009-10-05,35.9
2009-10-06,35.7
2009-10-07,34.5
2009-10-08,36.9
2009-10-09,37.6
2009-10-10,37.8
2009-10-11,37.5
2009-10-12,36.0
2009-10-13,37.0
2009-10-14,36.2
2009-10-15,36.2
2009-10-16,37.6
2009-10-17,36.6
2009-10-18,37.4
2009-10-19,37.3
2009-10-20,36.7
2009-10-21,36.5
2009-10-22,36.0
2009-10-23,35.4
2009-10-24,36.2
2009-10-25,35.8
2009-10-26,35.5
2009-10-27,35.7
2009-10-28,34.2
2009-10-29,31.0
2009-10-30,31.0
2009-10-31,30.4
2009-11-01,30.4
2009-11-02,26.9
2009-11-03,27.7
2009-11-04,27.9
2009-11-05,30.5
2009-11-06,31.4
2009-11-07,31.4
2009-11-08,32.4
2009-11-09,32.3
2009-11-10,32.0
2009-11-11,33.4
2009-11-12,30.5
2009-11-13,30.7
2009-11-14,29.0
2009-11-15,24.9
2009-11-16,32.5
2009-11-17,33.0
2009-11-18,31.3
2009-11-19,33.0
2009-11-20,26.4
2009-11-21,30.2
2009-11-22,29.8
2009-11-23,31.8
2009-11-24,31.3
2009-11-25,30.4
2009-11-26,31.0
2009-11-27,30.8
2009-11-28,28.4
2009-11-29,32.5
2009-11-30,31.3
2009-12-01,32.0
2009-12-02,31.3
2009-12-03,32.0
2009-12-04,31.5
2009-12-05,30.5
2009-12-06,29.5
2009-12-07,29.5
2009-12-08,28.2
2009-12-09,27.3
2009-12-10,27.0
2009-12-11,29.7
2009-12-12,27.3
2009-12-13,29.6
2009-12-14,27.6
2009-12-15,25.7
2009-12-16,31.7
2009-12-17,31.7
2009-12-18,31.1
2009-12-19,30.1
2009-12-20,30.3
2009-12-21,27.7
2009-12-22,28.7
2009-12-23,26.4
2009-12-24,29.1
2009-12-25,24.6
2009-12-26,29.7
2009-12-27,25.3
2009-12-28,29.3
2009-12-29,28.7
2009-12-30,30.3
2009-12-31,30.4
2010-01-01,30.0
2010-01-02,29.7
2010-01-03,28.9
2010-01-04,28.9
2010-01-05,29.4
2010-01-06,29.5
2010-01-07,27.6
2010-01-08,27.9
2010-01-09,32.0
2010-01-10,33.0
2010-01-11,32.5
2010-01-12,32.5
2010-01-13,31.6
2010-01-14,31.7
2010-01-15,30.3
2010-01-16,30.5
2010-01-17,30.4
2010-01-18,27.3
2010-01-19,30.5
2010-01-20,30.7
2010-01-21,29.8
2010-01-22,29.9
2010-01-23,30.3
2010-01-24,30.9
2010-01-25,31.1
2010-01-26,31.2
2010-01-27,30.4
2010-01-28,30.8
2010-01-29,30.2
2010-01-30,28.0
2010-01-31,27.0
2010-02-01,30.3
2010-02-02,28.8
2010-02-03,29.6
2010-02-04,30.4
2010-02-05,30.9
2010-02-06,30.6
2010-02-07,30.2
2010-02-08,30.6
2010-02-09,30.0
2010-02-10,31.7
2010-02-11,30.5
2010-02-12,28.7
2010-02-13,31.8
2010-02-14,32.6
2010-02-15,32.3
2010-02-16,27.8
2010-02-17,31.5
2010-02-18,32.7
2010-02-19,32.1
2010-02-20,32.7
2010-02-21,32.3
2010-02-22,31.9
2010-02-23,32.5
2010-02-24,32.7
2010-02-25,33.7
2010-02-26,33.7
2010-02-27,32.5
2010-02-28,33.1
2010-03-01,32.7
2010-03-02,32.7
2010-03-03,33.7
2010-03-04,34.1
2010-03-05,34.7
2010-03-06,34.5
2010-03-07,36.1
2010-03-08,34.5
2010-03-09,33.7
2010-03-10,33.7
2010-03-11,33.5
2010-03-12,33.3
2010-03-13,34.1
2010-03-14,35.0
2010-03-15,35.6
2010-03-16,35.3
2010-03-17,34.0
2010-03-18,33.3
2010-03-19,34.3
2010-03-20,35.5
2010-03-21,35.2
2010-03-22,35.2
2010-03-23,35.9
2010-03-24,33.3
2010-03-25,35.8
2010-03-26,36.1
2010-03-27,34.0
2010-03-28,32.9
2010-03-29,35.2
2010-03-30,34.8
2010-03-31,35.3
2010-04-01,35.0
2010-04-02,34.6
2010-04-03,34.4
2010-04-04,33.0
2010-04-05,34.6
2010-04-06,35.0
2010-04-07,35.7
2010-04-08,33.2
2010-04-09,32.4
2010-04-10,30.7
2010-04-11,28.7
2010-04-12,31.4
2010-04-13,33.6
2010-04-14,33.0
2010-04-15,35.0
2010-04-16,34.3
2010-04-17,35.3
2010-04-18,35.6
2010-04-19,34.6
2010-04-20,34.0
2010-04-21,34.7
2010-04-22,34.5
2010-04-23,35.3
2010-04-24,36.0
2010-04-25,35.0
2010-04-26,35.3
2010-04-27,35.4
2010-04-28,35.5
2010-04-29,34.9
2010-04-30,35.0
2010-05-01,34.8
2010-05-02,35.3
2010-05-03,35.5
2010-05-04,34.8
2010-05-05,35.1
2010-05-06,36.1
2010-05-07,35.7
2010-05-08,35.1
2010-05-09,34.2
2010-05-10,35.5
2010-05-11,35.5
2010-05-12,35.2
2010-05-13,35.5
2010-05-14,36.1
2010-05-15,35.6
2010-05-16,34.7
2010-05-17,32.8
2010-05-18,32.3
2010-05-19,33.2
2010-05-20,32.3
2010-05-21,33.9
2010-05-22,34.3
2010-05-23,34.7
2010-05-24,34.5
2010-05-25,33.6
2010-05-26,34.6
2010-05-27,34.8
2010-05-28,35.0
2010-05-29,35.1
2010-05-30,35.7
2010-05-31,35.0
2010-06-01,36.9
2010-06-02,36.6
2010-06-03,37.0
2010-06-04,36.7
2010-06-05,36.0
2010-06-06,34.4
2010-06-07,35.6
2010-06-08,31.2
2010-06-09,34.2
2010-06-10,33.4
2010-06-11,33.3
2010-06-12,33.0
2010-06-13,33.4
2010-06-14,34.4
2010-06-15,35.4
2010-06-16,35.5
2010-06-17,35.8
2010-06-18,34.5
2010-06-19,36.2
2010-06-20,35.6
2010-06-21,35.6
2010-06-22,36.4
2010-06-23,35.1
2010-06-24,34.9
2010-06-25,35.2
2010-06-26,35.6
2010-06-27,36.2
2010-06-28,35.5
2010-06-29,35.5
2010-06-30,33.9
2010-07-01,33.7
2010-07-02,34.9
2010-07-03,35.4
2010-07-04,35.4
2010-07-05,34.7
2010-07-06,35.6
2010-07-07,33.8
2010-07-08,35.4
2010-07-09,36.0
2010-07-10,35.8
2010-07-11,34.9
2010-07-12,35.3
2010-07-13,35.0
2010-07-14,33.2
2010-07-15,34.0
2010-07-16,32.8
2010-07-17,32.9
2010-07-18,31.6
2010-07-19,32.6
2010-07-20,32.5
2010-07-21,33.8
2010-07-22,34.3
2010-07-23,36.1
2010-07-24,33.9
2010-07-25,33.5
2010-07-26,33.9
2010-07-27,33.8
2010-07-28,34.1
2010-07-29,33.4
2010-07-30,33.0
2010-07-31,35.2
2010-08-01,36.2
2010-08-02,34.6
2010-08-03,34.0
2010-08-04,35.0
2010-08-05,35.3
2010-08-06,36.1
2010-08-07,36.2
2010-08-08,36.3
2010-08-09,36.2
2010-08-10,37.1
2010-08-11,37.3
2010-08-12,36.8
2010-08-13,35.5
2010-08-14,36.5
2010-08-15,33.9
2010-08-16,34.3
2010-08-17,34.1
2010-08-18,35.5
2010-08-19,35.9
2010-08-20,31.2
2010-08-21,25.9
2010-08-22,33.0
2010-08-23,33.4
2010-08-24,31.2
2010-08-25,33.4
2010-08-26,32.4
2010-08-27,33.3
2010-08-28,34.4
2010-08-29,33.3
2010-08-30,31.9
2010-08-31,33.3
2010-09-01,34.6
2010-09-02,35.4
2010-09-03,37.0
2010-09-04,34.5
2010-09-05,34.4
2010-09-06,35.5
2010-09-07,34.6
2010-09-08,34.2
2010-09-09,35.8
2010-09-10,35.0
2010-09-11,34.5
2010-09-12,33.7
2010-09-13,35.2
2010-09-14,33.0
2010-09-15,34.5
2010-09-16,34.5
2010-09-17,35.0
2010-09-18,33.8
2010-09-19,35.3
2010-09-20,34.0
2010-09-21,31.2
2010-09-22,34.6
2010-09-23,34.4
2010-09-24,31.8
2010-09-25,32.9
2010-09-26,32.0
2010-09-27,30.0
2010-09-28,33.6
2010-09-29,31.3
2010-09-30,32.2
2010-10-01,32.1
2010-10-02,32.2
2010-10-03,31.9
2010-10-04,32.8
2010-10-05,31.6
2010-10-06,32.1
2010-10-07,32.3
2010-10-08,32.6
2010-10-09,32.4
2010-10-10,32.3
2010-10-11,33.7
2010-10-12,33.1
2010-10-13,32.9
2010-10-14,33.7
2010-10-15,32.9
2010-10-16,33.3
2010-10-17,33.4
2010-10-18,33.7
2010-10-19,35.0
2010-10-20,34.4
2010-10-21,34.5
2010-10-22,34.4
2010-10-23,34.2
2010-10-24,35.5
2010-10-25,35.9
2010-10-26,35.7
2010-10-27,32.8
2010-10-28,28.4
2010-10-29,33.2
2010-10-30,31.8
2010-10-31,32.6
2010-11-01,31.2
2010-11-02,33.2
2010-11-03,33.6
2010-11-04,31.5
2010-11-05,28.1
2010-11-06,28.1
2010-11-07,32.4
2010-11-08,34.4
2010-11-09,33.4
2010-11-10,31.8
2010-11-11,31.5
2010-11-12,32.8
2010-11-13,32.4
2010-11-14,32.6
2010-11-15,32.3
2010-11-16,32.5
2010-11-17,31.9
2010-11-18,31.5
2010-11-19,29.5
2010-11-20,29.1
2010-11-21,31.2
2010-11-22,31.5
2010-11-23,30.5
2010-11-24,28.3
2010-11-25,29.6
2010-11-26,30.3
2010-11-27,32.6
2010-11-28,30.1
2010-11-29,31.5
2010-11-30,26.9
2010-12-01,28.6
2010-12-02,27.8
2010-12-03,25.2
2010-12-04,27.4
2010-12-05,25.4
