                              POLONNARUWA             
                              LAT:  7.87N    LON: 81.05E    ELEV:   43.0M
                              Temp, daily min 
                              Degrees C           
Date,Temp.min
2009-01-01,NA
2009-01-02,NA
2009-01-03,NA
2009-01-04,NA
2009-01-05,NA
2009-01-06,NA
2009-01-07,NA
2009-01-08,NA
2009-01-09,NA
2009-01-10,NA
2009-01-11,NA
2009-01-12,NA
2009-01-13,NA
2009-01-14,NA
2009-01-15,NA
2009-01-16,NA
2009-01-17,NA
2009-01-18,NA
2009-01-19,NA
2009-01-20,NA
2009-01-21,NA
2009-01-22,NA
2009-01-23,NA
2009-01-24,NA
2009-01-25,NA
2009-01-26,NA
2009-01-27,NA
2009-01-28,NA
2009-01-29,NA
2009-01-30,NA
2009-01-31,NA
2009-02-01,NA
2009-02-02,16.6
2009-02-03,16.2
2009-02-04,16.1
2009-02-05,16.4
2009-02-06,16.4
2009-02-07,16.5
2009-02-08,17.3
2009-02-09,15.9
2009-02-10,15.8
2009-02-11,18.8
2009-02-12,18.9
2009-02-13,15.0
2009-02-14,15.0
2009-02-15,16.7
2009-02-16,17.5
2009-02-17,17.1
2009-02-18,17.0
2009-02-19,17.1
2009-02-20,20.3
2009-02-21,20.4
2009-02-22,20.3
2009-02-23,20.6
2009-02-24,20.8
2009-02-25,21.4
2009-02-26,20.8
2009-02-27,19.1
2009-02-28,19.2
2009-03-01,16.8
2009-03-02,15.7
2009-03-03,15.0
2009-03-04,15.9
2009-03-05,17.4
2009-03-06,14.4
2009-03-07,17.2
2009-03-08,20.4
2009-03-09,21.4
2009-03-10,20.4
2009-03-11,20.4
2009-03-12,21.2
2009-03-13,21.3
2009-03-14,21.5
2009-03-15,20.8
2009-03-16,20.8
2009-03-17,21.3
2009-03-18,21.0
2009-03-19,21.0
2009-03-20,20.5
2009-03-21,20.5
2009-03-22,20.9
2009-03-23,21.4
2009-03-24,20.8
2009-03-25,20.8
2009-03-26,20.8
2009-03-27,20.8
2009-03-28,20.7
2009-03-29,21.5
2009-03-30,20.6
2009-03-31,20.8
2009-04-01,21.0
2009-04-02,22.4
2009-04-03,20.6
2009-04-04,22.2
2009-04-05,21.4
2009-04-06,21.2
2009-04-07,21.1
2009-04-08,21.7
2009-04-09,20.5
2009-04-10,21.5
2009-04-11,21.7
2009-04-12,21.5
2009-04-13,22.4
2009-04-14,21.4
2009-04-15,19.6
2009-04-16,22.0
2009-04-17,21.5
2009-04-18,22.9
2009-04-19,24.0
2009-04-20,23.2
2009-04-21,21.5
2009-04-22,22.0
2009-04-23,21.7
2009-04-24,21.5
2009-04-25,21.6
2009-04-26,22.8
2009-04-27,22.4
2009-04-28,20.7
2009-04-29,21.4
2009-04-30,20.8
2009-05-01,20.9
2009-05-02,21.3
2009-05-03,22.4
2009-05-04,22.6
2009-05-05,22.5
2009-05-06,21.6
2009-05-07,22.4
2009-05-08,22.6
2009-05-09,21.6
2009-05-10,21.6
2009-05-11,22.0
2009-05-12,22.1
2009-05-13,23.4
2009-05-14,21.7
2009-05-15,21.5
2009-05-16,24.6
2009-05-17,22.3
2009-05-18,21.5
2009-05-19,21.3
2009-05-20,21.9
2009-05-21,24.6
2009-05-22,25.4
2009-05-23,24.2
2009-05-24,25.3
2009-05-25,25.4
2009-05-26,23.8
2009-05-27,22.5
2009-05-28,24.6
2009-05-29,25.3
2009-05-30,22.5
2009-05-31,24.0
2009-06-01,24.2
2009-06-02,26.1
2009-06-03,27.4
2009-06-04,27.4
2009-06-05,27.4
2009-06-06,26.6
2009-06-07,26.4
2009-06-08,26.0
2009-06-09,26.8
2009-06-10,26.8
2009-06-11,26.7
2009-06-12,26.9
2009-06-13,26.5
2009-06-14,24.9
2009-06-15,26.6
2009-06-16,26.5
2009-06-17,27.0
2009-06-18,26.7
2009-06-19,26.3
2009-06-20,26.2
2009-06-21,27.0
2009-06-22,26.3
2009-06-23,26.7
2009-06-24,27.1
2009-06-25,26.7
2009-06-26,26.8
2009-06-27,26.8
2009-06-28,26.2
2009-06-29,26.4
2009-06-30,26.4
2009-07-01,26.6
2009-07-02,26.6
2009-07-03,26.9
2009-07-04,26.6
2009-07-05,26.1
2009-07-06,27.3
2009-07-07,26.8
2009-07-08,26.6
2009-07-09,26.4
2009-07-10,25.6
2009-07-11,26.0
2009-07-12,26.2
2009-07-13,26.5
2009-07-14,27.5
2009-07-15,27.6
2009-07-16,26.4
2009-07-17,26.6
2009-07-18,24.9
2009-07-19,26.4
2009-07-20,26.3
2009-07-21,26.7
2009-07-22,26.3
2009-07-23,26.3
2009-07-24,25.6
2009-07-25,23.6
2009-07-26,23.4
2009-07-27,26.5
2009-07-28,26.7
2009-07-29,26.1
2009-07-30,25.2
2009-07-31,25.0
2009-08-01,26.4
2009-08-02,26.7
2009-08-03,26.8
2009-08-04,26.4
2009-08-05,26.1
2009-08-06,26.7
2009-08-07,26.9
2009-08-08,27.0
2009-08-09,26.2
2009-08-10,26.7
2009-08-11,27.3
2009-08-12,26.6
2009-08-13,24.8
2009-08-14,22.5
2009-08-15,24.1
2009-08-16,23.9
2009-08-17,23.1
2009-08-18,23.1
2009-08-19,23.4
2009-08-20,22.6
2009-08-21,23.0
2009-08-22,23.3
2009-08-23,23.7
2009-08-24,25.8
2009-08-25,24.5
2009-08-26,25.4
2009-08-27,26.2
2009-08-28,26.3
2009-08-29,25.6
2009-08-30,26.2
2009-08-31,26.1
2009-09-01,26.1
2009-09-02,26.1
2009-09-03,26.1
2009-09-04,26.1
2009-09-05,26.5
2009-09-06,25.6
2009-09-07,26.1
2009-09-08,26.9
2009-09-09,27.2
2009-09-10,24.1
2009-09-11,22.6
2009-09-12,23.1
2009-09-13,23.7
2009-09-14,24.6
2009-09-15,23.9
2009-09-16,23.8
2009-09-17,26.5
2009-09-18,26.5
2009-09-19,25.9
2009-09-20,25.4
2009-09-21,25.8
2009-09-22,24.8
2009-09-23,23.4
2009-09-24,24.9
2009-09-25,25.7
2009-09-26,26.7
2009-09-27,26.7
2009-09-28,26.0
2009-09-29,26.2
2009-09-30,25.5
2009-10-01,24.6
2009-10-02,25.5
2009-10-03,24.3
2009-10-04,26.7
2009-10-05,25.4
2009-10-06,25.3
2009-10-07,26.1
2009-10-08,24.4
2009-10-09,23.1
2009-10-10,22.9
2009-10-11,24.2
2009-10-12,24.9
2009-10-13,22.8
2009-10-14,22.7
2009-10-15,21.5
