



                              STATION NAME : AGRAPATANA (SANDRINGHAM)
                              LAT:  6.85N    LON: 80.75E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1881    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   300.2    176.2    260.9    323.7    377.6 
  1882   104.6     29.5     56.5     58.5     92.0    227.0    437.9    258.3     93.4    252.7    252.3    111.4 
  1883    39.8    152.7     -9.9M    -9.9M   254.1    118.4     -9.9M   230.6    109.8    138.4    229.9    109.5 
  1884    38.3     18.9     99.6     44.4    154.7    240.6    106.7    230.7    124.5    306.1    210.2     -9.9M
  1885    35.1     38.9     98.8     19.1    177.3    450.4    221.0     60.1    113.9    167.1    117.4    150.3 
  1886   131.0      6.7    122.2     73.8    234.5    140.7    253.6    337.8    187.8    184.3     69.7     50.3 
  1887    18.7     34.0     18.4    230.6    229.6    228.9    110.6    109.5    141.6    217.3    255.0    309.6 
  1888    14.6      8.4    117.3    111.2    213.2    487.2     90.9     80.8    145.5    147.1    168.7    304.8 
  1889    46.9     60.4    180.8    258.1    302.6    329.0    201.0    189.8    278.0    155.2    227.7    138.9 
  1890    48.3     52.0     15.0    346.4     83.9    180.5    148.9    155.4    239.0    167.9    250.4     70.4 
  1891   114.9    104.6    205.8    205.4    515.0    332.9    197.3    149.8    155.5    407.6    162.7    397.6 
  1892   213.9     75.1     68.8    132.9    129.5    135.1    510.1    333.0    147.7    385.7    283.5    102.1 
  1893   110.1     22.6    290.0    151.8    139.4    427.7    302.1    144.6     57.9    157.0    405.8     78.2 
  1894    45.8      3.9    164.8    224.1    107.0    205.2    123.4    244.7    147.8    351.9    161.7     88.2 
  1895    76.7     29.5    127.3    198.6     92.3    289.1    180.2    162.9    198.2    365.5     82.8    264.6 
  1896    98.9     96.8     89.2    205.9    174.0    301.8    149.0     95.6    171.3    269.0    280.0    339.3 
