



                              STATION NAME : ALLAI TANK              
                              LAT:  8.40N    LON: 81.32E    ELEV:    6.1M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    -9.9M    -9.9M   180.0       .0      7.6       .0    272.8    109.0     69.8    389.4     -9.9M   372.9 
  1880   223.2    134.6    170.1     36.6     30.4       .0       .0    190.2    144.6    367.8    483.9    493.7 
  1881   323.3     91.3       .0     16.5     91.2    137.0       .0    171.0    187.3    395.7    601.1    713.7 
  1882    82.1     16.3     63.5     27.9     70.9    185.2       .0    197.7    164.9     78.6    551.9    751.2 
  1883   329.5    368.1       .0       .0    129.4    243.6     76.1    157.3     20.3    209.2    700.5     -9.9M
  1884      .0       .0       .0       .0     35.4       .0     38.0    172.4     63.4    351.1    280.1    390.8 
  1885   107.8     12.7     39.2       .0     45.6     12.7       .0     12.7    190.0    395.3    400.5    626.5 
  1886   206.6     68.2       .0     19.0    180.1     40.4     93.8    215.7    164.9     60.7    268.7    365.0 
  1887    40.4     32.9      5.0     85.9     26.6     45.6      8.8    294.3     25.3    215.5    179.8   1355.5 
  1888      .0       .0       .0     72.3    299.1      6.3     64.6    111.6     55.7    248.7    343.3    452.7 
  1889   105.3      5.0    154.9     82.4     43.1       .0     24.1    101.5    275.3     68.2    177.4    236.0 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M      .0    199.1     75.9    100.1    469.3    377.0 
  1891   171.2    187.8      5.0      5.0     49.4       .0       .0     12.7    138.3    328.4    119.1   1153.4 
  1892   396.8    249.9       .0     63.4     48.2    114.3    101.5    170.0     53.2    151.3    237.9    110.2 
  1893    90.0     43.1    348.8     57.0    171.1     53.2    177.6       .0     12.7    183.5    468.3    144.2 
  1894   124.2      4.5    154.7     60.8     30.4     50.7     50.7     98.9    105.2    395.6    288.0    541.7 
  1895   106.5       .0       .0     75.6     58.3       .0       .0    161.2    139.5    188.3    373.6    896.0 
  1896   531.6     -9.9M    13.9       .0     74.8     36.7     58.4      2.5     73.6    365.5    704.9    909.8 
