



                              STATION NAME : ALUTHNUWARA             
                              LAT:  7.32N    LON: 81.00E    ELEV:   92.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1899    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    92.0    550.6    476.3 
  1900   304.1     53.1     98.3     73.2     80.5      6.1     22.2     12.5     32.7    327.2    404.1    363.9 
  1901   106.4    176.9    156.9    172.5     63.0     13.4       .0       .0     95.9    145.2    258.5    277.1 
  1902   270.3    272.0     91.7    117.5     27.3      5.3     17.7    142.2     28.4    356.6    573.9    319.0 
  1903   531.3    409.9       .0      4.9    110.7     10.1       .0    101.1    188.2    363.9    112.0    273.8 
  1904   924.4    150.3     76.0     31.5     27.3       .0     12.7       .0     31.6    334.8    139.8    585.7 
  1905   302.6     63.3     78.7    242.2     90.0     33.7       .0       .0     64.5    250.9    372.5    214.4 
  1906   216.9     58.3     32.9     63.3     98.9     12.7     13.4    185.3     45.1    220.6    320.9    248.5 
  1907   210.9     56.6    195.7    222.1     48.4     47.0     50.1      6.1     50.2    262.7    262.4     76.5 
  1908   426.9    162.8    161.6    104.8      2.2       .0      8.8     31.7     78.0    223.8    281.7    574.5 
  1909   197.6    210.0    242.2     87.3       .0      1.5      6.3     43.2     10.0    166.2    161.3    343.7 
  1910   353.9    145.8    104.0     64.3     52.8     36.8    202.2     89.1       .0    255.5    195.5    600.8 
  1911   351.9     -9.9M    20.5      8.1     57.3     60.1      2.0     49.5     13.9    511.8   1261.0    895.8 
  1912    98.6       .0     60.8    231.9    129.3      5.5       .0       .2     33.3    259.6    325.4    609.2 
  1913  1220.0    225.8     88.0    137.9     50.5     36.2     12.2     32.9     59.5    579.2    269.6    409.2 
  1914   375.7     96.9    151.6    161.6     56.7       .0       .0      1.2    154.2    270.3    368.3    587.9 
  1915   426.0    115.7    230.5     68.6     55.8     38.6      4.8     96.0     78.0    221.3    196.8    340.6 
  1916   127.6     23.8     94.7    105.9     71.8      3.5    140.2    107.3    214.9    154.8    388.7    210.2 
  1917   737.6    284.1    302.9    109.9    184.9     10.6     74.8    208.6    166.5    109.0    488.0    269.4 
