



                              STATION NAME : AMBANPITIYA             
                              LAT:  7.23N    LON: 80.32E    ELEV:  201.2M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    -9.9M   152.4    303.1    292.7    414.0    280.6    318.7    105.8    121.4    405.6    428.8    192.4 
  1880    67.0     87.8    199.5     69.4    485.2     52.7    113.5    118.7     41.6    536.3    362.0    116.1 
  1881    -9.9M   112.8    247.1    346.4    290.1    424.9    112.2    266.0    215.5    304.7    403.6    475.2 
  1882   169.9     10.3    162.5    333.4    195.9    310.7    290.3    425.2    107.5    621.1    268.5    301.9 
  1883     5.0    108.3    139.3    300.2    572.5    386.0    160.7    427.3    217.0    294.0    295.0     81.9 
  1884    12.6     11.4    161.0    140.8    193.1    243.7    229.3    152.7    199.7    468.3    469.3    215.1 
  1885     1.7     86.3    206.3    162.6    326.5    527.4    449.0    313.4    159.9    449.6    418.6    216.5 
  1886   240.4     76.1     66.4    170.8    407.7    365.2    247.8    531.7    259.6    279.7    181.8     33.0 
  1887    20.3    105.5     12.4    506.8    244.4    395.3    115.1    241.6     96.6    477.8    396.2    254.9 
  1888      .0     39.8    178.0    206.9    398.9    513.7    110.9     96.0    114.8    784.1    361.7    152.7 
  1889    59.1     52.7    178.8    376.0    387.3     94.0    292.5    208.8    378.1    321.0    235.8     85.6 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   125.3     94.7    174.9    346.1    225.8    211.4 
  1891   110.9    122.9    315.9    391.7    614.3    388.5    202.9    122.2    172.1    920.3    172.1    387.3 
  1892   131.5    119.4    155.3    281.8     90.7    258.0     87.8    134.4    110.3    392.7    340.9    200.6 
  1893    29.8     98.6    256.9    231.2    237.9    352.5    140.6    122.9     80.7    178.1    311.9     60.7 
  1894    32.9      8.8    309.9    182.2     40.6    346.1    114.8    124.7    153.4    382.4    257.4    110.1 
  1895   124.2     10.8     61.5    457.6    173.0    374.6     38.8    179.0    175.7    555.0    220.2    138.3 
  1896    66.4     20.3    148.5    205.0    267.5    389.8    158.4    187.9    147.9    663.0    522.8    443.9 
  1897    59.3    101.1    170.7    443.4    122.0    395.6    220.5    364.6    364.3    347.2    345.2    418.2 
  1898    78.8      5.2     62.2    302.2    293.3    228.5    248.2     40.9    423.2    454.1    270.4    165.8 
  1899   150.7      3.8    182.9    494.7    265.5    420.0     99.4     69.9    118.9    408.6     98.9    234.7 
  1900   102.3       .7    108.2    347.7     88.6    363.7    748.1    283.2    224.0    450.2    504.0    145.3 
  1901   111.2     90.5    145.7    258.6    181.8    406.7    230.5     57.0     64.0    337.9    480.3     61.2 
  1902   142.9      9.3    171.5    489.7    235.1    112.6    283.1    136.4    347.0    859.0    698.9    286.6 
  1903    17.0     38.1      9.0    295.6    430.6    467.4    213.3    246.4    581.5    671.0    259.8    110.0 
  1904   154.1    105.0    107.7     24.0    883.6    488.5    333.2     47.8    286.9    601.9     99.9     84.9 
  1905    35.5    135.1    102.1    220.2    450.3    343.2    146.3     63.8    301.3    453.1    275.5     32.8 
  1906   100.3     54.8    147.4    183.9    168.1    167.2    212.1    227.8     34.1    773.9    281.1    127.1 
  1907      .0    133.5     98.6    342.6    148.3    431.3    268.5    217.7    153.4    439.8    356.4     20.7 
  1908   167.9    229.1    326.1     43.0    223.4    145.5    105.0     36.5    348.7    132.1     80.3    276.5 
  1909    51.8     34.1    239.0    168.5    170.6    267.2    329.5    452.9     94.9    483.3    378.8    130.2 
  1910    11.3    104.4     38.3    172.9    135.1    220.0    159.3     93.4     82.8    383.7    377.4    230.4 
  1911    26.5       .0     95.8     38.9     47.0    305.4     75.0     56.2    217.3    314.4    225.5    451.6 
  1912     2.0     48.3    261.1    355.8    361.3    225.7    123.7     40.6     94.0    401.7    276.2    216.2 
  1913   207.9     31.9     68.9    242.2    139.2    139.0    134.1     31.1     73.4    956.9    496.1    367.5 
  1914      .0      3.2    123.5    240.0    199.4    362.4     58.2     72.2    259.7    484.8    361.1    181.8 
  1915    48.2     50.5    172.3    237.0    118.1    343.8    492.2     55.9    349.1    121.8    443.9    136.2 
  1916      .0       .0    314.9    380.2    284.2    406.3    462.5    135.9    111.1    158.1    197.1     56.2 
  1917    55.2     83.6    152.2     92.8    102.6     93.6     36.9     87.5    342.0    196.8    149.6     36.9 
  1918   100.7     31.3     47.9     53.4    186.7    209.3     55.6     44.5     31.0    286.2    194.8    290.7 
  1919    89.8      3.7    132.1     94.5    195.6    122.6    155.3     78.8    195.1    221.3    343.0    106.8 
