



                              STATION NAME : AMPARAI TANK            
                              LAT:  7.28N    LON: 81.67E    ELEV:   27.4M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879   235.7    182.6    125.5    116.8     17.7     33.0    354.1    107.5     86.6    210.8    183.8    415.9 
  1880   122.9     48.1    324.8    115.0     73.5     11.3       .0     49.4     90.0    314.6    347.5    221.9 
  1881   430.0     20.3      3.8     17.7    106.5     37.9       .0    129.3     33.0    220.4    140.5    822.2 
  1882   454.1    374.1    143.2     76.0     96.4    137.0       .0    129.3      2.5    230.7    262.6    489.5 
  1883   366.5    272.9       .0     78.4    151.0     35.5     55.8     50.6    142.0    229.1    633.2    370.7 
  1884    64.0     12.7     67.7     62.9     72.1     17.9     11.6     12.6     86.1    190.4    248.6    937.6 
  1885   144.3     66.0     27.8     25.4     77.4     35.5       .0      6.3     76.1    553.2    265.1    863.0 
  1886   519.1     74.8       .0       .0    429.9     80.0    105.2    119.3     48.1    213.1    718.4    376.7 
  1887   180.2    304.8       .0    150.9     11.4     70.8      5.0    198.0     40.6    217.9    134.0   1168.5 
  1888     2.5       .0     48.2     90.1    112.6    120.5     13.7    131.8    143.2    217.9    273.8    744.6 
  1889   197.8     36.7    127.9    166.0    312.0     36.8     18.9     57.1    142.0    113.9    211.7    205.0 
  1890    20.1     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    20.1     59.6     77.3    354.8    150.5    273.7 
  1891   307.0    323.4     60.7      5.0    196.6    138.3       .0     57.0     68.4    405.5    405.3    692.1 
  1892   650.8    554.5     48.1    100.7       .0    350.0     10.0    166.1     44.3    317.0    207.9    263.6 
  1893   310.6    136.9    275.2     67.3     68.3     34.2     85.0      3.8     12.7    133.0    774.1    375.3 
  1894   244.6     29.0    223.2     91.3      5.0       .0     22.8    102.7    335.0    175.0    466.7    640.8 
  1895   466.8     18.2       .0    184.6     36.7     38.0     38.0     56.8     82.4    316.8    653.5    963.3 
  1896   650.1    399.8     65.7    124.4     72.2     98.8    120.5     95.0    116.6    289.9    482.0    930.3 
  1897   174.3    127.3    100.1     96.4    149.4     45.3     48.8    123.4    248.5     78.2    135.0    808.5 
  1898   172.7     79.2       .0     57.7     82.1     50.1     64.1     33.2    239.5    239.5    545.6    592.8 
  1899  1114.1     52.2     92.9    185.2     16.5     32.1     38.6      9.1      5.0    288.6    399.7    402.0 
  1900   303.7    143.9     28.0    303.7     33.5     25.0     57.5     37.2     67.6    199.9    486.7    346.9 
  1901   184.5    149.6    185.9     78.8    152.4     33.9     39.3      8.3     99.2    166.0    298.1    523.2 
  1902   490.5    233.4     12.6     58.2     37.0     67.9       .0     67.1     48.0    435.0    544.8    285.3 
  1903   453.0    289.3       .0     29.5    176.6     26.8     20.2     85.8    343.3    213.8    225.0    461.5 
  1904   760.0     37.0     17.2     44.6    140.5       .0     36.9       .0    128.6    292.4    141.6    611.6 
  1905   310.3     69.7       .0    187.5    142.6     62.9      2.5     76.7     72.1     50.9    587.0    128.5 
  1906   125.9      2.2     30.6     13.3     28.6     50.6    143.5    208.9     88.9    274.8    273.9    235.7 
  1907   109.4     39.9    136.9    119.6     27.2    113.7      5.8     85.7     32.1    164.9    243.5     88.7 
  1908   262.4    192.5    216.2    110.8     33.1       .0     64.6     55.6     80.9    179.8    229.6    631.9 
  1909   122.9    177.4     66.9     44.8     20.6     22.6       .0    134.4     68.3    241.9    107.6    197.3 
  1910   426.1    101.2       .0     26.9     27.4      5.0     80.2    135.9    146.4    371.5    293.7    556.6 
  1911   223.4     68.5     36.8       .0     48.2     33.6     42.9    186.5    235.6    263.6    606.0    844.9 
  1912    56.6     20.5    120.8     63.6     36.3    175.8       .7     71.5    171.0    185.2    307.8    372.9 
  1913  1270.0    195.7     51.1     70.8     13.3      1.2     19.1     34.1     34.4    308.3    301.3    862.8 
  1914   459.0    123.1     53.1     55.1     55.2     66.6     26.1    163.9     85.0    169.7    432.8    417.8 
  1915   510.9     76.2    183.7     68.0     56.0     50.4    102.7     47.7    159.2    115.9    236.2    327.9 
  1916    39.2     44.0     69.8     28.6    127.8      2.2    255.6     83.3    306.0     39.0    118.1    216.5 
  1917    -9.9M   510.4    185.3     22.7     38.4     82.0     66.2    159.2     90.6     43.3    274.5    189.2 
  1918   275.4      5.0     12.2     38.5    103.5     24.8     12.9     15.7     19.4    280.8    142.6    332.0 
  1919   146.3      2.5     20.3      5.5    135.9     16.1     27.5     51.3    116.6    117.6    131.0    384.4 
  1920   419.0     98.9     90.2    133.3     16.7    135.6     33.1     68.8     25.8    209.6    342.3    204.3 
  1921    -9.9M     1.5     72.9    251.8     24.1     67.2     15.1     52.6     75.0    408.6    204.9    413.4 
  1922   243.2     85.8       .0    307.2    223.9      6.3       .0     51.3     73.1    302.3    455.6    162.9 
  1923   524.6      6.5     40.7      4.0     66.7     58.2     11.1     17.7     45.2     62.4    174.8    587.2 
  1924   307.9      6.2    239.3     19.1    121.9     20.3     48.4     67.0    141.8    119.4    118.3    320.1 
  1925   368.3    149.1    132.4     59.5     43.3     29.3     32.2     74.1     95.4    206.4    283.6    348.9 
  1926   319.7     38.0     81.7      4.2     71.3     49.2     94.2     50.7    144.4    119.6    231.0    258.5 
  1927   446.1    204.8    343.4     43.1    251.3     32.3       .0     10.6    131.3     50.8    252.8    357.5 
  1928   340.3     90.2     64.1    102.0     42.9       .0     96.0     62.8     21.1    105.2    454.8    193.6 
  1929     2.7     57.8    120.9    112.9     73.7     13.1      5.0     18.7     45.5    160.8    235.5    583.8 
  1930   193.3     86.1     58.8     94.4    293.2     64.2     34.0    106.8     45.6    209.7    364.6     82.4 
  1931   488.6    183.8     30.5    102.2    185.3      4.5     48.3     53.7     55.6    101.9    415.3    492.0 
  1932    45.9    204.2    142.9     36.0     75.1     62.4     38.8    129.0     21.1    367.4    185.8    216.9 
  1933  1102.4    164.4     12.3    169.9     73.3    102.7     22.8    180.3    161.5    120.2    349.5    258.9 
  1934   378.6    114.0    136.3     19.5     46.3     28.4     90.4     65.2     83.4    233.2    141.4    154.1 
  1935   146.5     70.2     73.3     11.8     16.6     42.0       .0    115.0     13.3    262.8    220.8    611.5 
  1936   257.9    152.0    196.8     10.6     50.5     44.1     90.1     59.2     67.2    147.5    281.4    785.4 
  1937   407.7    293.8     47.4    272.9    114.2      8.8     78.2     11.5    178.8     99.5    319.0     75.3 
  1938   354.3    541.6    245.6    270.8     90.5     35.5     17.4    164.2     55.4     76.6    122.7    322.2 
  1939   111.4     64.0     36.0    243.4     18.4      1.9     18.5       .2     30.3    189.7    284.5    297.8 
  1940    14.4    356.1      8.3     70.2    175.9     23.7      3.3      7.8     25.2    328.5    340.1    309.2 
  1941   233.2    369.2     45.6    122.1     37.2     76.7      2.4     12.9    147.5    229.9    549.5    197.4 
  1942   295.8    163.7    252.3    178.4     15.1     68.5      5.5      7.2     73.0    195.4    194.8    546.3 
  1943   115.6    346.7     35.0    135.3     42.9       .0     15.5      6.6     13.8    281.9    181.0    229.4 
  1944   322.2    892.6     82.5    113.6     38.3      9.1     18.2      3.8    210.2    263.5    350.4    294.7 
