



                              STATION NAME : ANURADHAPURA (METEO)    
                              LAT:  8.35N    LON: 80.38E    ELEV:   92.5M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1870    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   109.7       .0     92.7     82.4     -9.9M    -9.9M   182.8 
  1871    -9.9M    -9.9M    72.6    335.8     54.3       .0       .0     -9.9M    -9.9M   121.8    496.5    183.8 
  1872    27.1      6.8     72.7    251.8     -9.9M    -9.9M    20.8       .0    179.7     -9.9M   433.1     74.5 
  1873    14.9     63.4     59.5     82.7     86.2     10.0     -9.9M   113.7       .0    124.6    144.6    122.7 
  1874    32.6     84.1     30.6    137.0     77.4      2.8       .0    169.7    187.4     83.7    176.1    179.5 
  1875    17.4       .5     86.5    214.3    100.3    133.6       .7     51.0     73.9    269.7    281.3    209.0 
  1876    46.7      9.3     86.3    131.3     94.3     13.0       .7     69.6    112.1    115.2     -9.9M    -9.9M
  1877     6.2       .0    116.5    227.9    117.6     22.5      1.2     10.9     73.0    299.8    509.2    518.6 
  1878   188.5       .0     47.1    266.1    109.9      9.4     81.2     47.4     29.6    133.1    286.8     95.0 
  1879    43.5     28.3    187.8     94.3    110.0       .0    181.0     89.5     63.5       .0    382.3    192.9 
  1880    97.4     28.7    174.9    180.0       .7      1.0       .0     30.8       .5    241.9    428.7     98.5 
  1881   135.3       .7     41.2    165.8     75.7      5.5     10.0     11.0    106.1     85.1    317.1    394.3 
  1882    40.7     57.6     77.3     80.1     74.0     44.8     10.5    148.8       .5    208.4    225.0    526.0 
  1883    38.9    141.2     76.0     -9.9M   178.2     86.6     -9.9M   115.4     -9.9M   317.4    400.5    209.4 
  1884     9.2     -9.9M    37.3    130.3     94.8     -9.9M      .0      3.0    104.2    421.2    359.3    211.6 
  1885    18.6     20.9    109.9    244.1    223.0    179.9       .0     -9.9M   112.8    397.8    411.9    294.4 
  1886   148.0     27.1     31.1    173.3    112.9     76.5     92.4    148.6    151.8    173.9    166.7     63.3 
  1887    21.7     68.9       .0    290.3       .0     -9.9M    -9.9M    74.0       .0    394.6    163.4    674.1 
  1888     2.5       .0     -9.9M   103.9    216.8     26.4       .0       .0    141.7    218.4    130.3    199.7 
  1889    21.7       .0     39.0    271.9     93.9      1.5    141.3      7.0    151.0    217.4    232.4     83.2 
  1890    98.3     29.4     29.8    457.0      9.5     32.3      2.7     19.8      3.1     80.3    158.3    110.0 
  1891    12.5     28.5    162.4    186.0    492.4     13.2      6.7       .0     21.8    469.0    195.4    300.5 
  1892   141.4    119.7     14.3    220.9       .7     19.8     15.1     70.3     14.0     66.2    302.5    215.5 
  1893    18.1     16.0    162.1    119.1     13.0     13.8    111.4       .7      2.0    224.3    261.2     66.6 
  1894    70.6      9.9     77.2    154.2      6.5      1.9     17.1     35.8     36.4    297.6    292.7    153.9 
