



                              STATION NAME : BADULLA (METEO)         
                              LAT:  6.98N    LON: 81.05E    ELEV:  669.6M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1868    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    89.3    336.0    190.4     -9.9M
  1869   271.4     40.0       .0     -9.9M    18.4      6.9     -9.9M    87.3     -9.9M   137.0     -9.9M   263.6 
  1870   454.7     65.8    148.5     -9.9M    -9.9M   161.3      2.7    176.7     28.3    201.1    136.7     -9.9M
  1871   272.2     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1872    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   125.6 
  1873    50.4     -9.9M    79.4    170.5    178.7     -9.9M    53.8    180.1     -9.9M      .0    297.9       .0 
  1874   319.2    193.9     -9.9M   295.1     25.0       .0       .0    103.4     20.7     -9.9M    -9.9M    -9.9M
  1875      .0       .0    251.0    401.4    126.1    164.5     11.4     88.6     93.3    109.3    818.3    268.9 
  1876   240.6       .0     26.1    382.7     68.7       .0       .0     37.4     42.3     -9.9M   298.9    298.1 
  1877    -9.9M    26.4    250.0    491.2     68.7     -9.9M   117.7     75.4     -9.9M    -9.9M    -9.9M    -9.9M
  1878    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    21.0       .0    181.2    181.8     66.1 
  1879   164.7     84.6    138.9     73.3     84.3       .0    134.5     99.7     60.2     -9.9M    -9.9M    -9.9M
  1881    -9.9M    -9.9M    -9.9M   246.5     94.6     -9.9M    16.6     41.7    175.1    189.8    161.7    592.4 
  1882   374.0    141.7    123.4    181.6    211.0     68.4     13.1     84.3      1.0    149.8    236.1    358.7 
