



                              STATION NAME : BATTICALOA              
                              LAT:  7.72N    LON: 81.70E    ELEV:    7.8M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M   100.8       .0     -9.9M    -9.9M    -9.9M    -9.9M    63.1     64.4     49.2     -9.9M    -9.9M
  1870   468.9     32.8     32.3     40.3       .0     86.8      1.4    116.4     -9.9M    83.7     -9.9M    -9.9M
  1871   518.9    101.5    173.7     17.1     13.8     14.3     54.4     78.8     17.1     86.3     -9.9M   460.1 
  1872   102.4     32.3     12.1     27.9     30.9      4.7     13.1    100.0    135.8     95.1    403.0    234.3 
  1873   113.4    146.9    168.3     54.4     78.5      2.7     13.0     -9.9M    -9.9M   105.9    585.9    178.4 
  1874   180.4    224.1     57.1       .0      1.2     52.9     -9.9M    76.6     73.9    164.3    233.4    283.8 
  1875   224.6      4.6     59.2     -9.9M    15.4     32.9       .0    125.1     19.9    242.8    315.7    288.5 
  1876   122.0     19.5     56.0     40.4     82.7     -9.9M      .5    106.0     17.5     94.3    660.3    622.8 
  1877    31.3     -9.9M   118.8     34.2     62.4      1.5       .7     -9.9M   101.3    221.6    389.0    495.2 
  1878   683.3       .5     51.1     78.4     73.2     12.8      9.1    170.1     80.3     -9.9M   114.5    210.3 
  1879   148.1     -9.9M   128.6     18.9       .0     17.4    124.0     61.3     57.2    131.9    209.4    493.3 
  1880   177.2     42.3    224.2     32.9     60.3     -9.9M    -9.9M    32.5     37.1    136.9    388.2     -9.9M
  1881   236.5     18.9     -9.9M    -9.9M    12.1     70.9       .5     94.8     -9.9M    81.6    240.0    711.8 
  1882   126.6    226.8    125.6     24.9     55.8     40.0       .0     55.9      9.7    103.9    324.6    368.8 
  1883   233.7    255.1     18.2      3.5     78.9     50.4     18.7      9.2     13.5    254.9    472.3    309.1 
  1884   127.0     55.6     55.9     70.6     53.9      9.2       .0     31.8     46.1     -9.9M   187.1    635.7 
  1885    86.0     14.0    106.6     10.5     -9.9M    23.5     61.1       .0     70.2    171.0    247.7    680.0 
  1886   236.8     50.8      3.3      3.8    120.3     26.7     42.9    108.5    136.7    148.1    369.5    326.1 
  1887   137.9    181.6      1.2     27.7     10.2     27.7      7.3     74.2     22.8    160.9    127.1    611.6 
  1888    11.3     56.3     16.4     20.5     60.9     24.8     43.6     29.5     18.4    271.1    353.9    450.5 
  1889    57.4     22.0    148.1     62.4     35.8     20.7     63.5     54.0     61.7    105.3    164.6     88.2 
  1890   105.4     64.1     72.3     16.7     14.7     37.8      7.7    120.3     11.7    154.0    213.4    257.5 
  1891    -9.9M    -9.9M    -9.9M    -9.9M    21.4      9.6      6.6     28.8     57.9    240.7    165.3    460.5 
  1892   526.4    323.2       .0    127.6       .0     53.9     31.0    118.6     51.4    169.0    222.4    144.5 
  1893   244.3     52.0    279.2     62.0     49.6     11.8     61.3     15.2     50.1    148.7    347.8    167.3 
  1894    49.7     34.3    102.9     32.5       .0      8.7     60.0     73.2    230.0    199.3    261.5    325.8 
  1895   136.7     11.3      7.1    168.7     33.4      5.5      3.5     59.0     35.5    188.8    490.8    492.6 
  1896   193.6    183.8     38.8       .5    104.0     41.8    116.6      8.5     42.7    156.7    475.2    581.3 
  1897   149.9    411.4     47.3    102.7     57.5     22.2     12.8     10.7    186.8     28.7     51.0    653.8 
  1898   280.9     26.8     19.0     41.1     30.9       .0      6.5     23.4    179.5    286.4    316.8   1312.1 
  1899   374.1     44.0    171.3     58.4       .0       .5      2.5     18.7     -9.9M    -9.9M    -9.9M    -9.9M
  1900    -9.9M      .5     16.9     -9.9M    -9.9M     1.7     77.3      5.5     80.4    285.8    513.8     -9.9M
  1901    -9.9M   109.6    255.9     60.8     76.6      1.7     19.2       .0    146.4    110.2    198.9    337.7 
  1902    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    21.7     46.6     -9.9M   553.3     -9.9M
  1903   148.2    112.6       .0     11.5    100.2     12.6     40.8     45.1    280.6    164.5    206.3    501.4 
  1904   503.5     67.2     44.1     55.7     74.3       .0     77.5      6.1     24.4    112.7    330.1    510.4 
  1905   230.3     65.4      1.2    291.4     90.9     72.7      1.7    132.6     85.0     79.7    568.1    170.6 
  1906    54.3       .5     33.4     16.6      6.8      4.0     53.2    123.9     17.3    204.7    450.7    255.2 
  1907   266.9     16.7    101.7    121.2     31.6      2.0     17.7     43.2      9.3    276.0    275.1    168.3 
  1908   265.8     -9.9M   169.6     16.3     42.5       .0     43.5     20.4    166.4     -9.9M    -9.9M    -9.9M
  1909    61.4    131.6     39.9     23.3     68.5     22.6      6.2    126.2     43.0     93.8    145.8    179.6 
  1910   352.9    127.9      3.0     30.1     52.2     37.7     73.4    136.8     68.6    123.5    232.1    540.2 
  1911    97.0     12.1      2.7       .0     13.2     -9.9M    -9.9M    14.6    145.7    311.4    812.6     -9.9M
  1912    30.3      5.0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    30.9    231.5    338.9    372.3 
  1913    -9.9M    45.9      8.7     20.4     21.7      2.0     16.4     53.5      5.0    150.7    278.4    894.6 
  1914   424.2     33.0     80.0     23.3     30.4     56.2      8.0     58.1     38.4    302.2    640.4    592.4 
  1915   605.0     17.4    114.9     29.9     47.9      9.8     79.1     13.4     51.3    131.4    265.6    329.9 
  1916    60.6      8.2     46.0     69.7     45.7      1.0    157.4     59.9    119.6     98.3    307.7    194.4 
  1917   409.1    181.0    262.2     10.2      7.2     65.2      3.9    104.7     91.1     20.4    306.9    378.6 
  1918   392.8     16.8     41.9      2.0     15.5     69.6      2.5      8.7     12.9    202.2    210.9    567.6 
  1919   204.6     12.4     41.4     11.8     -9.9M    42.5     75.6      5.2     68.7     99.8    207.2    543.8 
  1920   150.1     75.4     48.6     68.7     15.2     40.8     20.2     49.5     55.8    135.8    880.0    248.4 
  1921   509.7      1.2     35.9     83.4      1.5     14.3     81.0     85.5      6.7    166.7    220.6    450.2 
  1922   287.5    139.6       .0    107.0    158.3      2.0       .0     26.3      4.1    287.4    466.0    254.3 
  1923   552.6      2.2     50.6      1.0       .0     21.9     22.1      3.0     48.6    133.5    195.6     -9.9M
  1924   333.2      9.6    301.7     30.4     55.9     17.7     12.0     95.8    128.1    165.0    207.9    235.7 
  1925   230.2    302.7     -9.9M    18.7     79.0     19.9     19.7     21.2      9.1    231.8    460.7    480.0 
  1926   428.7     48.1     27.1     10.6     78.4       .9     23.1     28.6     69.5    189.0    341.8    251.3 
  1927   252.4    109.1    447.3    101.8     47.8      7.8       .0     52.7    148.7     34.6    507.5    553.3 
  1928   353.6    130.2       .2     72.4      3.5     -9.9M    50.3     21.5     31.7    249.5    565.2    231.1 
  1929    11.0    185.9     67.2     99.0      9.5     10.3      1.5     64.0    180.2    104.7    332.6    438.9 
  1930   285.0     20.8     10.7     59.4    223.8     79.2      4.3    125.2     45.3    335.6    530.4    138.5 
  1931   430.5     84.8     89.9     88.4     37.3     14.7     29.8     72.4     55.5     78.0    263.0    565.1 
  1932    84.1    237.6    111.8      2.0     34.8       .0      3.8    129.7      3.7    421.1    188.5    303.7 
  1933   711.9    121.1     23.3    108.4     87.4     30.0      8.8     75.7     87.9    164.6    107.2    471.5 
  1934   306.4    277.4    100.3     41.1      4.9     17.8     35.9      2.5     41.9    189.2    174.4    306.2 
  1935   147.1     57.7     41.1     73.5      5.0       .4      6.4     73.7     79.3    113.5    355.8    454.0 
  1936   320.4     97.8    165.0      6.8     79.3     14.8     19.0     20.3     58.6    183.1    253.8    895.2 
  1937   382.6    247.3     65.2    150.6     51.4       .5     55.9      5.8    121.6     67.0    286.9    109.6 
  1938   318.6    466.6    285.0    157.0     19.0     18.8     29.5    130.5     67.9    152.6    103.8    280.7 
  1939   100.5     59.6      6.2    171.8       .0      6.4      3.4     55.0      5.0    300.3    360.6    265.1 
  1940     7.4    193.4     50.7     63.1     87.8     59.5      9.5      4.3      1.9    211.5    391.8    570.0 
  1941   326.6    220.8     18.5     94.7      2.9     21.6      3.8      5.0     50.3    166.1    465.1    252.7 
  1942   253.0    112.1    220.1    124.6      2.4      3.2     20.8     92.8     50.8    190.4    252.6    604.1 
