 
 
 
 
                              STATION NAME : KOSLANDA,POLICE STATION 
                              LAT:  6.73N    LON: 81.02E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1896    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    17.9     82.6    287.9    562.5    551.6    469.8 
  1897      .0    259.0    726.8    546.6    173.5     56.3     22.2    162.4    106.9    205.3    642.5    462.2 
  1898   100.0    156.7    263.9    400.6    114.8      5.5     26.9     62.1     57.1    409.1    392.4    138.7 
  1899   128.0       .0    274.9    516.6     85.3       .0     19.0     18.2     20.9    671.0    347.9    277.2 
  1900    -9.9M    -9.9M   363.4    477.5    190.4     39.3     50.1     61.4     36.4    428.4    612.6    166.6 
  1901   245.0    118.6     36.1    368.0    116.5     33.7       .5     46.5     -9.9M   219.8    436.7     49.6 
  1902   256.8     39.1    122.1    470.0    211.4     52.4       .0    130.7    221.8    577.9    519.0     -9.9M
  1903    93.9     66.7    136.9    383.2    261.2     -9.9M    20.6     58.3    278.4    459.6    373.0    623.1 
  1904    -9.9M    43.5     77.4    438.9    138.8     18.8     57.7      5.0     73.1    442.0    338.6    138.1 
  1905   106.2    154.3    117.7    465.5    264.9     34.2     10.1    108.3    134.1    333.6    567.6     97.0 
  1906    83.3    221.8    218.9    226.9    160.2     25.9     22.2    181.3     32.6    345.1    326.0    461.8 
  1907    95.5     95.8    681.6    342.9     60.3     55.7     69.8       .0     35.7    540.9    494.1    132.2 
  1908    82.5    301.5    124.9    194.3     91.7       .0     39.2     21.7     96.6    236.9    310.1    308.5 
  1909    67.1    135.7    365.7    279.9     39.4     14.4      3.5    183.4     23.4     -9.9M   440.6    166.5 
  1910    56.9    160.3     51.3    267.8    210.3       .0    172.0    106.0     15.4    146.1    556.9    143.9 
  1911    30.5     40.6    111.0    125.3     24.8     40.9       .0     78.8     84.2    405.4    375.4    387.5 
  1912    69.7     45.6    219.1    349.2    204.7       .0     13.9     46.8     48.2    196.1    471.8    265.1 
  1913   338.1     87.4    121.7    856.0    149.8     88.8     25.4     35.9     32.2    463.4    207.8    422.6 
  1914    37.9     97.2    348.4    422.2    147.0     17.2       .0     38.0    132.8    530.9    372.6    369.1 
  1915   212.9    137.8    149.5    528.3     66.8     20.6    111.7     92.8    165.7    166.4    593.5    175.0 
  1916    13.3     45.3    441.5    405.2    357.2      8.1    208.5    103.8    113.2    105.6    551.6    122.7 
  1917   138.4    191.6    437.8    241.3    132.2     39.2    139.6    104.0    150.1    139.8    398.4    318.0 
  1918   254.0      2.7    298.3    413.5     83.1     11.4     73.7      4.6     23.9    578.3    594.1    206.6 
  1919   295.3     34.2    306.9    318.0    179.1      8.2     64.3      3.8    126.5    552.9    207.6    260.8 
  1920   201.0     65.3    231.2    330.0    126.6     86.3     12.0     23.5     28.1    255.7    623.4    176.2 
  1921   347.6     35.4    193.1    525.6     26.0     57.7     21.3    115.1     57.4    556.9    288.6     94.9 
  1922   184.4    287.5    197.5    242.0     51.2     20.6      4.8     20.6     29.2    717.9    484.1    129.7 
  1923   396.6     45.1    212.8    337.7     93.2     47.1     27.5     25.9    101.6    433.8    499.6    315.2 
  1924    84.2    152.9    288.1    228.1    364.1      3.1      6.1     33.8    224.3    488.8    429.8    260.0 
  1925   194.9    107.8    621.4    292.0    174.2     21.5     39.0      1.4    230.7    406.9    635.4    170.8 
  1926   123.0      2.0    269.8    405.4    520.8      3.7     42.5     20.4     81.3    170.7    375.5    178.1 
  1927   268.2     59.3    430.2    260.1     87.1      6.3     15.2    126.4    364.0    310.3    333.6    182.8 
  1928   103.2     75.2    159.6    557.0    118.2       .9    207.4      2.0     11.7    355.2    525.2    191.8 
  1929    67.2     42.3    319.3    580.3    102.2     36.1     11.1     35.9    208.2    199.4    392.3    187.0 
  1930   118.5    233.5    345.7    330.0    218.3     37.4       .0     65.6     79.4    500.7    587.7     64.9 
  1931   114.8     15.7    174.2    562.9    182.7     34.0     51.3     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1932     3.8     56.2     85.5    143.6     68.5      3.6     -9.9M   126.7      6.8    141.0    167.0     92.0 
  1933   135.5     79.7     -9.9M   145.5    181.5      5.0     91.1     79.0     21.4    130.8    228.8     59.1 
  1934   576.0    277.7    435.8    446.7    333.0       .0     34.2      8.8     25.4    283.4    424.6       .0 
  1935    79.4    100.2    374.0    338.0    135.0     11.3       .0       .0      3.8    331.1    475.4    395.6 
  1936    56.2    100.1    340.1    393.2    180.3     42.5     60.3     20.3    315.9    238.8    291.7    270.7 
  1937   226.4    242.1    234.7    317.9    103.0       .0     22.9    154.8    193.5    561.4    487.6    200.7 
  1938    24.8    367.7    439.8    497.1     12.1       .0     58.2     52.9    218.3     71.7    385.5    147.9 
  1939    81.0      4.1    264.9    532.5     95.1     62.7      1.2     40.5     14.0    201.9    427.4    304.7 
  1940      .0     35.2     85.8    166.2    267.8     27.4       .0      2.5    106.0    392.7    624.5    233.2 
  1941    59.5       .0    387.1    383.1    328.8      1.7      7.8       .0     82.7    671.2     -9.9M   173.5 
  1942   154.8     62.8    393.9    316.9    232.6       .0     32.1     88.0     49.2    284.1     78.8    185.7 
  1943   261.9     64.0    193.5    332.6    239.5      6.7      7.7     20.8     50.4    353.7    387.8    395.3 
  1944   157.8    124.7    277.4    545.7    178.8     10.6       .0     57.8     94.9    433.5    663.2    399.1 
  1945      .0     69.8    270.7    177.2    113.3    110.3      3.2     15.8       .5    395.4    894.8    258.3 
  1946    72.5     54.2    291.6    596.3    163.9      2.5     11.6     25.7     79.4    346.7    472.4    304.9 
  1947   128.4     26.0    555.2    292.6    268.9     29.7     80.4    169.9     27.1    318.8    233.8    242.5 
  1948   360.7     48.9    187.7    258.4    138.4       .0       .0     28.4      9.6    344.0    611.9    266.7 
  1949   103.7     92.5     84.5    336.3    177.7     13.9    163.8     48.8     35.8    142.8    264.9    270.0 
  1950      .0    108.9    110.8    323.3     29.8       .0       .0     76.5     54.8    281.6    370.1    171.8 
  1951   333.9    102.1    259.3    492.6    136.8     12.6     10.1     24.8    338.3    224.6    686.5    104.1 
  1952   136.7    114.5    287.8    783.2    290.9     12.7     83.9     41.9    181.5     65.5    412.2    127.6 
  1953   102.9     87.2    257.2    304.1      6.8    132.7    148.9     16.8    190.8    530.3    263.4    164.8 
  1954   341.6    133.9    374.7    467.2    177.6       .0     21.2     51.5      8.1    355.7    198.4    378.6 
  1955   180.4    160.4    342.9    319.8     69.9      5.0       .0    136.1    173.2    240.8    593.4     65.6 
  1956    83.1       .0    214.6     49.3       .0     42.9     13.9     31.5     44.0    147.0    630.5    179.6 
  1957    50.6     69.0    140.7    425.3    196.0     19.6     68.4     33.7      5.0    339.1    548.1    654.0 
  1958    78.4     33.6    377.1    403.2    253.3      5.0      3.2     93.3    105.3    440.9    511.8       .9 
  1959    39.3     97.8     87.5    409.1    212.1      9.9     12.1       .5     27.1    319.6    352.0     82.7 
  1960   215.1    198.6    104.4     -9.9M    69.0     18.7    264.7     12.7    110.9    366.5    470.3     75.2 
  1961   337.5    221.1    208.6    308.7     97.8     33.2     10.1       .0    111.7    560.9    257.3    139.5 
  1962   149.7       .0    319.8    157.4    254.9     79.6     -9.9M    -9.9M      .0     -9.9M    -9.9M    -9.9M
  1990    93.3    169.0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1991    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     4.1     12.7     29.7     -9.9M   144.3     69.9 
  1992   232.0     10.2       .0     -9.9M    93.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
