 
 
 
 
                              STATION NAME : PUWAKPITIYA (AV-WELLA E)
                              LAT:  6.92N    LON: 80.18E    ELEV:  228.7M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1897    43.0    218.9    213.7    351.1    247.4    420.4    289.4    543.1    641.5    260.5    245.3     -9.9M
  1898    48.8    207.1    153.8    442.7    488.3    488.6    439.5    103.0    443.7    762.5    408.0    307.2 
  1899   102.1    115.7    105.7    444.8    491.5    554.0    165.0    138.0    149.3    416.0    350.5    117.4 
  1900   270.6     61.5    178.0    561.1    252.6    525.8    473.1    456.7    341.3    556.1    350.9     -9.9M
  1901   260.2    201.3    181.8    444.9    437.8    368.1    314.0    129.4    287.0    373.3    512.7    145.3 
  1902    66.4    206.5    297.4    599.5    648.3    332.1    349.2    263.8    348.6    614.7    800.3    328.4 
  1903   304.4    116.7     15.4    410.3    790.7    594.5    284.8    406.8    746.5    747.2    140.7     70.1 
  1904   302.0    108.0    103.2    249.6    509.5    596.5    389.4     15.5    322.0    677.2    114.8    165.8 
  1905   164.7    173.4     19.6    337.0    748.6    432.2    103.0    134.8    296.2    469.3    571.5     74.8 
  1906   139.1     28.1     62.3    106.7    260.0    238.8    164.0    213.7     55.3    949.1    372.7    197.8 
  1907    97.6     42.7    316.4    357.7    311.7    531.5    314.0    304.0    280.8    626.2    528.2    132.4 
  1908   239.5    144.5    403.5    336.6    401.4    354.5     -9.9M    95.3    355.9    404.1    110.7    249.6 
  1909   146.5    154.3    421.7    232.0    342.4    400.2    498.8    714.0     84.9    729.3    332.6    130.7 
  1910   103.0     48.6     93.2    312.1    224.0    516.6    265.5     80.4    274.9    791.2    511.4    284.6 
  1911   202.0     62.8     -9.9M    96.3    289.8    463.2    179.0    130.3    252.2    905.9    455.4    289.5 
  1912    61.5    102.0    265.7    501.9    609.6    596.7    214.0    178.1    285.4    679.5    405.0    340.2 
  1913   327.6    163.8    122.8    355.1    397.1    213.3    204.4    125.1    201.7    456.9    428.7    362.0 
  1914    42.3     51.3    180.7    206.3    242.3    472.7    116.7    103.6    295.1    511.5    344.7    298.8 
  1915   318.2     17.4    215.6    385.6    333.6    633.6    638.3     46.3    440.7    161.0    643.9    236.0 
  1916     2.2     16.6    519.1    304.5   1122.1    368.8    750.0    321.0    256.5    362.4    517.3     47.8 
  1917    68.8    306.0    328.1    304.7    269.0    287.0    156.9    219.4    684.5    299.0    469.8    249.9 
  1918   193.2     76.8    282.5    181.8    460.5    453.0    365.3    161.8     69.4    342.4    261.5    506.8 
  1919   186.5     45.6    204.7    233.0    813.1    154.8    255.1    158.0    713.6    453.1    564.0    124.7 
  1920   126.5    125.2    373.9    804.1    275.6    725.6    174.3     72.1    271.1    363.2    478.3    319.0 
  1921   287.3     37.3    190.3    309.0    568.7    184.5    231.7    362.8     92.0    549.3    295.5    209.7 
  1922    95.9     87.3     95.7    210.0    453.7    504.1     99.3    118.7    152.5    268.2    572.6    120.0 
  1923   279.4     13.6    334.1    288.1    265.4    513.0    466.3    517.0    734.0    687.9    490.0    412.6 
  1924   216.7    112.9    303.5    173.1    512.6    345.4    459.0    335.0    622.0    350.4    370.9    290.9 
  1925   242.5    177.6    489.8    208.3    349.1    438.7    200.1    164.9    418.7    512.2    701.8    223.4 
  1926   260.3     32.9    226.7    291.7    732.8    655.3    488.8    245.7    378.8    511.9    178.6    218.1 
  1927   161.3    157.0    242.4    403.4    996.1    427.0    148.4     79.8    390.9    329.1    311.2    189.7 
  1928   201.1    213.2    185.0    390.5    197.0    390.0    252.1    203.7    124.9    779.1    533.0    233.5 
  1929   175.2    126.5    206.8    729.5    438.1    445.6    185.5     13.4    203.1    448.3    310.2    214.2 
  1930   231.1    154.6    212.1    291.6    716.6    377.9     71.8     95.4    269.4    721.0    419.6     74.3 
  1931   132.8     80.5    244.6    154.5    498.2    554.0    514.4    483.6    270.5    116.1    591.4    289.8 
  1932      .0    209.8    238.5    498.4    615.7    178.4    107.0    484.3    251.3    595.0    586.7    177.4 
  1933   265.3    214.7    219.4    254.0    659.8    487.9    357.8    384.4    270.8    519.6    348.2     58.6 
  1934   312.6    129.2    446.2    364.1    223.7    655.8     74.9     51.0     48.1    654.0    551.0    158.9 
  1935   149.2    178.9    353.5    231.3    400.0    421.5    115.4    369.8    208.4    511.9    406.4    229.4 
  1936   123.2    183.6    301.8    135.2   1113.1    269.0    304.9    118.8    438.6    365.0    578.4    334.8 
  1937   276.5    288.7    301.3    360.7    957.3    282.6    209.9    245.9    436.0    443.7    509.9    344.8 
  1938   130.9    422.5    387.5    591.4    289.8    159.1    256.3    286.7    367.8    195.5    115.5    174.1 
  1939   205.4     18.5    103.1    360.2    459.6    433.0    384.8    403.5    243.6    526.9    484.5    219.0 
  1940     1.9     15.2     46.5    520.8    656.4    425.2    184.4    274.3    192.9    607.4    653.9     91.8 
  1941   242.1    117.7    277.6    187.3    493.8    389.0    175.1    517.4    535.4    507.0    731.8    110.8 
  1942   105.8     91.0    443.5    377.4    501.9    459.8    251.6    328.8    170.8    474.3    173.2    337.7 
  1943   118.7     38.7    112.2    356.5    775.5    419.3    121.8    252.4    218.5    612.6    599.5    544.2 
  1944   165.4    305.2    380.9    261.9    647.4    382.5    113.8    276.5    655.7    578.1    390.9    183.8 
  1945    12.3     82.2    394.5    131.3    196.7    422.3    148.9    125.4     88.7    749.2    300.2    165.0 
  1946    24.5    185.8    226.6    581.7    226.8    434.3    258.9    378.5    330.1    402.4    616.6    723.9 
  1947   196.0     55.8    244.4     83.2    179.8    383.3    335.9    709.4    326.6    520.3    237.5    172.7 
  1948   182.8      3.5    383.6    219.7    295.2    540.3    171.3    158.0    155.7    419.9    422.0    416.4 
  1949   152.1     29.6    159.1    373.3    533.7    535.9    469.0    549.4    154.8    544.4    238.9    156.5 
  1950   124.7    179.7    157.7    227.3    229.5    273.3     -9.9M   182.6    259.6    460.4    245.8    222.5 
  1951   184.6    117.2    415.8    440.1    623.2    394.5    389.1     22.8    455.5    472.1    526.2     49.3 
  1952   240.8    245.8     93.1    718.1    551.3    243.3     56.6    135.5    140.5    646.9    239.4    242.6 
  1953    70.7    210.2    412.7    313.2     21.4    143.2    824.5    140.5    179.6    660.7    246.1    292.7 
  1954   144.3    160.9    718.1    495.9    432.0    110.0    122.3    338.3    112.2    721.0    222.7    681.7 
  1955   154.8    226.9    381.4    342.3    722.3    481.5    282.3     85.8    585.2    725.4    559.3     25.2 
  1956   155.8     60.5    355.4    317.0    229.9    393.1     27.8    192.8    377.1    596.2    436.9    135.6 
  1957   106.4    153.7     71.5    494.4    533.8    541.8    320.6     96.8     54.3    302.2    899.4    529.5 
