



                              STATION NAME : COLOMBO                 
                              LAT:  6.90N    LON: 79.87E    ELEV:    7.3M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   189.6    124.6     94.3    355.4    144.2 
  1870    84.7     11.4    310.3    160.8    169.3     67.3     58.9    124.0     97.7    818.2    346.6     93.1 
  1871    74.8     19.4    179.5    195.5    152.4    159.2     63.1     34.8     39.4    204.6    279.0    171.5 
  1872    34.4     23.4    151.5    253.4     71.0     27.3     25.2     89.7    159.5     78.3    316.5     51.3 
  1873     1.0     91.1    183.2    138.0    529.2    122.2     87.0     42.8     25.1    235.5    204.9    108.5 
  1874    52.2    113.4     37.9     64.6    312.3    105.5     58.3     23.6     22.9    254.4    230.2     77.7 
  1875    -9.9M      .0    118.3    485.0    314.7    398.5     74.3     83.2     68.5    249.9    360.0     56.9 
  1876   113.7       .0    117.5    357.3    610.2    108.6     46.0     13.3     34.7    486.8     72.3    102.8 
  1877    46.6      5.0     71.6    113.6    277.6    340.2     84.5    145.4    498.3    281.1    416.2    391.6 
  1878   318.6      3.5     21.1    107.0    559.8    506.0    530.5    487.4    165.7    430.3    110.2    111.2 
  1879    58.0     78.1    237.2    367.2    268.0    150.4    179.9     16.9     25.9    237.3    371.7    144.8 
  1880    -9.9M    -9.9M    -9.9M   390.2    162.5     15.1     74.3     23.6     28.4     86.6    452.0     79.7 
  1881   122.0       .0    109.9    243.2    161.5     62.8     55.9    156.2    184.1     -9.9M   729.1    216.7 
  1882    70.5     82.9     51.9     48.3    323.7    167.0    326.7     57.2     53.7    296.7    420.7    209.4 
  1883    59.1     42.7    142.0    223.4    471.5    296.6     79.8    478.1     83.6    356.0    223.2    185.7 
  1884     1.5     22.8     46.3    135.4    261.4    185.1     51.2     24.7    138.2    341.9    449.6    362.5 
  1885    43.9     18.8    144.6     90.2    233.2    476.9    104.8     66.9    100.0    408.2    317.1    159.3 
  1886    61.3      7.3     98.2    183.7    565.1    230.6    199.3     43.9    204.5    407.1    163.2     59.3 
  1887    60.9     55.6     42.0    603.2    358.2    166.1     29.8    124.9     12.0    339.7    165.4    176.3 
  1888      .5     82.9     41.4    729.9    407.1    229.1     24.8     28.2     83.6    399.6    359.5    174.8 
  1889   146.5      9.6     41.9    384.6    395.0     58.4    187.6    120.2    636.1    379.9    260.7    133.1 
  1890    20.1    110.3    134.6    361.3    163.8     46.9     83.9     18.0     37.3    337.9    311.9    214.5 
  1891    36.7     71.5    238.9    154.9    447.3    247.9    116.1     41.1    111.4    894.1    466.0    193.5 
  1892    85.4    134.7     38.4    352.7     75.6    167.5     18.8     46.6     23.0    309.9    148.6     20.7 
  1893   137.4     59.3    138.1    517.0    260.7    278.9     55.3     25.1     50.0    140.9    458.5    155.2 
  1894    15.5     12.9    188.4    316.9     75.5    286.7     43.2     21.4     20.5    527.5    294.5     82.0 
  1895   126.4     20.4     45.5    236.0    255.2    354.3     13.0     23.0    102.8     -9.9M   147.5    216.3 
  1896    75.3      8.8    142.6    149.9    235.8    211.9     72.0    162.1    278.0    424.9    501.9    297.7 
  1897    96.9       .0     92.4    278.1    209.7    256.5    132.1    231.1    115.2    118.9    295.5    224.9 
  1898    58.4     50.0    106.5    578.0    146.1    276.8    155.5     24.2    174.3    522.0    440.3     76.7 
  1899   176.8     70.4     22.1    153.5    449.3    233.2     27.8     15.5     37.2    331.2    217.4    112.4 
  1900    94.1     -9.9M    93.8     -9.9M   269.3    147.3    145.9    186.1     93.4    224.4    386.4    131.6 
  1901   301.8     84.7    121.0    221.6    177.9    149.7    114.0     11.4     99.6     98.7    553.5     91.1 
  1902    49.4    115.9    178.5    253.7    304.3    248.8    116.9     -9.9M   204.4    797.8    514.4    154.3 
  1903    94.4    100.1     63.9    208.1     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    55.5 
  1904   128.9     51.9    160.9    136.5    234.4    239.8    226.2      9.0     44.8    555.7     85.9     53.5 
  1905   104.0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    31.0     14.6    273.2    375.0    129.3     12.0 
  1906   159.3     21.5    111.7     -9.9M   175.5     92.3    111.6    148.2      1.2    399.9    305.2     47.2 
  1907    20.7     97.5     26.3    155.7    137.7    162.8    220.5     44.1     84.5    372.6    429.7     32.5 
  1908   106.2     39.7    113.4    275.2    227.9     78.0     35.4     61.6     64.3    336.0     89.3     27.2 
  1909    41.8     25.7     90.7     84.6    143.3     91.4    261.2    188.7     26.7    412.1    255.5     28.5 
  1910    23.9     25.1     21.2    118.9     58.1    106.1     71.4     20.8     54.0    426.6    144.3     85.3 
  1911   147.8     18.9      7.8     18.3    253.1    145.3     69.5     34.1    121.9     -9.9M    -9.9M    -9.9M
  1912    -9.9M    57.1     36.7    268.1    474.4    481.9    116.0     44.8    109.5    446.6    310.8    144.7 
  1913   210.9     28.6    204.6    308.8     -9.9M   125.3     -9.9M    15.9     86.3    163.3    297.9    298.2 
  1914     3.0     39.5     -9.9M    95.5    364.8    264.4     95.0     37.5    104.6    405.6    303.2     73.4 
  1915    37.1    137.4    128.4    119.6    278.6    206.3    319.9     14.2    181.1    358.0    637.5     37.5 
  1916     7.8      1.7    112.9    282.9    790.4    201.4    342.8    123.9    111.8     81.7    203.5     51.3 
  1917   186.0    106.4    252.6    121.1    141.7    141.5     68.3     57.2    324.3    106.8    279.9    108.6 
  1918    84.5      2.5     46.8    114.7    282.1    126.9     78.3     52.0     26.4    373.8    128.8    112.2 
  1919   109.4      8.5     84.8    150.7    507.2     90.4    107.0    112.8    424.0    315.5    225.0    235.1 
  1920    20.7     71.0    142.4    374.3    219.6    441.7     63.8     23.4     51.2    386.9    365.6    111.7 
  1921   191.0      4.8    123.9    227.0    128.2     37.4    126.8     81.7     23.5    213.3     87.2    100.0 
  1922    53.5     53.6     41.0    210.0    587.2    249.4     68.3     27.7     34.1    276.4    544.2     90.1 
  1923   173.9       .2     82.1    189.3    113.3    201.2    315.0    206.4    344.4    336.7    222.4    228.2 
  1924    64.9     67.4    288.0    225.0    550.9    176.2    348.3    114.4    380.2    368.7    243.2    274.5 
  1925    89.3    177.9    185.4    404.5    202.2    305.7    145.4    121.5    309.6    347.6    639.5    321.2 
