



                              STATION NAME : DANDENIYA TANK          
                              LAT:  6.00N    LON: 80.65E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1880    -9.9M    52.2     96.0    256.8    688.4     44.3     89.4     45.2     34.2    133.5    296.2    146.7 
  1881    18.4     43.1     39.2     66.2     49.7    164.1    152.6    240.6    326.4    530.2    314.3    363.0 
  1882   206.9     98.9    110.3    122.1    480.4    254.8    544.0    170.9     39.1    333.4    141.7    255.8 
  1883    17.6     53.1    184.9     67.1    285.2    193.7    316.3    185.3    213.5    354.6    406.9     69.6 
  1884      .0     12.6     48.1     41.7    447.0    219.7     91.1    135.3    195.9    237.8    160.8    103.9 
  1885     5.0     61.9     73.5     37.7     54.3    362.3     69.1    123.5    279.9    406.9    300.1    141.9 
  1886    89.2     14.7     12.1    108.0    412.3    206.4    152.9     94.3    170.4    216.2    206.2    231.7 
  1887    60.5     28.8     11.3    432.6     97.2    246.5     49.6    181.1     87.4    316.1    424.4    360.4 
  1888     3.0     18.0     14.5     88.6    294.4    429.5     24.9     72.4     98.3    187.5    218.0    102.1 
  1889    22.4     47.4    103.3    111.5    296.9    159.0    157.1     67.4    373.4     63.3    266.0    281.9 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    62.2     32.3     88.3    174.1    115.2     66.9 
  1891    52.2     53.7    183.1     74.2    353.3    320.9    168.4    202.6    317.3    615.5    112.5    137.6 
  1892   193.0    143.9      3.7    174.1    178.5    107.7     93.5    105.5     91.2    321.2     40.8     59.7 
  1893   141.4     23.3     -9.9M   102.5    481.8    238.8     54.2    205.2     57.9    162.0    507.6    138.6 
  1894    28.3      3.8    159.5    215.2     29.0    203.3     31.0     55.5    108.0    208.6    170.1     45.5 
  1895    59.1     47.6     17.9    180.0     78.4    114.1     48.4    173.0    296.1    180.0    122.3    174.6 
  1896   109.6     64.8    109.7     52.0    151.1    184.2     88.6    117.0    387.6    118.8    244.3    180.1 
  1897    10.0    142.8     29.7    212.6    337.4    248.4    170.5    319.8    270.5     81.4    100.4     36.5 
  1898    72.4     41.1     13.3    117.3    180.3    156.1    199.9     85.6    197.8    175.4    241.3     93.3 
  1899   153.5       .0     26.9    196.3    315.1    171.0    145.4    123.3     92.7    231.1    236.0     82.3 
  1900   133.2     39.0    148.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1901    70.5     64.9    113.7    154.5    330.1    242.9    274.3     31.6    111.6    119.7    339.1     80.6 
  1902   149.4     15.7     68.3    330.5    317.1    261.0     96.7     52.7    288.6    367.4    163.2    102.2 
  1903    94.4     78.6      5.5     41.7    365.6    149.1    107.2     91.8    168.2    210.3    174.1    183.1 
  1904   130.3     31.7     45.7    142.6    145.0    273.8    182.2     11.5    217.9    316.3    110.9     74.5 
  1905    19.2    133.4       .0    284.6    232.9    174.6     69.9    155.7    189.6    244.9    319.7    104.9 
  1906    14.4     27.5     67.0    101.5    152.6    126.0    191.5     77.0     39.6    281.6    170.6     68.2 
  1907   129.2     78.7    131.8    156.1    189.6     54.0    146.6    101.2    148.9    202.7    226.9     85.8 
  1908    47.3     30.1     36.1     85.3    190.8     78.6     75.4    108.0    255.2    271.4    400.2    193.7 
  1909   113.1    105.2    113.6    268.7    138.7     98.8    351.0    227.1     59.0    219.7    207.4    123.2 
  1910    41.2     17.3     46.1     49.6     92.6    156.6    127.7     77.7     59.4     83.6    146.4     80.3 
  1911      .0     40.5     23.1     62.4     68.2    113.7     97.4      2.5     72.7    122.7    268.0    192.2 
  1912      .0      5.3     10.6     64.9    235.2    236.6    301.0     26.6    143.2    429.9    121.9     75.4 
  1913   247.5       .0     63.7     80.0    111.6    246.9    142.3    151.6    102.6    351.3    321.9    301.3 
  1914    76.0       .0     70.4    103.3    163.0    359.8    209.2     99.5    108.4    208.8    381.6    415.3 
  1915   156.8     21.3     18.9     93.5    327.3    420.9    492.6     22.3    362.6    293.5    852.6     82.1 
  1916     2.0      2.0    103.8     65.1    812.3    154.4    310.6     94.4    148.6    157.0    140.9     77.4 
  1917   106.4    123.6    238.5     81.7    120.0    160.7    101.5     64.5    272.9    197.9    137.3    191.2 
  1918    91.4      3.7     43.2     71.5    251.7    169.8    174.8    150.8     55.4    244.7     93.5     61.9 
  1919     5.3      5.5     58.9    136.8    113.9    345.3    204.3     63.4    623.7    143.0    200.3    234.3 
  1920    62.4     15.4    134.1    252.7     49.1    236.9     72.2     32.6     82.4    137.5    416.2    170.7 
  1921    73.7       .0     38.7    143.8     81.0     55.5    188.5    170.0     73.1    274.8    235.9     16.8 
  1922    23.2     43.2     18.3    188.4    294.9    273.7     75.8    130.4    150.4     77.7    244.2    195.0 
  1923    74.6      7.8     81.3     28.7     61.1    290.1    433.9    192.5    569.5    199.4    317.1    138.9 
  1924    60.4     61.3    246.8     43.1    227.6    138.8    362.7    174.7    279.8    217.3    241.0     39.1 
  1925   125.9     21.2    204.6     67.2    261.7    157.8     68.7     83.7    181.1    327.5    202.4    365.3 
  1926    46.6     27.4     16.8     42.3    291.1    225.8    143.3    149.4    255.3    181.4     66.4    175.2 
  1927   267.9    106.3    259.7    143.5    352.6    389.5    274.9    219.5    308.5     88.9    451.1    117.9 
  1928    38.1     82.0     52.7    132.3    137.1    135.6    169.6    217.2    114.5    330.2    490.8    143.9 
  1929    93.9     20.4     74.4    184.9    166.4    153.2     68.3     49.8    118.9    154.7    333.6    137.3 
  1930    26.2    103.4    221.9    120.4    291.8    152.7     70.6     56.1    131.1    248.5    170.1     60.0 
  1931   187.6     12.6     71.9    236.9    376.2    245.4    146.2    289.9    168.7    101.4    298.1    244.9 
  1932    31.6      8.6      6.5    185.5    243.7    141.5    102.2    439.8    107.0    173.4    207.7    175.8 
  1933   236.6    142.9    116.2    352.1    651.1    236.3    137.4    125.8    141.5    237.6    334.8     88.3 
  1934   123.3    129.5    108.1    102.4    197.5    239.9     22.7    113.8     42.2    512.4     89.1     70.6 
  1935    61.8       .0     90.4     56.0    431.7    243.9     29.7    135.2    142.7    387.0    349.3    274.5 
  1936    82.1     79.7    201.1     43.7    392.8    132.0     98.8     43.1    198.7    166.1    240.5    110.3 
  1937   156.0     19.0     29.7    239.5    398.3     74.0    172.7    183.2     67.2    122.0    345.2     60.6 
  1938    36.7    208.7    190.6    290.1     38.6     74.9    148.5    140.1    274.5     64.2     51.5    160.2 
  1939    29.6       .0    105.3    244.4    170.2    175.5    111.4    108.4    108.3    199.1    294.3    122.9 
  1940     2.0       .5     24.7    102.1    422.7    158.0     52.1     43.2    103.9    268.4    341.1    226.7 
  1941    34.2     53.6     58.5    121.2    354.5    154.3    151.3    248.2    385.4    396.0    262.1     26.9 
  1942    48.8     65.6    106.3    303.3    249.1    138.0     60.5    123.2    245.6    529.4    145.1    245.9 
  1943     3.3     73.7    123.1     87.8    576.3    182.8     60.9     70.6     48.8    134.0    388.6    125.3 
  1944   117.2    186.0    114.4    145.8    716.4    193.4     60.4    149.8    291.8    314.6    314.0     97.2 
  1945      .0      1.7    139.9      3.9     65.2    290.4    156.5     76.5    127.5    238.0    243.5     37.7 
  1946    15.4     68.8    130.6     82.5     32.2     94.2     94.3    123.7    190.4    270.7    210.3    247.5 
  1947    66.1     14.4    188.5    177.2    320.3    214.6     79.1    303.0     23.8    294.7     72.2    348.5 
  1948    44.0     11.8     66.3     67.7    164.5    244.1     43.8     52.3    141.8    253.0    256.0    195.2 
