



                              STATION NAME : DENIYAYA (ANNINGKANDA)  
                              LAT:  6.35N    LON: 80.62E    ELEV:  533.5M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1884    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   212.5    127.3     -9.9M   206.2     -9.9M   417.8     -9.9M
  1885    33.1     -9.9M   244.4     51.8    209.5    565.6    147.4    151.4    168.8    324.8    671.5    275.6 
  1886   275.3     50.3    396.7    284.5    455.5    292.6    192.7    182.7    399.8    293.8    196.1    264.7 
  1887    93.0    119.3    219.6    528.5    201.0    269.8    168.6    236.0    101.7    463.9    552.0    486.4 
  1888   165.2     71.4    151.7    181.5    257.0    709.8     84.5    174.1    110.0    401.6    437.8    135.8 
  1889   217.2    223.8    605.5    347.3    321.4    224.0    341.5    203.6    361.2     -9.9M   419.9    382.9 
  1890   102.7    194.4    115.1    375.7    125.8    139.2     88.8     56.0    172.3    251.8    540.9    336.7 
  1891   141.4    110.8    352.9    371.1    566.5    474.1    114.4     -9.9M   375.8     -9.9M   248.3    477.9 
  1892   358.1    326.5     66.7    182.9    178.2    141.2    125.5    147.0     -9.9M   424.4    790.0    163.7 
  1893   256.0     57.2    191.3    285.5    347.6    320.6    191.2    172.7    141.3    386.2    697.4    298.1 
  1894   207.9     65.4    371.5    472.6     14.1    265.6     74.4    172.2    257.9    351.1    549.1     -9.9M
  1896   376.0     57.4    301.9    343.5    209.7    286.5    171.4    151.8    293.8     -9.9M    -9.9M   475.3 
  1897    29.4    253.3    465.7    474.5    210.1    319.7    147.3    349.3    506.2    102.0    477.8    536.3 
  1898   156.4    228.1    125.5    299.5    374.6    257.8    274.0     36.2    226.2    327.4    373.1    215.9 
  1899   211.4    205.9    212.2    312.4     -9.9M   455.7    163.7    198.6    155.8    492.5    320.7    451.0 
  1900   175.8    204.0    136.4    594.5    190.7    777.2    428.7    573.6    375.7    777.1    651.2    299.6 
