



                              STATION NAME : GALLE                   
                              LAT:  6.03N    LON: 80.22E    ELEV:   12.5M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1873    -9.9M    -9.9M    -9.9M    -9.9M   327.7    195.8     -9.9M    58.2     78.3    140.5    309.3    170.7 
  1874    95.1    185.4     68.3    100.1     -9.9M   211.6    141.3     60.5    104.9    300.0    355.1    143.4 
  1875    49.0     89.1     -9.9M   284.2    408.7    410.0     -9.9M    -9.9M   132.2    450.3    179.5     -9.9M
  1876    -9.9M    80.1     83.1    306.2    408.8    200.6    158.4     38.5    126.6    429.9    122.4    163.5 
  1877    36.8      7.2    215.2    181.8    479.2    205.7     79.2    333.0    825.2    494.2    357.9    318.5 
  1878   323.0     29.4    129.0    188.3    320.9    462.8    295.8    374.8    263.9    465.9    156.1     92.6 
  1879   144.9     59.6    227.4    467.4    273.1     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1881    -9.9M    -9.9M    -9.9M    -9.9M   122.9    102.1     46.6    228.7     -9.9M    -9.9M    -9.9M    -9.9M
  1889    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   131.4    162.0     40.3    497.6    401.3    413.4     90.0 
  1890    78.0     79.0    213.6    275.5    277.6    127.6    172.7    205.9     83.9    240.6    239.6    174.9 
  1891    43.1     33.0    109.5    292.5    273.3    233.0     -9.9M   137.2    327.8    737.8    331.9    129.9 
  1892   138.5    120.0     33.7    396.6    147.7    145.1     72.9    132.5     79.3    241.0    246.7     76.6 
  1893   160.8     34.8     97.4    572.1    236.1    233.0    146.9    176.0    134.2     78.3    506.9    211.6 
  1894    60.2     42.4    108.3    317.7     16.0    283.2     31.3     96.6    135.4    434.4    420.9    130.1 
  1895   133.8     65.8    140.6    209.8    153.6    126.1     89.3    158.2    180.4    325.7    196.6    167.5 
  1896   123.8      9.7     -9.9M   335.4    301.3    188.9     64.5     67.4    315.1    335.7    515.8    267.5 
  1897    50.3     71.5     25.7    257.7    362.7    175.4    135.9    358.4    294.1     58.2    317.7    105.2 
  1898   109.1     12.2     46.6    158.0    135.2    177.7    261.9     61.0    117.4    355.9    274.6    135.0 
  1899   139.6     46.7     82.1    203.4    447.0    221.4    122.6    120.5     36.6    443.6    172.3    112.0 
  1900    73.4     -9.9M   137.0    334.4    233.8    311.0    281.5    184.9    200.1    244.3    225.7    182.5 
  1911    -9.9M    -9.9M   189.7    167.9    195.3    123.9     79.7     22.4     84.7    352.8    239.2    586.4 
  1912    60.5     48.8     42.7    229.5    411.7    418.0    119.7    127.9    175.8    496.0    105.7    312.9 
  1913   184.4     97.3     68.8    490.6    263.1    109.4    195.8    107.2    140.2    256.8    150.8    462.7 
  1914    29.4     12.8     50.7     65.4    242.6    294.0    172.4     89.5    123.5    395.5    226.7    134.3 
  1915   101.6     54.9    110.2     77.6    603.3    171.0    383.0    167.2    208.6    298.6    746.9    143.5 
  1916    11.9      7.2    222.6    228.1    704.8    164.1    183.0    193.0    133.7    320.3    243.1    148.0 
  1917   127.0     89.9    183.4     88.8    162.0     -9.9M   100.7    112.0    364.2    185.5     90.4     93.8 
  1918   134.0       .0     33.0    122.0    268.6    201.0    141.1    197.8     59.3    533.5    120.1    197.9 
  1919    90.2     61.4     40.8    121.4     -9.9M   163.7    348.4    109.2    626.3    152.4     -9.9M   175.9 
  1920    96.7     83.9    197.9    576.9    162.1    375.7    119.3     49.5    199.2    236.2    476.3    292.6 
  1931   230.5     34.8     51.8    289.7    314.0    243.4    230.5    292.7    154.7    206.1    263.4    358.4 
  1932     9.7     69.4     63.7    249.7    283.6    149.4     47.2    561.4     91.2    326.8    350.7     70.7 
  1933   185.6     62.8     75.4    257.7    527.0    230.6    237.9    186.1    123.2    309.1    230.3    239.9 
  1934   165.7     53.0    311.1    267.2    312.5    435.1     62.7     83.7     74.3    880.0    338.3    103.7 
  1935   153.6     48.7    104.2     82.1    340.1    192.3     57.7    163.3     50.7    331.1    311.9    201.5 
  1936    56.8    113.0     91.6    109.5    511.6    248.0    131.5     90.5    221.8    156.0    534.5    111.3 
  1937    98.6    206.2     37.0    272.2    479.5     64.6    250.7    173.5    244.8    254.5    380.8    133.9 
  1938   125.8    211.2    101.3    294.0     50.8     86.9    177.8     88.3    278.1     51.1    114.4    284.3 
  1939    59.0    114.3     45.9    200.0    241.0    168.9    108.1    162.1    113.0    322.7    388.6    115.6 
  1940    13.3     70.1      8.0    145.1    253.6    194.3    111.0    180.8     66.9    425.9    572.6    183.2 
  1941    78.7    137.4     84.6    289.8    457.7    189.4    180.6    247.8    435.8    438.0    280.5    103.2 
  1942    46.5     29.8    130.0    508.0    222.6    290.6    161.6    138.5    233.7    278.5    171.4    308.8 
  1943    52.7     74.0    293.6    318.2    513.6    251.5     78.1    182.6    104.8    352.6    531.6    303.3 
  1944    78.7    266.8    133.1    165.4    512.0    174.0    137.0    322.1    281.1    514.0    564.9    258.5 
  1945     2.7     65.2    227.6     56.3    257.5    284.7    157.7     24.4    137.2    469.5    273.6     63.9 
  1946    26.6    134.1    134.7    245.8     47.5    223.4    116.0    189.1    192.6    754.9    597.2    219.7 
  1947   163.0     98.6    156.5    224.3    387.6    245.9    237.8    258.5     73.3    365.7     -9.9M    81.1 
  1948   261.4     32.5     20.1    418.6    158.2    182.0     91.8    155.4    190.5    455.0    322.6    235.7 
  1949   123.9      4.2     69.7    305.4     88.2    193.5    158.6    257.5    172.6    236.9    190.5    241.5 
  1950    91.0     41.5     99.7    259.6    195.3    110.6    199.6    209.7    266.0    541.0    344.4    189.1 
  1951   355.2    198.0     -9.9M   350.4     -9.9M   371.0     -9.9M    -9.9M    -9.9M   111.0    212.1     61.5 
  1952   182.0    182.8    118.2    178.2    299.0    149.1     93.6     77.2     96.1    278.7    364.3    161.3 
  1953    88.1    198.6    188.6    298.1     47.7    146.7    743.9     73.2    104.7    478.5    151.2    255.4 
  1954   228.1    109.7    199.2    249.1    575.2    121.5     93.9    136.3    169.4    427.2    122.1    230.1 
  1955   141.7    356.9     -9.9M   152.8    259.8    320.3    215.0     44.2    336.1    309.9    485.7     98.0 
  1956    16.4     16.3     84.3    387.2    114.9    253.2     55.8    207.5    142.9    340.2    410.8    196.9 
  1957    45.8     65.7     52.1    102.3    372.9    123.0    156.0    133.3     22.0    280.5    347.8    399.7 
  1958   129.0    161.6    149.0    268.8    349.3    236.8     77.6    161.0    196.2    372.5    204.3    147.1 
  1959    66.3    126.4     48.0    348.6    326.7    467.7    145.8    282.1    321.3    269.6    290.9    170.1 
  1960   103.3    181.0     23.8    248.9    176.7    115.5    380.8    132.0    140.1    135.2    216.8     29.2 
  1961    90.9     63.6    119.3    315.3    421.0     91.0    205.2    289.8    375.9    455.2    182.6    103.3 
  1962   120.2     11.8     97.0    213.2    361.2    133.4    168.8    390.7    158.1    255.4    170.4    192.5 
  1963   166.5    117.8     31.2    194.1    476.2    192.0    378.7    248.0    608.8    635.3    446.4    363.5 
