



                              STATION NAME : HAMBANTOTA              
                              LAT:  6.12N    LON: 81.13E    ELEV:   15.5M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    28.4      2.2     17.7    125.4     -9.9M    94.6     24.3     23.8     95.1     27.1    301.5    110.5 
  1870   181.7     88.2     29.3     12.2      1.2     25.2      4.4     70.3     13.2     -9.9M   194.2     82.3 
  1871   229.5     18.7     28.3    112.0     82.5     52.5     52.3      4.7     22.5     99.3    141.6     85.1 
  1872    32.6     70.9       .0    118.4     11.5     22.3     44.5     39.7    111.2     68.5    188.2     90.5 
  1873    10.0    221.6    119.7     57.8     49.0      9.2      8.5     25.7      6.8     20.5    171.1     71.8 
  1874   125.8    143.7      8.1     22.3     92.0     30.3     25.1     16.1     16.3     75.3    311.2    116.5 
  1875    62.9     38.0     69.8     49.6     18.3    157.9      5.3     34.9     29.1     49.9    192.8    128.2 
  1876    25.5      1.0     63.8     17.3    146.2     18.7     36.8     43.8     36.5    217.1    147.4     84.2 
  1877      .0      1.4     52.8     57.4    285.8    156.2     22.8    110.3    447.3    563.2    150.8    269.4 
  1878   232.8       .5    119.6     79.7     94.2     71.6     62.1    162.3     91.3    214.5     52.2     34.3 
  1879    19.8     44.4     54.5     23.8    138.3     42.0     73.7       .0     45.3     36.4     19.2    180.5 
  1880    19.7      5.2     43.6     43.6     64.7     10.3      7.6       .2      1.4     54.0    164.5     37.8 
  1881    38.7      6.5     72.0     76.7     29.7     12.8     15.1     37.4    100.7    174.0    262.8     88.6 
  1882   164.9     40.4    134.5      9.8    105.1     47.7     69.8     26.3       .7     79.6     96.9    173.0 
  1883    16.0     19.8     63.7     32.6    130.5     64.0     53.1     19.1     21.9    191.1    117.8      1.7 
  1884    21.2       .5     12.1     24.5     55.8     13.5     12.3      5.8      1.0    156.6    178.8    194.1 
  1885    58.0     43.3     11.3     15.0     74.7    105.9     12.0     15.6     65.7     -9.9M   194.3    169.3 
  1886    56.0     23.0     48.0     43.2    230.7     46.9     35.8     39.6     66.5     67.2    243.0    143.8 
  1887    33.7      3.6     40.1     -9.9M    37.0     58.8     58.0     32.7       .0    117.9    118.9    229.5 
  1888      .0       .0     21.2     47.1    228.7    165.0       .0       .2     19.8     -9.9M    62.4     81.9 
  1889     7.5      4.3    137.6    118.3     26.4     26.9    131.6     17.2     81.3     14.2    259.6    272.3 
  1890    91.4     36.2     19.2     87.1    114.9      9.1     22.6       .7      4.8     44.0     91.7     -9.9M
  1891    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   115.5     -9.9M    63.5    267.7 
  1892   245.9     55.4      4.2    105.6     47.2     32.1      6.4      4.1     46.8     57.2    250.0    171.1 
  1893    79.2     65.2     51.8      9.8    114.2     44.7     23.9     46.9     15.8    109.5    471.4     89.3 
  1894    16.7       .0    109.1     80.1       .0     -9.9M    18.5     -9.9M    26.9     54.4    211.1    136.2 
