



                              STATION NAME : HAMBEGAMUWA             
                              LAT:  6.53N    LON: 80.95E    ELEV:  152.4M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1894    71.7    118.0    145.0    115.9      3.8       .0       .0      5.3     10.2    123.4    238.1     44.7 
  1895    47.1     96.0    284.8    332.2      7.6       .0       .0     16.4     16.4    173.6    125.4    242.6 
  1896      .0     57.8    164.8    222.3     88.7    169.9     35.5     31.1     57.2    229.2    394.0    323.3 
  1897      .0     57.7    258.8    360.7     64.5    155.3     10.8     35.0     52.9     93.7    457.6    402.6 
  1898   129.3    116.4     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1899    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   351.1    155.2    199.4 
  1900    86.9     -9.9M    51.1    237.0     18.3     27.4      1.7      9.7     12.1    439.1    874.1    108.5 
  1901    71.8     69.6     55.3    359.0      2.0     -9.9M     2.5      1.2     63.6     50.4    220.7     15.0 
  1902   223.4      3.8    106.2    415.1     49.2     28.3      6.0     11.0     80.8    470.6    420.5    184.4 
  1903    51.7     94.1     23.8    282.3     24.3     45.7      5.1     10.6     26.4    126.0    189.8    405.0 
  1904   153.4    128.4    100.8    148.8    160.1      3.8      6.8       .0     59.7    413.2    237.7     32.1 
  1905    -9.9M    63.0     94.3    266.0     18.6     -9.9M      .0       .0      6.6    232.7    206.2    101.1 
  1906    17.9    127.0    174.6    216.1     30.8      9.3       .0    107.4      3.7    341.8    225.2    365.5 
  1907   190.2    119.4     -9.9M   423.1     43.1      6.2      4.2      2.7     19.9    190.1    693.2    113.9 
  1908   144.7    222.6    520.7    481.8    131.8       .0       .7       .0    169.4    367.1    185.5    260.9 
  1909    25.9    166.0    196.2    247.7     33.6     32.9       .0     11.1       .0    106.3    133.4      4.0 
  1910    70.7    162.6     61.4    287.3     16.9       .0     28.4     15.4       .0    143.4    387.0    134.0 
  1911    18.2      6.6    181.2     43.6      1.0     20.4      3.5      9.8     33.3    313.4    211.2    294.4 
  1912    79.5     19.2    189.2    102.5    108.4     29.7     14.6      6.2     46.3    262.0    500.0    288.7 
  1913   295.8     50.8      9.1    248.2     11.7      3.0      8.2      6.0       .0    235.2     84.2    194.9 
  1914    12.7     10.5    305.0    130.6       .0     11.1       .0       .0     50.0    479.7    349.4    388.1 
  1915   197.5    185.0    142.8    468.4      5.8      2.0     15.6     -9.9M    34.2     72.2    232.4    129.3 
  1916    69.1       .0    262.1    273.8     68.2       .0     77.9     44.0     49.5     49.0    326.7     46.7 
  1917    72.2    115.4    374.1    206.0     24.7      6.7     21.7     17.1     79.1    122.1    354.0    184.0 
  1918   295.3       .0    134.3    101.7     35.5      1.9     57.4       .0     28.7    446.3    343.9    115.5 
  1919    58.2     37.6    308.1    159.8    239.7     27.0     13.2      3.5     52.0    223.6     84.1    452.8 
  1920    41.8     68.8    120.2    235.1     92.4     27.5       .0       .0       .0    130.3    195.2    195.9 
  1921   146.7      6.3    156.2    250.7       .0       .0       .0     17.8       .9    436.2    237.3    102.8 
  1922    78.6    131.2     77.7    173.3     36.2     25.4       .0       .0      9.0    363.5    232.8    238.2 
  1923   222.0      5.5    112.5    179.7      8.7     53.1      5.0      8.5     41.6    295.8    412.6    236.0 
  1924    43.4     90.3    262.2    117.1     80.6       .0      8.8       .0     84.9    175.4    158.5    140.7 
  1925   106.8    137.2    452.2     75.4     86.9      9.6       .0      5.0     98.8     -9.9M   378.2    186.8 
  1926    50.5      8.6    169.1    246.7    151.6       .0     15.3     12.3     25.2    127.3    191.6     65.2 
  1927   119.7     55.4    331.4     95.3     93.5      8.5       .0     65.7    125.8    217.4    269.4    314.3 
  1928    44.5     59.0    141.0    188.1     82.9      1.2    179.8       .0      8.8     42.6    328.4    146.2 
  1929    47.9       .0    211.0    369.1     69.5       .0      2.4       .0    121.0       .0    173.0    139.6 
  1930    76.9    256.1    267.1    143.7    127.9      1.9       .0       .0     35.2    267.0    243.5     84.2 
  1931    65.5       .0     61.9    229.6     17.1     29.5      1.2     24.8      4.9    145.5    298.5    347.7 
  1932     3.4     66.1     79.9    178.5    127.5       .0      5.7     53.2     10.0    294.2    201.8    265.5 
  1933   217.8     85.0    260.0    212.6    309.5     32.0     66.9     65.0     90.3    108.5    267.1     49.2 
  1934   357.7    123.1    197.9    191.2     25.2       .0       .0       .0       .5    253.9    117.2     72.0 
  1935    39.1     40.5    212.3    126.8     12.8     25.3      8.3      1.7      3.5    174.2    460.3    302.4 
  1936    60.7    135.4    315.8    146.5     90.2     26.7      6.3      2.5     98.5    275.6    122.1    200.2 
  1937   140.2    163.2    145.0     86.9     49.6      8.8     30.6    108.9     39.5    295.7    331.7    134.7 
  1938    16.1    306.9    458.2    335.2       .0      2.5     63.5      2.5       .0     17.8    127.4    111.6 
  1939    10.6      5.5    148.0    213.9    121.8     10.1      4.5     17.1     17.8    116.0    181.7    264.0 
  1940     2.5    126.5    205.8    330.7    433.5     43.1       .0      3.8     27.8    286.1    420.0    183.4 
  1941    65.1       .0    188.9    241.0    302.2     52.7      1.2     13.2     36.9    267.4    223.0     83.0 
  1942    54.7     49.1    317.6    452.5    155.4     18.9     12.3     25.4     39.9     67.7    193.9    138.9 
  1943    74.3     35.9    217.3    146.6    248.0      5.0       .0     15.8      9.5    166.2    458.4    245.4 
  1944   141.1    272.8    103.4    460.7    182.9      7.0      5.5       .0     35.4    197.9    284.3    211.0 
  1945     2.5     17.2       .0     -9.9M    13.8     50.3     26.6       .0      7.1    104.6    665.0    131.7 
  1946    42.8     36.3    279.7    501.6       .0     19.9      4.0       .7     76.3    283.3    377.5    380.6 
  1947   229.3     21.4    293.1    172.7     76.2     71.4      2.2    122.2     15.3    155.9    225.0    114.3 
  1948   200.2     25.5    165.2    121.4     15.6       .0     27.1     38.0     12.3    274.3    398.7    258.8 
  1949    67.9     76.9     10.0    209.8      9.3      1.7    110.2     70.4      5.7    200.5    260.3    251.7 
  1950    16.5    101.3    123.5    266.9     40.0      2.2     10.1     10.8     25.0    102.3    301.9    141.6 
  1951   274.3     84.0     38.6    209.6    188.5     59.2     18.0       .0    200.0    148.5    467.6    107.8 
  1952   227.4     76.7    195.7    495.7    172.7      7.2     39.9      3.8     27.3     55.9    188.5     28.8 
  1953    66.2     65.5    256.0    357.6       .0     11.4     29.6      7.6     10.6    462.6    417.9    172.3 
  1954   170.3    186.8     77.8    383.3     62.5      2.5      7.7     25.4      6.4    153.7    377.6    302.9 
  1955   200.2     66.5    373.6    369.5     95.6     42.3     21.2     15.7    136.6     76.2    272.5     37.4 
  1956   139.7       .0    443.9    199.2     23.5     45.4     10.6      9.1      8.8    122.0    411.9     72.6 
  1957    62.6    124.2    134.0    283.5     81.5     41.4      8.5      2.5       .0    271.5    442.2    473.4 
  1958   101.8     49.3    292.5    233.9    126.4     15.7      6.3      7.7     10.8    134.1    283.1     32.3 
  1959    21.1    106.1     96.3    281.7     96.2     81.0     21.4     13.8     91.8     -9.9M   414.9    101.4 
  1960   231.4    139.2     95.7    199.5     17.9       .0    162.2     11.5    110.2    324.8    255.0     93.5 
  1961   378.6    140.8    173.5    237.7     67.0     24.9     41.8     41.9     48.6    270.5    236.9     82.5 
  1962    87.0     30.6     79.2    224.8    106.4      7.3      9.1     13.1     13.8     85.1    289.5    194.2 
  1963   130.4     79.8     87.9    235.3    152.2     19.5     35.5      7.5     28.0    407.5    392.6     -9.9M
  1964   130.9    111.8    139.9     -9.9M    62.6     23.5    136.6      7.1     62.7    132.2     73.1     32.4 
  1965      .0    159.1    168.5    284.6    125.2      7.3     22.1     81.9     41.2    235.1    344.6    162.3 
  1966    53.2     20.3    379.0    480.6     25.4     50.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1969     9.3     49.9    162.1    430.2    207.1     28.1       .0     -9.9M    39.4    308.7    205.4    317.2 
  1970    92.5    218.1    153.7    475.8     16.4       .0     25.5       .0    108.1    146.4    636.5    263.4 
  1971   102.6    261.6    134.5    192.3       .0       .0       .0     72.9     81.1    192.1    281.0    179.7 
  1972      .0       .0    203.1    370.4    146.9       .0       .0       .0     38.0    277.8    157.6     64.5 
  1973    15.2      6.3    168.4     96.7     43.8     44.5     39.3     26.9     20.3    309.5    273.6     -9.9M
  1974     4.3     86.9    135.2    209.8     33.8      2.0     12.6     13.7     24.7     24.9    334.3     39.6 
  1975    17.7     15.4    168.7    320.1    131.7     65.0    116.9      4.8     95.3     12.6    347.7    138.3 
  1976    22.2       .0     95.1    135.2       .0       .0       .0       .0      7.5    230.5    373.0    221.4 
  1977      .0    147.1     71.2    255.9    107.6      8.5     28.0    133.0     37.0    433.0    385.7     51.0 
  1978    -9.9M    -9.9M    -9.9M   244.0    176.6       .0     27.0       .0     16.0    269.5    328.7    124.9 
  1979      .0     37.6      5.8    256.0     71.0       .0      5.4     30.5    111.1    251.4    481.5     24.0 
  1980     3.7      3.0    227.5    261.5     61.4       .5       .0     -9.9M    18.0    109.0     -9.9M    -9.9M
  1982    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     3.4       .0      4.0       .0    378.0    438.5     82.0 
  1983      .0       .0     89.0     81.4    158.5       .0       .0       .0     72.0    242.3    307.8    148.1 
  1984    77.9    194.9    329.1    161.9     49.9      1.3    260.0       .0     85.6     59.4    176.8     -9.9M
  1985    64.4     70.2    390.2     53.6    119.3     64.8      4.1     24.0    134.2    212.8    137.1    489.2 
  1986   129.0    108.3    240.6    116.9     37.1     15.2       .0     21.9      3.1     88.3     47.5      2.5 
  1987    16.2       .0     46.1    100.3    111.6       .0       .0     38.8     83.9    267.9     87.2    109.7 
  1988     9.4     86.6    120.6    169.5     40.6     17.8     13.9     24.6     44.5     79.8    266.2     67.0 
  1989    18.8       .0     61.2     64.6     66.1     12.7     77.9       .0     34.3     22.1     33.0      9.4 
  1990    54.5     25.4    222.0    106.1     70.6       .0       .0       .0     85.3    262.9    117.8     -9.9M
  1991   221.0     50.8    109.2    180.2    144.9     57.7      7.3     12.7       .0    182.4    190.0     83.2 
  1992     9.4       .0       .0     -9.9M   199.4       .0     15.9     17.9      5.2    138.7    418.6     81.2 
  1993    13.2     33.5     78.4    199.3     60.3       .0      8.4       .0     13.2    274.4    223.4    352.2 
  1994   190.8    101.2     65.1     46.9     97.0       .0       .0       .0    173.0    259.5    114.8    114.8 
  1995   121.5       .0    100.4    331.1    148.7     11.1       .0     -9.9M     1.3     42.1    221.8     -9.9M
  1996    18.3     11.0     68.4     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
