



                              STATION NAME : JAFFNA                  
                              LAT:  9.68N    LON: 80.03E    ELEV:    3.1M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1887    18.9     52.2     25.3     61.2      6.8     80.4       .2     27.0     16.9    393.5    171.0    557.7 
  1888     7.2       .0       .7     39.0    124.5      6.2     12.7      2.2     15.1    204.4    341.8    346.6 
  1889    35.8       .0      7.0     77.6     25.0       .0     56.6     27.8     76.0    136.7    179.5    127.6 
  1890   126.4      1.2      8.8     58.3       .0     14.2      5.0     65.7     51.0    250.4    174.8     44.4 
  1891    29.9     68.8      2.7     -9.9M   227.2       .0       .0     10.1     11.6    639.0    280.2    652.9 
  1892    11.4     32.7       .0     57.5       .0       .0     10.8     69.4     65.5    121.1    294.5     -9.9M
  1893    23.4     30.3     84.0     24.6     45.4       .7    124.6     -9.9M      .0     27.4    348.7    390.1 
  1894    40.7      2.7     46.8     58.4       .0       .0       .0     45.2     43.0    179.1    289.0    178.4 
  1895    34.7       .0       .0     91.3      2.7       .0       .0    118.3     56.8    497.0    255.4    289.2 
  1896    18.1       .0      6.4       .7      9.3      5.5      5.0       .0    158.4    190.4    361.1    669.5 
  1897    19.5    108.8      3.7     30.1     10.8      8.5       .0    169.5     94.8     44.3    298.1    426.0 
  1898    94.9     28.4     20.9       .0      7.0     19.7       .0    114.7    166.9    280.3    599.9    292.6 
  1899    53.3      1.5       .0    142.9     59.8       .0       .0       .0     48.4    463.9    234.0     82.3 
  1900    25.1     -9.9M     8.6    349.3     17.2      9.9     87.7       .0     27.9    255.4    488.5    152.7 
  1901   118.1     14.0     24.2     27.2     74.4       .0     36.0       .0     69.0    152.1    308.7    225.3 
  1902   191.4    112.0     65.5     14.1     -9.9M    99.5       .0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1903    40.3     72.3      1.0     75.2    130.4     -9.9M   106.1     59.0     -9.9M    -9.9M    -9.9M    -9.9M
  1904    72.3      3.0       .5     35.2     39.6       .0     33.4     19.7      3.3    238.8    110.5    371.0 
  1905    37.4       .0      3.8    174.3     44.5       .0       .0     22.9     25.4    293.6    237.5    104.8 
  1906   103.8       .0       .0       .0       .0     -9.9M   168.0     72.6     63.6    262.1    967.8    144.6 
  1907    46.5       .2     19.0    102.0      2.9       .5      6.6       .7     12.2    158.9    570.7     45.5 
  1908    66.9     -9.9M    26.0      7.8     13.1       .0       .0     14.4     -9.9M    -9.9M    -9.9M    -9.9M
  1910    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    94.6    154.9     13.2    114.3    308.8     61.3 
  1911    55.4      1.2     77.7     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1914    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   497.5    404.5    374.7 
  1915    65.9       .0     16.7     41.5     34.7      1.7     32.9     54.1     49.4     50.9    194.9    232.5 
  1916      .0       .5    135.2      3.2     52.9       .5     79.3     50.6    170.2    130.3    107.9    126.5 
  1917    26.5     25.7     15.7     26.4     50.8       .0       .5     90.1    250.1     65.9    488.4    126.2 
  1918   128.0     31.6      1.2       .0     30.8       .0       .2       .7       .0    114.0    828.2    183.6 
  1919    -9.9M      .5     86.0     34.3     64.2     85.7       .0       .0     59.9    162.9    451.4    313.5 
  1920   100.2     20.7     31.3     20.2       .7     23.8       .0     21.2     74.0    360.4    933.7    101.1 
  1921   229.7       .0     30.1     63.1       .0      5.5     25.5       .0     48.3    281.2    355.4    236.5 
  1922    67.7    107.3       .0     27.2     22.2       .0      2.7     50.8     51.9    343.4    309.4     36.7 
  1923   365.1      3.5    175.5      3.7       .0       .0       .0      2.2     82.3    310.2     35.8    538.6 
  1924    75.6       .0     70.8      6.0      7.8       .5      1.6     83.2    143.2    246.8    253.5    144.4 
  1925   119.4    118.6    155.9     16.7     19.6      4.4       .0     11.7      4.0    219.3    232.3    247.9 
  1926    60.0     21.5      9.5     23.1     47.3      7.3       .2      6.3    140.8    336.4    595.6    102.3 
  1927   181.5     84.1     37.9    141.9     83.2     11.9      6.3       .0     36.2    145.6    132.9     76.6 
  1928    70.0    110.9       .0     63.4       .0       .0     50.3     46.7      4.3     87.5    608.3    202.7 
  1929    25.3       .0       .0    135.8     17.9      3.5       .2      3.0     92.0    175.3    442.3    299.4 
  1930   428.6      6.3       .2     48.4    268.6      3.3      4.0     17.7     34.5    504.2    357.4     26.0 
  1931   189.1       .2     11.4     71.9     34.9       .0      4.5     19.7     16.4     49.1    508.3    821.8 
  1932     1.8     19.4     17.1     96.4     65.4     17.5       .0     81.3     27.1    378.1    799.2    368.0 
  1933   124.0     12.7     34.8     32.5    197.9       .0       .0     98.9     39.4    289.5    427.4    242.0 
  1934   443.2     12.1     17.4     20.1       .0     25.0       .0     19.0       .0    273.1    464.4     56.0 
  1935   118.8    157.4      6.0     57.8       .0     11.1       .0      5.7      6.8    242.0    571.0    514.4 
  1936      .4     21.6     64.6     47.4     50.9       .0     59.9     26.8     30.3     85.0    193.3    240.1 
  1937    84.7     41.0     30.2    131.9       .0       .0       .2     19.8    186.3     55.8    472.8    131.6 
  1938    29.9    110.6     92.7     69.3     87.7      9.1     19.7     14.6     13.0    345.8    142.4    331.1 
  1939   146.5    106.6      2.5    334.9    222.9       .0       .0     12.1     31.2    198.6    897.6     70.7 
  1940    16.2       .0       .0     67.1     24.8     28.7       .0     12.6      4.7    220.3    406.3    340.7 
  1941   185.3     41.2      8.8     91.9      8.8       .0       .0     38.2    161.8    287.9    666.6    140.8 
  1942      .0       .0       .2     55.9     61.8     11.4      5.8     20.5     35.9    423.3     -9.9M   521.1 
  1943   234.9     11.2     16.9     82.4    481.5      3.5       .5      1.3     44.8    557.1    293.8    334.2 
  1944     7.3     74.7    152.0     23.3     67.2     91.7     10.6     -9.9M   102.3    202.4    639.7    179.3 
  1945    43.1     17.8     93.4     37.8       .0       .0       .4     17.9      4.7    148.6    351.8    333.0 
  1946    20.6       .0     19.6     30.9     37.4       .0       .2      1.4    121.2    388.6    599.1    192.7 
  1947    88.8    101.7     77.3      5.4       .0       .0      7.2      7.8    180.5    278.1     34.5    116.1 
  1948   123.3       .0       .2      2.2     -9.9M    31.7       .0     33.9      5.5    112.1    325.7    590.7 
  1949   167.4      2.4       .0     42.6     88.2       .0      5.2    108.4     69.0    141.8    302.4     89.5 
  1950    28.0     24.6     17.0     11.2     18.9       .0      9.1     21.8     87.0    278.7    162.5    140.7 
  1951    71.5     42.3     57.3    115.0      8.0       .0     14.6     10.1     74.4    195.6    385.1    111.0 
  1952   153.4     26.3       .0     55.7     34.4      1.2     67.4      5.0      5.0    139.7    350.6     97.5 
  1953    66.1     62.1      3.2     63.4       .0     48.4     23.8     41.6     28.6    266.7    262.6    117.5 
  1954   153.2       .4     61.7    140.8     83.2       .0     45.5     79.2       .0    350.4    145.1    415.1 
  1955    97.2       .5      6.5     70.7     39.6       .0     25.1     37.3     50.4    243.8    248.9    108.8 
  1956    27.0      1.5     14.4     32.9       .0     68.5      2.6     10.3      1.5    307.5    289.0    293.7 
  1957     8.7     26.3       .0     67.1     40.9       .0     29.8     44.6     37.9    340.8    608.8    755.3 
  1958    48.1      4.8     87.3     42.8     -9.9M    -9.9M     3.8     49.2       .5    232.4    396.5     31.6 
  1959    59.8     18.5       .0    109.2     53.5    135.8       .4      3.7       .0    236.6    645.1    108.0 
  1960   153.8    147.3      1.5     77.2     24.3      2.2    111.3      9.8      2.7    217.9    546.0     42.1 
  1961   229.0      1.0      9.0     -9.9M    11.1      1.9      5.5       .0      7.8     73.3    383.0    165.3 
  1962    30.2     40.2     10.1     45.9    132.0      7.5       .0     37.5     66.8    485.6    347.4    133.5 
  1963   261.7     22.1     40.4     66.8     50.1       .2       .4      5.7      7.6    208.5    367.8    324.4 
  1964     6.7      2.4     21.4     27.9      7.9       .0     34.1     33.2     38.2    153.5    203.8     89.4 
  1965      .9    132.4     70.7     32.2     26.0       .7      2.2     41.1     25.0    246.8    326.7    280.5 
  1966    26.9     20.3     70.8    106.6       .7       .0      2.7     73.1    238.6    355.2    215.3    180.6 
  1967    12.3      3.7     32.1      8.0     74.3     53.5     10.1     29.7     27.5    296.2    458.1    617.1 
  1968    13.0       .0     33.8     81.8      7.5       .0       .0     26.1     50.8     62.3     -9.9M    -9.9M
  1969    18.4     66.4       .0     67.9     98.3     28.4       .0    159.0      6.3    301.6    363.6    429.2 
  1970    58.3     55.4     19.0     55.9    132.8     32.8     13.7      8.2     42.1    200.2    637.5     61.7 
  1971   111.8     25.4      6.0      2.7     44.0     43.4     35.0     14.3     43.5     -9.9M   105.0    599.7 
  1972     6.9       .0       .0     23.4    150.3     48.7     39.6      1.0     47.1    389.3    277.1    163.0 
  1973     3.7     20.9     18.5     15.0     73.3      6.2     16.6     90.0     50.9    198.9    183.2    381.3 
  1974    34.3     23.4      1.5     26.7     30.1     29.9      3.2     13.1     42.7     55.5     79.8    231.0 
  1975    88.7     13.9     25.8     35.7     33.6       .7     60.6     24.2     80.9    360.6    272.2    431.6 
  1976    19.5       .0      8.8    103.0       .0      1.2     12.1       .0      1.2    249.9    295.0    302.3 
  1977     6.7     55.0     17.4     51.0     -9.9M    16.3     43.7     86.5     11.4    614.6    393.0     77.2 
  1978      .0      4.6      1.8     20.2     43.9       .0       .7      1.2     22.7    184.7    396.2    486.0 
  1979     1.5      7.0     70.0     39.2     15.3     31.0     10.2     25.8    181.9    251.4    445.0    313.4 
  1980     1.1       .3     45.8     45.1     24.2     27.4      1.1       .2     40.8    365.8    208.4    154.0 
  1981    26.8     26.9     16.9     42.6     41.5       .1     83.2      8.1     82.8    372.8    508.5    259.0 
  1982      .2       .0     15.7     60.8     56.2     15.3       .1     11.0     81.0    185.6    381.8    158.8 
  1983     5.8       .0       .0     34.8      1.6     41.5      6.9     46.5    145.3    127.1    152.8    621.8 
  1984   205.7    481.7     84.5     70.7     10.5       .7    126.1     26.8    111.2     36.9    572.8    170.0 
  1985   237.5     18.0     -9.9M     5.4     -9.9M    -9.9M   110.7     35.2     99.0    161.5    490.0    114.2 
  1986   438.2     41.7     43.6     23.3     18.2     11.3      2.3     63.3      2.7    282.9    243.5    323.8 
  1987    29.4       .3       .4     44.8     74.1     21.1       .0     59.7     76.8     -9.9M    -9.9M   415.4 
  1988     4.1     28.4     30.2    274.1     55.6     16.1     83.0    163.2    140.7     92.4    431.9     26.9 
  1989    47.8       .0     12.4      6.7     58.5       .0    118.2     52.9     64.7    129.2    411.6     96.0 
  1990   497.0     20.7     41.9       .0     22.7       .0       .0     81.3      6.3    558.0    283.3     -9.9M
  2001    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    44.4     45.3     32.4    268.8    460.3    362.9    431.1I
  2002   144.3    104.0     11.1    140.8      1.6     25.4       .6       .0     15.9    190.9    553.4    225.5 
  2003    45.3     53.7     47.1     74.7     56.8     71.4     29.3    145.8      9.7    219.6    518.5     56.5 
  2004     2.5     17.0     31.8     26.8    256.9     28.0     67.7     80.0    132.0    340.9    505.7    379.6 
  2005    43.3       .0       .0    150.1      8.2       .0     30.0       .2      8.2    177.0    554.9    263.4 
  2006    87.6     17.5     45.7     26.9      1.0I      .0       .0       .0I    27.1    333.9    309.9     76.9I
  2007    12.5     19.2       .0     39.0     23.0     19.7     18.9     81.2     95.7    292.0    183.4    383.7 
  2008    22.5     35.1    249.7     88.2     22.9     28.4     26.0     96.9      2.2    224.6    830.8    184.5 
  2009     6.9       .0    149.5    204.4     13.8      2.4      3.1     41.0     24.4     52.1    371.6    401.7I
  2010    47.1       .0       .1     66.6     94.5     29.7      5.1    127.5    142.8    115.2    492.2    375.8 
  2011    81.0      3.1      1.3    210.9     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
