



                              STATION NAME : KALAWEWA TANK           
                              LAT:  8.00N    LON: 80.53E    ELEV:  122.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1888    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   272.6 
  1889    20.7       .0    109.6    194.4    166.7     14.7     28.5     56.5     -9.9M   149.3    110.7    102.7 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     8.1     19.9       .0    142.4     86.8    184.9 
  1891      .0    149.4    167.4    150.1    297.2     43.5       .0      8.8       .0    636.1    178.8    288.6 
  1892   197.2     73.4       .0    213.1       .7     66.7     23.1      1.7       .0    296.9    217.7    103.8 
  1893    21.6     54.9     86.9     92.6     15.2     43.9     79.5       .0       .0    262.0    413.9     49.1 
  1894    31.4     11.9     79.1     77.8     10.1      9.1       .0     91.5     53.7    250.7    323.0    120.4 
  1895    61.4       .0     84.9     98.2     36.2     25.4       .0     63.7     20.0    486.3     99.0    203.6 
  1896    18.9     29.4     94.6    106.8     91.5       .0     26.5      5.5    107.1    275.1    316.9    413.5 
  1897    61.4     74.3     65.1     99.6     23.7    125.2     30.2    101.1     -9.9M   121.2    114.4    411.3 
  1898   119.4       .0      6.8     84.0    132.0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1899    -9.9M    -9.9M    -9.9M    -9.9M    88.8       .0     12.7       .0       .0    230.5    217.8    150.7 
  1900   162.2     12.7     82.5     50.7     40.6     17.7       .0     30.4     25.4    200.9    319.5    186.2 
  1901    10.3     32.1     43.6    143.0     42.6     25.4       .0       .0     49.2    145.9    354.8    169.8 
  1902   133.2     48.4      7.8     23.0    119.3     57.1       .0     12.7    140.8    390.0    210.5    365.8 
  1903    61.6     43.0     54.6     72.3    187.5      7.5     24.1     40.5     83.5    270.9     72.1     -9.9M
  1904   355.8      8.1     16.4     45.6     73.4     31.9     36.9       .0       .0    223.0    135.5    248.4 
  1905    86.2     61.6     29.0    111.7     54.1       .0       .0       .0     29.1    239.6    209.3    106.6 
  1906    76.8     35.5       .0    183.7     84.3     17.9     33.0     83.3     15.1    403.1    328.6    133.0 
  1907    86.1       .0     -9.9M   298.7     22.7     37.1    147.1       .0     20.3    266.9    314.1    388.5 
  1908   115.1     45.7     48.7     97.1     42.4       .0       .0       .0     90.0    312.1    132.4    211.8 
  1909    12.7     11.1    124.3    330.0     40.5     22.8      7.1    105.6       .0    168.8    123.2     95.6 
  1910    60.6     50.5     44.9     99.3     88.8     35.4    125.4     69.9     10.1    143.4    246.9    261.4 
  1911    63.3     19.0     -9.9M    24.2       .0     38.0       .0       .0     29.2    156.2    408.0    488.8 
  1912    25.4       .0     27.4    129.6     44.3    109.4      6.2    113.5     50.8    213.7    375.3    374.9 
