



                              STATION NAME : KALMUNAI                
                              LAT:  7.42N    LON: 81.83E    ELEV:    3.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879   262.7     95.1     83.6       .0       .0     12.7     62.1     35.1     85.6     95.6    174.5    303.2 
  1880    88.8     42.3    369.1     29.7     29.1      1.0       .0     82.5     47.6    118.8    226.2    226.0 
  1881   275.7     18.5     51.6     28.8     27.1     68.2       .0     58.9     20.1     88.3    163.8    693.5 
  1882   379.1    168.1     90.3     18.0       .0      7.3     69.3     66.4       .0    119.6    275.6    331.0 
  1883   171.6    261.9      7.6       .0    112.9     37.1      3.8      2.5     81.1    253.6    427.8    175.2 
  1884    81.2     16.0     65.6     65.1     54.5      8.8     18.2       .0     55.1    193.5    150.3    769.1 
  1885   138.1     12.5     86.1     28.3       .0     56.7       .0     30.4     42.8    165.6    115.1    408.9 
  1886   264.3     84.7     21.6     33.4    111.1     84.7     39.1     39.7     29.6    139.8    419.2    298.1 
  1887   252.4    116.5      5.0     -9.9M    10.1     16.2       .0    153.9     43.8    141.3    132.3    639.5 
  1888     2.7     28.3      3.5     18.4     24.0     14.8     26.4     18.6     43.0    106.5    306.9    602.8 
  1889    87.5     59.8    122.6    113.8     70.0      7.5      4.5     39.3     82.7     49.2    250.2    113.5 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     4.3     32.4     36.2    121.0    126.5    297.5 
  1891   233.8    142.7    137.3     28.3     46.0     11.4     15.7     25.4      7.1    258.9    246.3    437.8 
  1892   430.8    330.5      6.6     79.2       .0     28.4     53.2     55.2     44.1    197.5    337.2    138.1 
  1893   270.9     94.8    236.8      6.3       .0       .0    109.2      5.8       .0     91.6    369.6    218.6 
  1894   122.8     16.7    106.4    144.7     25.4       .0     21.3     27.5    126.4    219.2    295.7    276.8 
  1895   203.2     11.8     21.5    256.6       .0       .0     15.2      9.1     36.2    130.7    386.8    456.6 
  1896   541.8    341.1     26.6     84.7     13.8    157.9     73.1     32.4     28.3    167.3    497.1    702.8 
  1897   133.3    133.6    140.4    112.3     52.3     51.3     18.2     52.8     83.7     88.4    116.1    812.9 
  1898   181.3     68.4     12.8      6.1       .0      3.0     21.0     30.2     58.6    295.8    320.6    514.9 
  1899   599.2     96.0     24.1     50.4      9.6     18.7       .0       .0     26.9    177.3    434.8    441.7 
  1900   308.6     32.9       .0    231.1      3.3       .0     10.3     37.0     72.7    196.2    418.0    165.9 
  1901   120.1    198.0    319.5     28.6     21.2     11.1       .0       .0    106.1     69.6    237.4    373.9 
  1902   425.0     79.2     94.3     80.6      7.1     35.5       .0     43.7     79.1    266.3    458.2    187.6 
  1903   231.2    163.3       .0     91.1     77.0     35.1      3.8     61.4    162.7    146.9    257.7    355.1 
  1904   425.8     30.3     86.5     28.7     50.6       .0     24.5      2.0     60.5     66.3    139.2    480.4 
  1905   398.7     93.6      9.1    287.2    124.7     42.0      5.0     42.0     21.9     47.4    538.5    245.3 
  1906   101.7       .0     28.1      9.5     23.9      9.1     88.7    129.1     22.0    132.3    254.8    222.4 
  1907   170.6      6.0    161.9     60.5     41.3      8.8     13.6     39.5     15.3    203.5    231.1    133.4 
  1908   276.4    192.7    174.5      4.3     17.3       .7     20.2     51.5     81.8     70.5    162.8    552.0 
  1909    90.3    110.1     18.8     88.0     19.6       .7     13.4     63.9      5.0    145.4    197.2    217.2 
  1910   361.2     75.0       .0      9.6       .0      9.7     85.3     41.4    100.7    186.6    179.7    509.3 
  1911   217.1     70.8       .0       .0      7.7      7.0       .7      6.3    135.9    300.3    663.9    675.2 
  1912    61.0       .2     23.3     75.6      5.2     13.1       .2     39.4     48.5    138.5    207.6    386.9 
  1913  1453.0     46.4     21.3     10.4      3.8       .0      3.0     13.4      2.0    177.9    220.7    833.1 
  1914   634.5    101.7     80.1       .0      1.0      5.0     26.6     78.4     32.4    264.5    484.7    440.5 
  1915   530.1     86.8    171.4     49.5     47.5      7.0     20.4      2.7     62.7     33.1    281.6    443.5 
  1916    57.2      6.5     33.9     21.4      8.8      5.2    124.5     57.7    107.7     93.8    361.8    252.4 
  1917   469.3    166.3    152.0     40.5     81.9     56.9     11.3     46.1     39.9     53.8    506.9    202.8 
  1918   406.8     17.7     56.7      3.8     20.5      6.3     17.7       .0      1.2    152.4    145.6    435.7 
  1919   138.9     84.2     22.5      2.5     56.7     21.0     30.7     25.9     41.5    143.0    282.6    470.8 
