



                              STATION NAME : KANKESANTURAI           
                              LAT:  9.80N    LON: 80.07E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1951    58.3     27.3     13.6     57.3     12.1       .0      2.2     24.0     17.4    108.8    326.9    153.4 
  1952   238.8     23.2       .0     38.9     61.8     18.2     83.6      4.9     18.5     96.5    339.6     90.4 
  1953    56.5     81.0       .5     36.8       .0     26.8     61.3     19.0     34.7    319.8    351.1    161.7 
  1954   178.0       .0     93.3     51.0     13.0       .0     28.7     82.6     10.0    329.5I   185.5    255.7 
  1955    75.4      2.5       .0     74.2     43.7       .0     34.2I   101.3     18.6    215.8    581.9    175.1 
  1956    21.4      4.3       .0     61.4       .0    119.9     20.1      4.7     26.6    149.1    425.2    188.6 
  1957    14.5      6.1       .0     48.2     37.0      1.7     24.7     86.7     17.6    177.7    545.0    840.8 
  1958    19.1       .0     30.0     44.8    115.7      4.8     29.9     77.5     24.3    238.2    483.7     55.1 
  1959    88.2       .5       .0     68.2     38.7     10.2      4.0      1.4       .7    260.8    455.5    130.4 
  1960   161.2     56.8     14.4     61.4     31.7      5.3     46.7      9.8     15.8    154.0    662.9     67.1 
  1961   213.9       .5     19.0     25.2     20.7     17.3     17.7       .2     33.1    127.9    422.3    268.7 
  1962    42.1     44.1      3.8     90.6    105.3     41.3      4.7     84.2     41.8    443.2    298.0     79.0 
  1963   427.9     43.2     81.3     26.6      7.5      6.7    116.6    114.0     34.3    268.2    438.9    393.7 
  1964     2.1       .7     19.7       .0      2.9       .0     32.6     31.3     71.1     94.8    167.5     67.2 
  1965     3.2    151.1     13.3     98.9     23.1       .0     47.3    109.0     17.8    180.1    385.7    401.8 
  1966    72.5      7.1     31.5     82.1     21.5       .0     15.1    129.1    143.9    418.6    118.7    155.6 
  1967     4.6     18.0      5.0     48.2     29.0     54.7     69.8     24.9    153.8    374.1    633.0    722.8 
  1968    39.5       .0     33.6    142.7     14.7      9.3      1.5      8.2     65.5    114.7    211.2I    -9.9M
  1969    59.3     20.4       .0     58.9     68.2     22.2      4.0    110.0      2.3    304.6    294.5    481.8 
  1970    21.4     20.7       .4     61.0    114.6     32.5      5.2    131.4     20.3    117.9    878.7     68.8 
  1971    95.2     25.3     33.4     66.8     16.0      3.1     72.0     81.1    122.7    220.8     80.2    602.6 
  1972     3.1       .0       .0     29.3    138.6     36.5     11.9       .5     46.4    310.2    337.4    225.9 
  1973      .0     29.6       .0      5.0     46.4      1.6     48.1    130.8     71.1    327.6    149.8    364.7 
  1974    39.5     54.7      1.0     25.8     43.6    105.7     46.8       .0     94.8    133.1     65.4    203.4 
  1975    49.6      2.2     35.6     28.2     70.5     14.4     12.5     26.2     78.5    369.9    451.4    573.3 
  1976    11.5       .0      5.3     60.4       .2     11.6      6.6     19.1      2.7    286.4    293.7    331.3 
  1977    41.8     58.5       .7      6.6    216.5     56.5     14.0     20.8     28.1    492.8    456.1    144.1 
  1978      .6       .0       .8      2.9     17.4     17.7     10.9      4.2     32.1    284.0    489.8    463.3 
  1979     4.4     14.7     72.9      5.6      8.7     30.8     11.4     15.2    391.5    191.7    436.7    241.7 
  1980     1.2      2.4       .1     55.0     28.9      6.5       .2       .0     20.9    341.8    207.5     71.8 
  1981    31.0      7.6       .0      9.0     46.1       .0     56.2      6.1     64.7    300.1    464.0    138.8 
  1982      .0       .4     34.1     39.9     29.0     14.4      2.0       .0     26.0     83.3    364.5    174.8 
  1983     1.3       .0       .0     15.4      6.7      3.9      3.5     56.6    183.7    119.6    149.8    483.6 
  1984   212.6    469.2     35.7     88.9      4.4      3.8    245.3     35.5     94.2    101.3    424.2    198.8I
  1985   185.2      8.7     22.3     33.7     21.7     89.9    198.3     69.2    168.8    129.8    639.1    181.5 
  1986   289.2     24.1     28.2     43.7     -9.9M    -9.9M    -9.9M    28.5I    14.9    358.8    256.4    227.1 
  1987    27.1       .2     37.6     21.2    101.6     27.5I      .0     35.0     12.0     -9.9M    -9.9M    -9.9M
  1989    -9.9M    -9.9M    -9.9M    24.2    112.5       .0     77.3     15.4     68.0    152.0    380.1    172.8 
  1990   339.1     23.1     68.3       .0     27.6     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  2006    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     9.9 
  2007     3.6     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    23.5     90.1    352.2     -9.9M   327.8 
  2008    -9.9M    42.4    253.6     38.4     -9.9M      .0     42.5     -9.9M      .0     -9.9M   203.3    142.9 
  2009    -9.9M      .0     -9.9M   125.7     51.0       .0      5.0     23.8     -9.9M    -9.9M   326.8    336.7 
  2010    64.3       .0     31.0     68.9    124.6     56.5     -9.9M    -9.9M    58.8    124.6     -9.9M    -9.9M
  2011    -9.9M     2.3     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
