



                              STATION NAME : KANTALAI TANK           
                              LAT:  8.35N    LON: 80.98E    ELEV:   76.2M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    46.8     99.0    227.1     92.4    102.6       .0    225.9     92.6    117.9     90.0    109.9    200.0 
  1880   145.7     63.4     16.3    130.6    116.7       .0       .0     86.2    131.9    280.4    488.1    397.0 
  1881   345.4    121.8     12.7       .0    109.0      5.0     65.9    126.9     87.5    218.1    508.5    567.9 
  1882   103.9     70.9     36.7    216.7    166.1     -9.9M      .0    225.6     11.4    163.5    380.6    602.8 
  1883   152.1    439.2     10.1     -9.9M   142.0     -9.9M    40.6    270.2     24.1    558.3    466.5    238.3 
  1884    21.5       .0       .0     13.9    117.9     17.7     15.2     49.4     57.0    361.6    326.0    405.8 
  1885    74.8     16.5    119.3     17.7    152.2     27.8       .0     51.9    205.6    478.9    452.7    575.8 
  1886   398.3    164.8       .0     49.4    145.8    119.1    194.0    130.6     55.5    223.2    393.2    446.5 
  1887    50.6     36.8     18.9    107.8     54.6     13.9       .0     -9.9M    39.3    206.6    285.4   1285.6 
  1888      .0       .0      2.5    296.9    157.2       .0     48.1     35.5    249.9    230.8    594.5    390.8 
  1889   152.1       .0     68.3    114.0    182.8       .0     76.1    162.3    243.5     92.6    276.4    224.4 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     3.8    176.1     10.5    106.3    546.6    303.1 
  1891     8.7    124.2    148.4     21.5    187.8     36.8       .0       .0    207.0    224.2    326.7    707.7 
  1892   286.3    159.7       .0    124.3     31.7     60.9     53.3     92.5     50.7     63.3    414.0    172.3 
  1893   110.5     77.2    145.8     45.6    140.8     36.7    340.1     27.9     40.5    220.4    596.5    154.6 
  1894    88.7      2.5     76.1     49.3     72.2     66.0    114.3     40.8     27.8    193.9    594.4    352.9 
  1895   142.6       .0     13.9     61.9     54.5       .0     27.9    194.1     99.0    283.9    339.8    588.6 
  1896   221.9     -9.9M    25.4     12.6    126.9     90.1     50.8       .0    241.1    349.0    501.1   1181.9 
  1897   228.4    126.9       .0    203.0     34.9       .0       .0     96.0    381.6     52.9    173.2    706.4 
  1898   720.7       .0       .0    306.3    281.4     -9.9M    47.1     35.7     54.9     66.2    123.1    178.6 
  1899   110.2      9.8     38.6     53.7     13.1       .0      7.7      1.2     39.5     74.3    165.6    103.0 
  1900    81.8     13.3      7.7     46.2      7.0      2.0      6.8      3.5     32.3     79.2    143.6    101.3 
  1901    -9.9M    29.7     23.7     16.5     20.6      3.5       .0      1.7     -9.9M    69.2    128.9     84.4 
  1902    57.6     47.6     22.7     19.3     24.0       .0     10.1     43.1     12.6    151.8    270.8    115.6 
  1903    33.1     64.3       .0       .0     16.4       .0     15.1     75.7     61.8    121.6     52.5    396.4 
  1904   246.7     36.7     39.3    155.9     29.6       .0     88.8       .0     59.5    318.8    220.4    402.0 
  1905   124.4     23.8     20.2    203.2     51.9       .0       .0    187.9    107.6    190.0    483.7    192.5 
  1906    92.0       .0      1.0      2.9     39.3     27.5    159.2    251.0    182.2    369.3    488.9    299.8 
  1907   252.1     62.0     72.0    202.9     69.4     13.1    394.4     55.8    238.4    327.0    398.3    175.0 
  1908   174.5    120.1     51.0     79.5      9.2       .0     44.8     79.5    126.2    234.6    123.7    402.1 
  1909    88.7     67.7    105.2    195.4     27.0      8.1       .0    132.4     49.4    324.2    103.1    169.7 
  1910   244.1    128.7       .0    100.4     14.9     64.5    194.4     -9.9M     8.5    286.8    266.6    245.9 
  1911   189.3       .0      7.6      5.8     59.4     10.1      6.6    133.9    174.1    319.1    361.4    634.8 
  1912    12.6       .0     36.0     65.6     79.1      6.0       .0     -9.9M    81.2    160.5    323.7    273.6 
  1913   753.1    155.0     10.1     98.0     40.6       .0     30.4     10.8    151.0    340.1    356.5    277.9 
  1914    55.0      5.7     56.3     36.4     24.1       .0       .0    191.6    116.4    215.4    442.8    314.8 
  1915   274.7     15.1     25.3     51.7     24.0     40.3       .0     80.0     82.6    175.9    186.6    274.0 
  1916      .0       .0     13.7     47.5    193.0      7.4    449.2    143.1    105.1    132.5    432.7    143.1 
  1917   386.8    207.9    232.7     71.3     41.0     10.3     30.0    177.3    276.3     33.8    315.4    277.2 
  1918   400.4     39.2     26.5     26.1    106.5      2.2     24.2     52.7     85.9    151.7    330.8    372.7 
  1919   175.1      2.7     72.2    114.1     77.1     55.8     63.8       .0    268.6     -9.9M   255.7    495.8 
  1920   111.8     12.0     62.5    322.8     60.8     18.1       .0    166.7     16.4     73.1    450.2    208.5 
  1921   741.7       .0      3.1    237.3       .0     29.2    109.3     99.2     65.2    259.3     -9.9M   716.3 
  1922    97.1    357.4       .0    279.2    100.3      8.8       .0     50.7       .0    517.9    366.7    201.7 
  1923   583.5       .0     -9.9M    68.0     35.2       .0      2.0     33.5     42.1    264.8    409.4    712.7 
  1924   183.5     56.5     78.8     18.7     46.4       .0      3.0     47.1    170.3     91.9    154.6    139.6 
  1925   320.5     93.0    130.6     71.8     80.8      8.8       .0     34.3     86.2     76.3    437.8    459.0 
  1926   328.1     21.2     39.2     35.8    107.4       .0       .0     16.2     45.4    295.2    484.7    162.8 
  1927   208.9    141.8    180.3     71.9     88.4     15.8       .0     14.0    242.0    124.5    372.6    204.0 
  1928   301.8     59.2    131.9     99.8     44.0       .0    138.2     32.8     30.7     71.2    587.9    268.6 
  1929    65.8     54.2    191.0    246.0    195.2       .7      3.5    115.8    411.2    105.2    335.7    289.7 
  1930   296.9     61.8    100.2     49.5    203.9      2.5      1.0     84.1      5.0    506.8    564.8     65.6 
  1931   464.3     29.3       .0    224.6     77.9       .0    125.4       .2    211.0    222.0    301.1    660.7 
  1932    92.1     75.3     31.1     44.5     96.5     12.9       .0    242.1     75.3    194.8    220.0    205.4 
  1933   646.2     48.3     11.2    235.4    281.3       .5     13.8    173.5     63.0    187.5    320.9    210.9 
  1934   348.4    237.3     64.0     71.0    149.8     14.3      7.2       .0      9.7    213.5    229.5    200.3 
  1935   101.7     18.3     38.6     50.5     95.8     58.0       .0    115.4    190.7    265.5    506.0    526.5 
  1936   119.0     90.9    163.6       .0     27.1      6.3    146.8    125.0    161.2    106.3    280.5     -9.9M
  1937   432.4     79.8     69.2     87.3     59.9       .0       .0    186.4     77.7    185.2    282.3     98.7 
  1938   316.5    408.8    205.9    122.1      8.3       .0    207.4    108.2    142.9    169.0    141.7    271.5 
  1939   186.5     66.7      1.2    361.3     10.0      7.0       .0     48.9     46.8    221.2    303.7    366.6 
  1940    22.5     76.9     54.9    141.9    164.0       .0       .0       .0     79.6    253.6    300.7    346.8 
  1941   301.9    138.4       .0    247.7     86.0       .0      3.8    106.8    107.8    186.7    808.2    277.7 
  1942    83.1     32.6     45.0    165.0    118.8       .0     12.1    186.0     99.8    175.8    171.9    672.0 
  1943   145.5    281.4     31.8    221.3    336.9       .0       .0      5.0     78.8    160.0    250.7    396.3 
  1944   262.7    400.9    144.7    144.1     52.9     10.9       .0     89.3    311.9    258.7    463.4    176.8 
  1945     5.5     16.6    168.2    175.9     48.1     24.8     50.4    123.1       .0    286.7    416.3     87.4 
  1946   117.7     21.8    158.8     93.8     92.1       .0    102.0    164.2     89.2    297.2    399.3    507.5 
  1947   366.9     94.8     13.9    109.9     86.9      5.3     18.1    128.1     69.4    235.6    209.9    551.3 
  1948   186.3     15.9      4.0     93.0     29.5       .0     58.2      8.8     21.0    165.3    150.5    867.5 
  1949   153.4     31.4     32.9    189.8     80.7       .0     44.3    249.1     40.3    140.7    385.1    511.7 
  1950    70.5     80.5     36.7     15.1    166.9       .0       .0    108.1     65.1    129.1    268.0    271.6 
  1951   476.5    106.6     56.7    149.5     67.1       .0     45.7     28.5    143.9     92.6    341.8    238.8 
  1952   421.2     32.9      1.2    145.1     70.2       .0     41.4       .0     67.4     28.8    234.4    169.1 
  1953   252.9     62.2     92.4    306.6       .0     10.2    291.3     22.7     32.3    159.1    178.2    306.0 
  1954   321.6     53.2    105.6    125.4     15.4       .0     58.2     95.1     51.7    188.2    150.4    632.6 
  1955   348.2    137.0     28.5    302.1    150.9       .0     12.6    352.7    153.5    122.2     76.2    222.1 
  1956   148.8     49.9      3.6    101.6      3.0     70.5     67.4     70.2    112.3    264.7    389.8    202.4 
  1957   118.9    132.6      1.2      7.8     66.3      2.0     64.4     22.3     87.3    277.6    510.5    963.7 
  1958    99.9     69.8    130.7    107.5     11.3       .0     41.6    169.1     77.5    160.0    140.7    203.1 
  1959    -9.9M    16.4      5.5     97.0     10.5    137.2       .0    136.9     47.9    193.9    327.5    316.3 
  1960   231.0    284.9     25.7    185.7     55.9       .0    184.5       .0     61.9    126.4    454.3    114.4 
  1961   410.4    120.0     92.5     54.4     40.1      3.9     14.9      2.0    105.4    288.9    440.8    571.5 
  1962   254.6     55.4     29.9    103.8    100.9       .0     17.7     34.9     80.4    131.1    200.7    321.3 
  1963   365.8    162.6     -9.9M   150.4     88.0       .0     54.2     25.0     97.7    146.8    664.1     -9.9M
  1964   112.5     32.1    149.8     47.1     10.0       .0    130.8    122.7      8.8    223.1    132.6    153.9 
  1965    71.0    245.9     23.4    179.9    119.7      6.1       .0    301.1     49.1    274.1    401.4    709.1 
  1966   248.6     47.0     80.0    140.5       .0       .0      7.1    211.7    111.8    411.5    416.0    233.4 
  1967    29.7    111.5     41.1     83.0     27.4     -9.9M    -9.9M   117.0     55.8    343.7     -9.9M   467.8 
  1968    -9.9M     2.7     -9.9M   109.4     25.3      2.5       .0     -9.9M   134.1     -9.9M   380.7    364.0 
  1969   121.4    125.2       .0    123.3     21.5       .0    102.2    178.8     39.6    286.6    249.9    516.3 
  1970   172.2    171.5     55.3    134.3     96.4     10.3       .7     66.9     94.8    106.0    356.1    230.9 
  1971   172.2     13.2     36.5     49.7     46.8       .7     64.4    111.4    121.7    107.3    181.0    635.9 
  1972    30.5     37.8     19.7     44.1     62.2     42.6     41.3       .0    215.2    307.7    249.5    280.8 
  1973    18.9     33.5      7.1      6.0     53.4    208.8     77.0     39.3    137.8    278.4     65.1    515.7 
  1974      .0     48.3      2.0    117.9    117.7       .0     71.1     36.4    104.2     23.9    113.9    358.0 
  1975    57.0     27.7     50.2     26.7     88.9       .0     94.6     93.0     46.8     82.2    235.7    187.9 
  1976    21.4      3.0      1.7     63.8       .0     37.9     79.2     76.7     89.6    133.2    268.8    395.6 
  1977    44.1    133.5     67.8     46.4     46.7      2.3     26.3     93.8     94.7    364.5    327.8    308.6 
  1978   104.1      9.1     72.4     31.8     55.4      2.5     40.1       .0      3.0    313.4    352.1    305.1 
  1979    38.0     72.8     55.9      2.3     26.4     37.4     31.5     50.3    193.1    290.8    388.1    220.1 
  1980     4.6       .0     30.7    112.2     15.7      3.5       .0     11.2     51.3    166.5    168.0    100.1 
  1981    79.8     71.6     11.6     41.6     74.6       .0    197.8     12.8    311.7    215.1     98.2    224.0 
  1982     3.6       .0     39.0     53.6     61.0     19.3     22.9     35.0     77.1    182.7    456.1    413.3 
  1983    56.2       .0       .0      5.6     93.4     20.3    106.9     26.4     16.8    195.6    102.2    560.5 
  1984   329.9    496.9     48.7     94.3     33.0       .0     49.8     76.2     97.4     60.4    325.5    136.2 
  1985    99.5    112.7     40.6     22.7     63.0      2.5     60.4     75.7     -9.9M   205.2    207.5    379.8 
