



                              STATION NAME : KATUGASTOTA             
                              LAT:  7.33N    LON: 80.63E    ELEV:  417.1M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1951    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   320.1    145.8 
  1952   214.4    168.8    138.7    252.2    320.5     86.6     23.3    153.5     45.7    285.0    188.6    157.7 
  1953    64.1     56.7     58.9    192.2       .3     50.6    281.7     65.0     69.8    454.0    191.4    115.4 
  1954   104.8    114.9    256.0    198.2    119.7     69.5    113.8    220.7     27.6    378.0    193.7    396.8 
  1955   184.1    156.6    176.1    268.4    207.5    259.3     99.1     69.9    263.4    141.6    217.6     34.8 
  1956    19.9      7.7     81.4     53.6    110.3    293.4     41.2     79.9     47.0    246.4    357.6    162.6 
  1957   101.3    203.9     30.5    122.2    178.6    234.2    231.6     54.0     16.8    278.8    463.7    829.5 
  1958    58.1     13.3    260.8    275.6    121.3     82.8     52.2    188.1     24.9    282.5    255.2    153.6 
  1959    22.4     24.8     21.2    416.0    142.8    242.0    317.2    110.4    140.2    452.7    209.6    135.6 
  1960   171.1    315.1     31.4    243.4    143.3    122.7    216.7     40.9    248.3    158.7    346.3     58.5 
  1961    92.9     89.9     84.6    170.4    280.8     93.3    146.8    150.7    104.0    277.0    268.7    226.7 
  1962    74.3     71.6     47.0    174.5    207.8    104.0    107.0    146.6    168.3    323.9    153.7    173.4 
  1963   257.9     64.4     55.1    212.0     78.5    126.8    165.1     83.8    128.9    193.5    427.0    271.3 
  1964   155.1    123.6     62.2    125.9    112.1    107.0    196.9    103.8    142.7    284.9    287.6    191.2 
  1965    23.2    138.6     78.1    269.0    180.4    127.7     28.7    179.3     76.2    358.7    419.7    165.1 
  1966    63.2     36.9     64.2    191.8      4.2     77.5     40.6     60.6    284.0    259.3    257.9    165.2 
  1967   105.9    130.8     55.3    218.1     28.1    175.9    110.7     84.6     49.3    412.0    449.8    320.4 
  1968    54.4     60.6    122.6    134.5     58.4    172.7    210.2    106.6    174.7    261.1    404.6I    -9.9M
  1969   124.4     22.9     57.2    158.1    207.3    107.4     24.9    135.6    104.3    472.5    109.3    243.7 
  1970    72.8I   222.1     65.8    188.5     81.9    106.0    125.6     59.4    126.3    335.8    378.5    195.5 
  1971   143.2     63.2    100.8    337.1     87.6    193.1    107.0    194.2    404.6    225.4    108.4    391.2 
  1972    17.2       .0     26.7    200.0    411.4     68.5    138.3     61.3    129.8    441.6    324.0    293.0 
