



                              STATION NAME : KATUNAYAKA              
                              LAT:  7.17N    LON: 79.88E    ELEV:    8.5M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1961   111.1     68.7    235.3    421.2    348.0    219.0    101.6    112.1    452.7    231.5    380.4    100.8 
  1962    77.2     37.4    115.1    282.4    417.0    247.4     75.6    397.6    148.7    466.4    233.1     49.9 
  1963   175.1    286.1    175.7    283.9    716.0    192.6    279.5    119.4    441.6    647.4    560.5    212.6 
  1964    52.9     62.5    190.6    111.8    386.7    231.6    167.9    106.5    170.8    454.8    279.3     62.7 
  1965     9.8     33.5     15.0    186.6    408.1     60.6     22.0    331.4    147.7    519.9    228.3    208.7 
  1966   108.4     42.7     97.2    271.0    108.4    121.2     55.1      9.9    474.3    449.3    213.8    100.7 
  1967    32.1     62.3    163.8     86.1    350.3    188.0    159.1    111.4    339.1    708.6    427.9     82.1 
  1968     5.0    113.6     63.4    255.8    117.8    253.5    247.0     28.1    159.4    343.7    230.9I   129.7I
  1969    46.0     97.9     80.2    453.8    307.2     66.6     28.6    163.0     27.6    766.0    222.7    348.6 
  1970   118.4     36.9    204.4    628.0    381.2    166.0    201.2      5.9    242.5    478.9    460.7    114.5 
  1971    79.6    140.2     93.1    172.9    155.1    264.9     51.8     82.2    418.8    235.1      9.8    170.2 
  1972     2.5       .0     86.4    109.4    499.3     86.6     69.2     48.9    204.1    417.0    259.7    185.7 
  1973     1.2     50.5    186.7    322.3    291.4    203.6     90.9     44.5     40.5    397.6    269.4    215.6 
  1974      .0     29.8    117.5    391.0    258.6    140.8    192.1     91.5    323.8     69.5    153.9    181.2 
  1975     8.4     83.6     87.1    264.6    255.9    198.7    166.9     68.4    211.8    162.6    407.4    163.8 
  1976    12.4       .0    155.4    236.0    135.3     49.0     75.4    128.0     69.7    485.7    446.9    153.8 
  1977     6.8     80.6    321.7     57.1    781.9    108.2     33.8    118.1    124.1    806.2    258.1     14.9 
  1978     1.6     22.8    252.3    204.7    581.6    137.4      6.3I     7.6     64.4    353.1    439.4I    42.0 
  1979     1.3    238.3    168.1    210.6     87.9    247.4     78.0      9.0    307.3    256.5    368.1    197.3 
  1980      .0       .0    100.2    296.6     76.8    324.2     12.0    120.7    221.6    355.8    222.6    100.7 
  1981   124.2     64.3     42.0    142.4    366.3    184.4     26.9    100.1    191.6    276.9    432.4     50.4 
  1982      .2       .0    148.2    231.9    330.7    314.6    196.9    183.8     71.7    214.3    713.5     56.4 
  1983      .0       .0       .0     35.3    152.4    109.8     76.9    150.6    325.8    136.4    252.3    201.6 
  1984   174.6    157.0    198.5    361.0    392.3    151.3    105.2       .5    123.4    268.0    312.8     54.9 
  1985    35.0    192.5     62.3     89.2    362.8    263.6     36.0    200.5     91.1    217.9    308.3    127.0 
  1986    72.1    188.7    146.7    165.0    341.5     48.0     48.5    121.0    152.8    411.9    134.7    213.9 
  1987    25.2       .0     64.9     -9.9M   153.1    153.6      9.8    300.3    404.2    617.1    285.7     39.8 
  1988      .0    144.1    148.1    247.1    130.0    229.7     69.4    131.7    322.6    162.4    359.6I    51.4 
  1989    25.0       .0     84.4    248.5    129.1    189.2    140.4     28.6I   135.4I   253.7    276.4     50.1 
