



                              STATION NAME : KEKENADURA (MATARA)     
                              LAT:  5.97N    LON: 80.57E    ELEV:   48.8M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    -9.9M    18.7     51.9    162.4    462.7    310.7    445.0     18.9    155.8    149.3    151.9    165.1 
  1880    16.7     30.4     70.9    177.4    615.5      6.3     73.4      8.8     36.5     77.6    143.4     13.4 
  1881    18.0       .0     12.9    117.4     24.6    156.5    115.1    176.5    208.0    214.6    183.4    146.3 
  1882   137.8     78.8    141.8     96.4    353.7    139.7    344.6    191.5     36.3    235.9    124.4     53.8 
  1883    -9.9M    61.3     98.0     77.8    238.1    126.6    235.7     90.8    182.2    384.8    239.2     57.9 
  1884    30.4     32.1     -9.9M    13.5    387.7    154.4     30.7     70.5    112.5    155.9    175.7     55.3 
  1885      .0     74.5     18.2     24.6    176.6    319.2     79.4     45.9     -9.9M   390.5    245.6    149.2 
  1886    62.1      6.2     17.3    112.7    299.0    140.3     93.4     33.7    112.0    150.9    179.1    221.6 
  1887    41.0     72.2     16.0    267.0     76.4    237.7     37.6    167.9     42.8    331.9    226.1    306.4 
  1888     5.3      2.0      2.5     66.9    249.2    332.9      8.1     37.8     87.9    184.0    203.1     92.5 
  1889    10.1     34.2     90.1    157.0    479.7    107.6     83.7     65.7    527.5     45.5    241.0     40.6 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    42.2     27.8    123.6    282.7    174.2    134.9 
  1891    60.8     26.4    200.4     84.8    257.8    329.5    116.5    146.6    344.5    486.2    202.5    115.1 
  1892   219.4    278.2     10.1    127.0    216.3    122.8    135.3     59.1     95.6    509.6    273.9    178.1 
  1893   117.5     26.6     87.0    263.0    542.0    305.3    109.5    203.8     96.7    245.2    432.1    109.5 
  1894    52.0     14.9    159.0    200.2     36.7    463.3     30.7     76.8    149.9    275.4    222.8     78.0 
  1895    41.5     31.5      5.3     -9.9M   113.7    309.0     35.3    197.3    407.3    140.9     92.7    152.1 
  1896    93.6     83.0     72.8     38.9     80.1    207.5     52.8     86.8    229.1    110.4    218.1    255.0 
  1897     4.5    110.5       .0    181.6    166.1    198.0    189.4    259.1    198.9     90.8    142.7     28.0 
  1898    65.3     86.8     23.3     38.3     52.4     60.9    199.6     17.0     56.7    169.4    180.8     52.5 
  1899   150.6       .0     28.6     57.9    322.8    344.9    136.9     25.9     39.0     32.6     71.1    148.6 
  1900    36.9    103.5     73.8    171.4     81.5    573.9    237.2    223.8    408.2    129.9    107.1     -9.9M
  1901    -9.9M    44.8      7.5     41.8    162.2    142.8    118.4     14.6     17.3     26.3    200.2     56.1 
