 
 
 
 
                              STATION NAME : KALUTARA-P.W.D.         
                              LAT:  6.58N    LON: 79.95E    ELEV:    3.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    84.2    117.4    182.7    140.6    199.6    112.7    233.6      5.4     42.4    207.1    477.0    168.4 
  1880    42.7    133.7    322.9    182.6    272.6     35.2    119.7     35.3     33.3    135.1    474.0     44.8 
  1881    70.9     11.3     74.6    330.3    183.5    176.7    135.8    305.1    256.3    199.3    583.6    341.3 
  1882   125.8     74.4    113.2    160.5    637.3    200.6    305.2    313.0    121.9    649.1    362.8     72.2 
  1883   161.0     47.0    185.7    355.1    434.4    327.6    161.6    318.0    204.1    449.6    265.9    110.6 
  1884    85.9     10.6     -9.9M   216.9    212.3    259.5     62.1     48.7    139.4    462.1    208.3     79.9 
  1885     9.6     25.6     56.7     46.5    498.8    641.7    114.5     34.8    124.2    514.5    383.9     19.2 
  1886    -9.9M    -9.9M      .0    224.0    779.4     78.2    153.6     74.4    216.0    214.5    224.9    135.3 
  1887     8.1      7.4      1.2    252.5    199.8    166.5     36.8    112.5     14.3    264.8    263.6    160.9 
  1888    61.1     45.6    111.4    370.2    459.8    181.6     35.9     17.2     66.8    355.2    145.3     56.1 
  1889   184.5     18.2     36.9    267.5    501.6     75.2    205.9     33.9    587.0    402.8    187.8    137.4 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    62.3     49.7    324.2    241.4    107.7 
  1891    68.0     72.7    226.8    206.1    364.9    235.5     46.1    130.1    301.5    656.2    278.1    205.4 
  1892   109.1    123.0    100.5    238.3     90.1    253.9     68.3     66.6     74.6    281.8    250.7     97.4 
  1893    34.2    126.8     72.7    457.0     -9.9M   240.0     47.3     24.7     95.2    144.1    395.8     71.9 
  1894    27.4     81.5    112.4    255.7    106.1    237.1     42.2     18.1     40.1    299.1    501.5     90.0 
  1895    62.3      7.6     64.2    265.0    458.4    199.4     15.2     67.5     72.6    652.3    188.5    158.0 
  1896    87.1     32.3     97.7    348.4    209.0    372.9     64.3     91.3    295.9    386.8    328.4    240.6 
  1897    38.3      8.2     74.0    331.4    111.6    202.5    104.9    238.8    285.0     57.0    229.3    114.9 
  1898    88.4     12.2     31.3    486.6     89.1    352.4    127.5     -9.9M   213.9    477.2    370.6    327.5 
  1899   194.5       .0    193.0    331.7    756.4    273.6     31.7     29.1     84.3    511.7    299.8    299.8 
  1900   126.1     70.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1901    -9.9M    -9.9M   174.4    144.2    313.7    243.4    159.7     59.4    102.1     87.4    567.5    183.9 
  1902    52.7     99.9     98.8    384.0    676.0    287.7    171.3    170.5    409.9    672.3    294.3    161.5 
  1903   142.4     15.8     90.0    149.7    695.6    212.3    149.5    427.3    296.7    407.5     98.4    163.3 
  1904   116.1     69.1     47.5    234.5    532.8    337.1    287.0     16.2     91.4    540.7     97.1    131.3 
  1905    33.8    143.1     37.0    425.7    349.8    204.9     78.4     62.9    367.9    468.8    359.6     26.9 
  1906    74.7     19.7     41.5    190.0    223.4    236.9    139.6    232.0     19.3    675.8    522.1     87.4 
  1907   163.5     49.3    167.7    265.4    486.7    291.2    254.0    265.6    129.8    546.7    331.8    132.6 
  1908    95.9     69.3    310.8     -9.9M   216.5    156.5    146.6     80.7    201.7    339.8    141.9    322.8 
  1909    51.8     12.2    245.0    130.6    287.8    212.1    224.7    386.3     65.8    652.2    212.1     92.5 
  1910   111.4     33.4      9.2    307.1    212.9    218.2    220.5     42.8    104.2    537.5    393.1    174.1 
  1911   207.0    166.0    171.1    104.5    239.7    178.4    143.6     61.9    144.0    317.7    311.8    339.6 
  1912    46.9     64.2    236.3    425.7    687.7    520.3     97.3     67.6    166.8    471.7    339.4    283.7 
  1913   216.1     68.7     79.9    304.1    251.6    149.2    165.1     62.4    102.9    254.2    452.4    311.9 
  1914   112.1    122.0    128.6    224.9    288.7    286.7    183.6     71.3    234.5    348.6    391.9     92.2 
  1915    59.9    118.7    232.9    115.6    383.7    147.8    415.8     31.2    273.9    241.0    988.8     78.0 
  1916    81.7     59.6    275.1    462.2   1045.5    244.8    437.6    166.0    188.3    205.9    257.9     99.9 
  1917   109.7    104.9    264.6    164.9    174.9    150.4     98.4     68.4    321.4    240.6    423.2    124.3 
  1918   174.4       .0    123.2    152.6    363.6    132.4     82.0     89.5     79.2    503.3    214.7    310.1 
  1919   168.0     67.3    171.1    228.1    419.0     99.0    270.1    151.0    650.7    257.3    341.2    210.2 
  1920    48.6     55.5    241.7    364.5    229.9    438.8    133.0     59.1     48.9    277.0    601.7    283.3 
  1921   126.1     48.0    130.6    886.4    227.3     70.3    104.7    196.9     99.2    315.7    126.9    135.1 
  1922    38.7    138.5    197.6    269.6    562.5    270.6     99.6     57.2    201.9    209.6    423.4    171.2 
  1923    71.7     15.2    141.2    295.8    153.4    160.0    417.4    326.9    405.7    608.0    250.1    304.2 
  1924    97.8    105.8    240.3    332.4    642.9    122.4    350.5    170.8    536.0    303.8    273.3     87.1 
  1925   144.2    216.9    196.3    470.6    533.1    296.2    142.6     72.1    252.1    475.5    533.2    238.2 
  1926   131.3     32.1    219.5     94.6    717.5    341.4    415.3    170.1    304.1    237.4    200.5     67.4 
  1927   110.8     85.1    134.5    151.0    689.6    441.6    142.5     46.3    329.8    143.4    229.4    152.9 
  1928   142.0     66.2     96.0    521.4    178.8    210.4    134.0    110.9     48.5    453.1    485.8    180.1 
  1929   138.3     93.3    201.1    375.7    319.8    160.4    120.2     14.6    153.2    209.3    403.0    327.6 
  1930    76.4    116.0    156.7    423.5    761.7    252.5     39.2     93.6    249.0    538.4    318.7    127.3 
  1931   155.2     49.3     71.1    153.0    373.5    297.5    275.0    287.4    264.7    198.7    329.0    299.1 
  1932    13.7    118.3     77.4    259.5    462.9     96.0    111.1    420.6    202.0    758.0    481.6    246.0 
  1933   275.5     33.0     70.5    231.4    554.5    338.9    166.2    296.6    151.4    285.6    480.7     87.4 
  1934   229.8     89.0    279.8    511.8    445.7    546.9     74.2     57.6     85.0    882.7    778.5     60.2 
  1935   162.5     38.7    113.9    201.2    340.4    280.3     75.4    205.2    125.0    355.8    373.9    155.1 
  1936    22.4     79.5    252.0    292.2    964.2    141.5    160.4     58.6    260.6    324.1    435.6    133.5 
  1937   222.5     56.0     93.3    447.7    615.8    146.9    278.5     92.3    491.9    251.2    361.5    181.8 
  1938   108.5    314.8    224.1    555.8    110.7    100.4    110.8    119.8    353.9     48.7    119.9    202.3 
  1939   162.8     50.7     74.5    282.4    422.2    230.6    219.0    183.2    134.6    431.6    333.7     41.1 
  1940    18.9    149.0     24.6    132.5    296.6    165.7     73.7     90.7    118.3    540.2    449.5     89.0 
  1941    -9.9M    86.7    100.1     -9.9M   618.7    221.9    171.8    255.7    346.0    527.4    217.0    212.0 
  1942   102.7    156.9    191.8    554.6    497.0    273.1    128.2    226.0     98.0    241.4    272.2    449.8 
  1943    80.1     50.9    142.9    296.0    402.9    251.0     80.2    163.7     86.3    516.2    455.4    620.0 
  1944    48.8    160.8    121.8    201.4    571.4    136.3    132.9    218.8    233.5    610.4    515.5     66.1 
  1945    12.3     29.6    235.2    222.9    267.2    362.4    127.4     41.7    132.3    522.9    301.3    205.8 
  1946    35.2     75.1    185.7    433.4     97.4    212.3     92.2    104.8    184.3    455.3    407.4    333.6 
  1947   228.8     33.6    233.2    236.8    422.7    295.1    156.1    258.4    104.4    310.9    157.7     88.9 
  1948    37.8     44.3    200.8    343.4    196.8    298.2     97.8     98.0    163.6    255.2    153.5    365.4 
  1949    28.6     34.2     77.7    538.2    257.2    299.5    188.8    149.0    162.8    266.5    143.1    147.5 
  1950    38.9    136.9     62.3    157.1    175.8    109.9    202.0    116.8    187.1    483.4    169.1     72.1 
  1951   204.9     41.3    123.1    249.5    652.3    455.9    291.0     16.9    411.5    190.7    382.4     99.6 
  1952   226.3     62.6     36.9    270.8    390.6    209.6     52.4     26.5    328.1    259.3    256.2    214.8 
  1953   166.5     45.5    268.1    408.2     17.7    146.4    700.9     80.7     95.4    575.3    241.9    368.6 
  1954   108.3    202.4    157.7    430.3    534.9     85.5    166.0    165.2    117.6    389.6    206.3    247.3 
  1955   122.1    209.4    327.4    204.6    413.2    387.6    132.5     15.2    403.1    371.8    403.6    124.5 
  1956   117.0     34.3    281.9    480.7    196.1    252.6     19.5    155.4    232.7    334.5    268.8    158.8 
  1957   109.3    179.0    151.3    206.9    426.3    203.5    147.2     62.1     14.3    295.3    348.3    549.7 
  1958   168.3     67.0    176.4    235.9    520.6    242.6     83.6    138.2     62.6    386.4    498.3    211.0 
  1959    50.9     84.4     46.4    292.3    482.4    504.8    255.0    333.1    333.5    304.9    375.9    136.7 
  1960    45.2    311.3     32.5    197.8    274.2    127.5    280.0    100.4     97.0    348.6    327.2     91.9 
  1961    46.8    105.2     99.3    574.0    380.4    196.3    256.7    264.2    406.7    383.9    223.7    254.1 
  1962   279.8     48.6     91.6    296.1    609.3    167.3    126.8    730.5    152.9    402.0    352.5    113.7 
  1963   168.2    144.9    144.9    228.7    592.9    213.4    384.7    193.1    947.3    989.0    501.0    118.1 
  1964    65.8     96.9    175.9    264.6    431.7    220.4    386.5    100.4    209.2    392.9    200.9    150.7 
  1965    35.6    166.0     58.5    172.2    558.1     58.2    101.3    262.2    365.7    458.0    204.6    219.4 
  1966   162.8     56.7    228.8    576.7     68.5    135.4    124.6     54.2    396.3    693.6    249.3    111.9 
  1967   204.8     77.8     53.1     83.2    589.9    262.2    229.7    176.7     -9.9M   779.1    300.8    181.9 
  1968   103.4     37.5    112.7    330.7    200.6    342.5    334.9     62.5    213.2    202.3    333.6    227.8 
  1969    86.0    102.4     30.1    361.5    524.0    100.5     32.3    331.5     75.6    661.2    269.8    404.0 
  1970    79.2    210.3    124.9    336.2    401.1    167.8    227.0     67.5    322.0    296.5    314.2     85.8 
