



                              STATION NAME : KURUNEGALA              
                              LAT:  7.47N    LON: 80.37E    ELEV:  116.1M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1885    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   159.0    173.6    181.4    458.1    542.9    179.4 
  1886    -9.9M    19.6     -9.9M   139.7    170.2    236.5    148.3    152.3     90.2    306.9    189.3     53.4 
  1887    56.3     54.2     67.2    356.3     82.0    222.8     71.6    133.7     44.1    521.6    362.5    359.1 
  1888      .0      1.5     57.2    194.6     -9.9M   307.6     34.0     14.2     42.6    452.1    250.4    145.5 
  1889    36.2      3.5    262.2    366.7       .0     36.9     -9.9M    81.3    225.6    208.7    101.5     58.9 
  1890    87.0    111.6    124.5    398.5    134.6     76.9     71.1     26.0     59.3    201.4    241.9    175.7 
  1891     4.7     31.4    313.7    272.4    713.5    328.0     82.2    114.5     63.3    843.2    314.3    471.6 
  1892   241.1     64.6    110.1    296.8     72.4    103.9     93.3     59.1     49.6    375.4    318.9     78.4 
  1893    21.0    148.8    296.4    207.3    130.5    235.3     34.0     53.0     25.7    320.2    245.4     91.0 
  1894   127.2     17.2     36.0    262.1      7.3    264.1     57.5    110.1     69.8    336.7     -9.9M    51.1 
  1895    22.1      1.4     63.6    329.6     65.2    218.3      8.0    107.0    109.1    598.1     73.4    161.3 
  1896   106.7     87.3     49.1    310.8    140.8    237.1    110.5     -9.9M   100.4    413.2    380.7    590.3 
  1897    14.0     20.5    118.5    313.4     77.8    325.8    111.5    218.2    183.4    220.9    374.9    283.7 
  1898    95.5       .0    112.0    143.4    145.4    165.6    122.3     -9.9M   225.4    353.0     -9.9M   122.5 
  1899   129.4       .0     60.4    432.5    194.0    241.7     32.5     17.7     45.1    460.2    117.4    165.8 
  1900    87.0     -9.9M    28.0     -9.9M    65.9     -9.9M   304.2    121.2     89.2    406.6     -9.9M    87.8 
  1903    -9.9M    -9.9M    -9.9M    -9.9M   234.7    202.9     85.5    155.6    330.6    443.6    155.6    126.4 
  1904   195.1      7.9     63.2     61.8    273.7    256.8    171.4     16.4    230.1    480.8    131.5    224.8 
  1905    15.1    122.4     70.4    255.2    407.3    161.4     44.2     21.2    165.4    379.8    150.5    104.5 
  1906    21.9     19.9    161.3    152.2    147.4    184.6     46.5     -9.9M    46.9    503.3    405.2    130.9 
  1907    13.0     55.6    186.3    269.5    139.2    203.4    128.2     61.3    149.5    352.4    247.0     55.5 
  1908    77.2     44.3    142.5    120.9     84.8     64.4     -9.9M    16.2    292.0    312.2    176.4    143.2 
  1909    81.7     41.2     -9.9M   232.6     98.1    136.3    167.6    302.6     36.9    208.1    317.2     71.8 
  1910    34.6    103.1     10.6    131.0    103.2    171.1    166.6     49.1     56.8    381.7    260.0    228.9 
  1911    44.6       .0     43.9     43.7     42.4    360.2     59.4      6.7    100.0    264.8    231.2    653.1 
  1912    12.5       .0    125.1    147.4    189.1    359.3    136.2     65.5     59.5    430.8    198.7    216.8 
  1913   450.8     18.1     72.2    246.4    190.2    137.5     62.9     30.1     58.4    681.8    313.2    324.0 
  1914    22.0      1.7    177.6    124.0    102.5    184.9      3.9     20.7    153.8    483.5    303.2    345.4 
  1915   120.4     37.5     43.2    204.5     26.6    156.4    241.6     14.1    145.5    169.1    371.4    157.0 
  1916    13.4      2.7    146.8    160.3    112.6    212.6    221.4     81.2    131.3    251.7    288.0     83.7 
  1917   112.9    213.2    256.2     82.1     82.8    163.5     80.5     84.9    329.5    264.9    385.1     60.6 
  1918   134.5      1.4     83.7    144.9    294.9    182.9     27.8     49.5     55.0    543.1    524.7    328.4 
  1919    35.3       .5    200.8    261.7    273.3    140.1     73.4     60.5    259.7    214.7    383.6    184.7 
  1920    76.4      7.4    261.1    508.4    112.3     -9.9M    37.7     71.0     84.4    375.8    745.6     69.5 
  1921   258.2       .0     68.0    258.6    121.9     77.0    169.0    181.3     95.2    323.1    111.1    168.1 
  1922    45.5    105.2     56.3    173.2    189.6    224.4     67.0     22.1     68.7    555.6    427.7    167.2 
  1923   325.6       .0    254.7    126.4      7.8    203.5    164.1    166.6    206.3    511.7    281.8    313.8 
  1924    21.9     -9.9M    -9.9M   213.3    129.3    180.9    205.3    141.0    305.1    299.0    238.0     93.0 
  1925   226.4     86.1    326.0    302.5    193.3    158.5     50.8     50.5    383.8    497.9    435.1    122.3 
  1926    74.6      2.0    112.1    243.1    533.9    196.1    201.7     79.5    166.3    234.7    309.8     60.4 
  1927   274.3     77.9    277.8    302.9    226.6    141.2     28.9     22.7    164.2    330.7     -9.9M    49.4 
  1928    63.6    132.9    163.3    450.1     53.0    162.1    171.5     92.9     28.1    550.1    389.3     45.2 
  1929    28.0     10.0     97.6    543.7    102.0    123.6     72.4     31.8    168.9    147.9    351.9     92.5 
