 
 
 
 
                              STATION NAME : PERADENIYA BOT.GARDENS  
                              LAT:  7.27N    LON: 80.60E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1883    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   179.8    234.4    107.0    250.4    219.7    200.3 
  1884    10.1     29.7     47.1    149.8    212.2    119.1    102.9    181.6     92.6    496.1    270.9    187.4 
  1885      .0     23.0    122.9    228.3    216.4    428.4    226.7    115.7    236.8    293.4    322.2    143.1 
  1886   129.3     19.0    116.4    200.3    291.7    196.6    328.5    293.0     -9.9M   254.8    143.9     50.1 
  1887    31.9     80.0     88.2    365.9    104.0    278.8    116.4    114.0    116.1    321.2    261.6    401.6 
  1888      .0      3.0     68.1    134.9    157.4    393.2     58.7     85.2    102.6    453.1    165.1    276.8 
  1889    30.8      9.0    223.6    318.2    213.6    146.2    352.9    164.0    274.5    121.7    231.2    113.8 
  1890   211.7     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    82.9    204.4    156.5    361.9    183.0 
  1891    67.2     39.6    271.8    323.9    539.4    230.1     99.4    128.9     97.9    734.2    123.8    357.8 
  1892   208.9     68.6     45.3    106.4    184.9    220.4    201.2    193.3    101.3    530.4    288.6    107.6 
  1893    20.8     70.4    194.8    245.0    108.8    340.5    134.2     94.9     53.2    204.5    291.8     85.4 
  1894    93.6       .0    103.6    178.5      4.5    191.4    157.4    167.3    149.3    278.0    327.0     56.4 
  1895    80.4     27.2     94.7    134.6     69.7    334.0     92.0    146.6    116.7    451.6     44.6    369.6 
  1896    92.3     87.8    192.5    202.7    143.9    356.1    167.0    104.8     94.2    646.1    377.3    504.5 
  1897     9.8     47.6    169.8    377.6    130.9    284.1    151.7    356.2    246.1    176.7    354.5    359.0 
  1898    73.7     13.8    116.3    223.6    110.3    200.3    191.1     42.2    241.1    462.8    177.9    100.2 
  1899   188.1      2.0    147.0    469.0    195.7    282.1    140.0     87.2    189.2    344.9     99.5    168.1 
  1900   118.1     54.8    184.7    227.1     70.0    307.6    392.9    241.4    243.5    213.1    555.6    173.2 
  1901    50.6     47.1     52.0    304.7     98.0    390.5    208.7    151.1     84.5    167.3    467.4    120.0 
  1902   106.8     18.3    181.2    394.8     95.5    112.0    342.0     78.2    252.4    634.5    439.7    171.3 
  1903    67.9     46.9      3.4    174.2    312.4    145.2    189.7     80.0    299.3    330.7     74.5    254.8 
  1904   279.4     47.3     79.9     98.4    276.4    479.3    282.3    100.6    244.7    356.8    151.4    204.0 
  1905   102.3    123.4     46.2    170.6    317.6    342.1    152.2     68.8    137.7    404.4    122.7     66.8 
  1906    69.6     56.1     88.8    107.9     48.8    122.7    278.7    166.1     57.2    484.0    180.7    133.5 
  1907    25.3     42.8    152.0    199.9     53.2    318.7    232.3    207.0    118.0    425.9    286.5     41.3 
  1908    69.9     42.6    111.4     68.7    116.2    178.4    179.8     49.2    357.6    178.4    104.3    280.9 
  1909    70.3     55.8    253.1    184.1     61.0    269.2    297.4    339.3    135.3    159.4    309.2    152.2 
  1910     4.2    160.6     25.2    201.3     36.5    216.1    193.3    361.7    186.0    256.7    339.5    345.0 
  1911    42.2       .0    203.5     93.0     36.1    403.8    205.5    122.7    201.6    317.7    198.6    512.6 
  1912     9.7     10.1    120.1    147.7    106.4    247.9    382.4    115.6     61.4    275.2    241.8    376.0 
  1913   565.3     22.9    101.1    234.5    112.2    182.5    140.2    131.5     55.9    812.4    282.0    410.0 
  1914    41.8     11.4    109.7    132.2    136.4    242.4    134.9    113.8    221.9    364.8    222.0    412.4 
  1915   238.0    126.7     67.6    234.8     77.6    211.3    322.1    116.0    270.4    100.6    349.4    119.3 
  1916    12.4       .0    265.7    181.7    189.3    339.6    307.7    158.0    157.2    172.6    257.1     21.2 
  1917   123.0    161.2    181.7    116.7    136.0    261.4    159.0    252.1    381.1    242.6    488.1    105.7 
  1918   116.2       .0    149.4     78.5    334.4    274.5     64.9    176.0     35.1    419.7    438.7    317.8 
  1919    39.7       .0    146.8    157.4    252.9    184.8    192.0     77.2    265.2    195.8    446.8    234.5 
  1920    90.6     10.1    164.4    226.3    179.4    566.1    191.4     33.8    180.9    283.8    627.7     56.3 
  1921   234.3       .0     82.9    154.8     32.2    116.7    194.7    301.2     55.3    266.2     94.5    153.7 
  1922    30.6    133.0     62.8    173.5     90.0    281.2    253.3    148.9    174.6    355.9    301.6    157.0 
  1923   361.2       .0    146.1    121.5     11.0    540.5    241.0    284.4    277.6    473.9    263.5    374.0 
  1924    25.9     84.1    190.8    140.2     97.2    192.5    292.6    249.5    404.8    278.8    157.9     85.8 
  1925   201.5     77.9    177.5    133.1    259.6    190.4     44.0    174.2    198.4    302.6    395.9    195.0 
  1926    39.2     14.7     63.7    252.1    533.6    185.6    274.6     85.1     97.0    217.7    244.4     50.7 
  1927   273.5     57.8    147.8    192.3    228.7    156.7    156.6     25.8    216.9    262.3    139.6    146.5 
  1928   178.9     72.4     67.4    389.4    108.3    180.3    312.2    211.6     93.5    379.9    180.6    200.6 
  1929    17.7     10.6    174.7    399.9    102.9    317.6    220.5     35.9    203.5    149.8    459.9    122.7 
  1930   320.3     65.8    162.4    167.0    373.9    338.3     39.1     77.6    214.8    490.4    293.9     34.8 
  1931   153.8     21.5     96.3    327.4     98.2    256.4    119.7    485.9    191.4    339.5    271.7    291.0 
  1932     4.2    101.3     92.2    225.3    245.2    109.8    157.9    120.4     71.3    328.5    425.2     70.3 
  1933   327.2     93.2    160.4    161.0    773.4    229.7    265.6    231.9    222.5    318.7    310.9     53.6 
  1934   214.4     93.0    233.6    240.4    158.7    210.4     93.3     30.0     17.2    282.3    169.6    112.1 
  1935    62.5    113.2    179.2     71.9     45.6    160.9    100.6    165.5     84.4    520.6    360.4    280.2 
  1936   108.8    128.3    292.9     41.2    474.6     93.5    256.5     81.2    371.2    158.1    133.4    265.4 
  1937   188.5     93.2    121.4    106.4    134.7     97.6    262.4    211.9    156.3    199.7    440.0     37.1 
  1938    55.6    165.7    243.8    231.6     37.0    162.9    151.5     73.2    241.8    112.6    203.6    145.9 
  1939   166.6       .0     50.9    434.2    158.5    236.5    232.9    266.7    109.1    253.1    462.4    153.2 
  1940     2.0     25.7     67.6    335.6    701.5    400.8    128.9    139.5    249.9    314.3    402.9    199.5 
