



                              STATION NAME : LOWER SPRING VALLEY     
                              LAT:  6.92N    LON: 81.10E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1884    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   116.9     98.2    449.7    261.4    586.3 
  1885   165.5     -9.9M   129.5    132.8    294.7    167.9     27.9    134.3    217.9    430.6    223.6    430.7 
  1886   265.2    100.8     98.6    328.8    191.6     21.7    179.3    167.0     97.7    213.6    151.7    282.8 
  1887   139.7     98.8     59.6    280.6    136.1     94.2     32.3    263.2     10.3    217.9    236.5    941.1 
  1888    16.9       .0     83.2    173.7    138.4     46.3     21.9    137.8    100.5    268.1    339.2    435.7 
  1889   175.0     21.9    239.9    286.4    262.2     56.3     58.9     66.1    123.3    205.3    118.3    186.1 
  1890   148.9     83.5    151.7    458.0    145.2     79.8     95.1    133.0     26.3    273.2    268.4    184.0 
  1891   274.4    122.0    230.1    197.0    175.8     71.0     67.1     12.6    130.7    545.2    273.7    593.3 
  1892   899.2    233.0    115.0    243.0     71.4    183.4     57.5    157.3     85.6    231.4    431.4    205.0 
  1893   146.5     35.2    364.2    265.3    271.2    150.3    195.9    126.1    133.4    331.8    400.6    382.4 
  1894   183.5     61.0    189.1    191.8    137.1     49.1     45.4    177.6    193.3    187.3    348.4    317.3 
  1896   313.0    195.7    140.1    290.9     42.5    106.2     76.8     84.6    150.0    479.2    339.4    890.6 
  1897   137.5     79.8    233.0    423.2    279.9     61.3    116.0    183.8    236.2    218.6    265.3    444.2 
  1898   254.6     55.9    142.8    307.9    184.8     21.4     95.6    121.3    219.8    463.8    185.1    422.5 
  1899   556.0     11.9    160.5    459.2     57.9     15.7     61.7     12.8     23.3    394.6    257.9    312.3 
  1900   245.1     15.7    106.1    156.1    199.9     25.0    198.6    140.3    112.0    408.2    598.5    384.8 
  1901   155.9    211.8     84.4    278.6    102.4     71.9     83.2     70.6    246.0    142.5    381.3    221.1 
