



                              STATION NAME : MAHA ILLUPPALLAMA       
                              LAT:  8.12N    LON: 80.47E    ELEV:  117.2M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1952    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    62.4    100.7 
  1953    84.0     16.0     31.6    166.4       .0       .5     80.2     64.4     78.5    399.6    176.5    231.9 
  1954    87.7      5.2    204.7    241.7     43.7       .9     56.1     42.5       .0    233.9    272.3    403.7 
  1955   200.8     33.4     59.6    179.2    122.8       .9       .2     70.5    319.8    195.2    173.8     47.4 
  1956    51.8      9.2    122.5     42.7      3.0    101.9      5.0      6.5      9.0    131.2    182.1    128.4 
  1957    66.3     84.2     10.6    233.8    168.1     29.3      2.5      3.0     38.3    321.1    460.9   1075.2 
  1958   193.0     16.1    141.7    268.0    136.7I     8.5I     4.6I    65.4       .0    186.9    188.4     86.2 
  1959    70.1     43.0     38.0    172.2    194.7     36.3      9.2       .0     86.8    144.5    398.8    164.4 
  1960   131.8    194.0     21.3    404.8     88.1      8.6    216.8      1.5     68.8    175.0    408.6    152.9 
  1961   213.0    118.2     45.5    211.1     66.8     72.1     29.8      6.4     21.7    307.0    260.3    263.9 
  1962   128.6     17.7     33.5    156.1    147.5      4.7      9.8      5.4     76.2    521.2    106.2    239.8 
  1963   236.5     77.6    125.5    280.3     47.2     16.3     11.9      3.3     60.6    325.7    508.6    466.6 
  1964    63.5     42.6     98.5    111.1     64.1      4.8     73.6     11.8    128.1    182.8    188.6    109.0 
  1965    52.5     70.0    121.0    161.4    174.1      4.9      2.2    185.9       .0    417.1    358.8    397.0 
  1966    57.4     17.8    207.9    237.7      1.2      4.3     24.3     38.1    159.2    301.1    404.9    229.1 
  1967    17.4    128.5    132.1     67.6     84.6     21.6      6.5      3.4     31.6    307.9    221.4    333.1 
  1968    44.3       .2     99.4    109.2     10.3     46.6      8.8       .0     48.7    242.8    305.8I    -9.9M
  1969    58.9     40.1    119.9    223.2     14.2      2.0      2.5    129.8     18.4    323.6    112.7    349.0 
