



                              STATION NAME : MAHA USWEWA TANK        
                              LAT:  7.95N    LON: 80.07E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1892    49.1     71.0       .0    257.2       .0     39.5     -9.9M      .0       .0     45.6     26.8     29.3 
  1893    93.8    218.3    369.5    194.9     28.4     53.3     10.1       .0       .0     76.3    420.5     56.6 
  1894    15.2      8.2    139.6     54.3      6.3    105.8      1.5     25.2      4.4    123.5    366.5    104.3 
  1895    63.8       .0     41.1    450.6      8.8    192.0       .0      6.1      7.1    402.0    153.5     83.9 
  1896    33.8     -9.9M   119.2    149.3    100.5    179.4    117.7     39.5     53.1    612.7    639.1    587.2 
  1897    35.9     45.3     35.3    222.5     86.6    238.8     12.9    167.2     46.2    122.9    114.3    223.8 
  1898    78.7     12.6     73.5     45.0     75.0     30.6      5.0     -9.9M    82.6    587.5    214.9    166.7 
  1899   271.9      5.0     83.9    306.5    132.0     21.3      4.8      1.7      6.5    226.5    101.9     45.0 
  1900    93.7       .0      6.3    182.6     27.8    139.3     10.1     15.2       .0    278.7     81.1    121.8 
  1901    93.9     45.7       .0    395.7     50.7     53.2       .0       .0       .0    149.6    365.1    116.6 
  1902   177.7     -9.9M    63.4    338.5    122.5      2.5     25.3     58.2     41.7    429.4    424.7    266.3 
  1903    55.8     91.3       .0    123.9    253.4    163.3     83.5    117.8    180.0    327.2    190.1    345.0 
  1904   118.9     12.3      7.6     51.8     64.8     89.8     30.1       .0      9.9    365.0     81.2    236.2 
  1905      .0     63.9       .7    203.3    177.9     43.5       .0       .0     64.2    271.8    166.3     60.8 
  1906    70.7     46.4     23.7    315.9     77.8     65.8      4.2     82.6     17.1    333.2    346.3    189.3 
  1907    33.6     89.1     94.1    271.3     30.0    143.1     42.7      2.0    119.0    238.2    234.9    200.4 
  1908    55.0     46.2    146.6    110.8     94.2     17.7       .0       .0    111.4    157.0     60.7    142.3 
  1909    16.4     54.6    140.8     68.5    131.4     59.9     25.2    117.9       .7    186.0    241.0     70.1 
  1910    13.5     15.8     24.0    167.2      7.1     53.2    161.0     15.1      3.1    389.5    263.1    179.3 
  1911    60.9      2.5     39.8     29.3     -9.9M   119.7       .0       .0       .0    230.1    173.0    243.3 
  1912      .0      1.9     19.7    369.1    149.9    209.2      3.7      4.5     18.4    188.7    207.4    113.7 
  1913   228.8     63.9     75.5     87.0      1.7     64.4     70.0       .0      6.8    321.8    192.8    142.0 
  1914     6.5      7.3     71.1     84.4     96.2     99.3       .0      4.0     63.3     -9.9M   172.4    290.0 
  1915    99.3     47.2     29.4    145.8      3.8     69.4     38.1      7.6     27.7     70.6    308.2     53.1 
  1916      .0      8.3    108.8    137.2     44.7    108.1    124.3     40.6     42.3    122.4     -9.9M    94.7 
  1917   107.2    149.6    150.7     54.4    210.9     13.1     59.2     57.0    243.2     96.3    237.9    110.6 
  1918   171.2       .0     42.3     13.6     84.3       .0     92.4       .0      7.9    181.7    361.8    123.3 
  1919     9.5       .0    114.6     81.4    102.9    130.6       .0       .0    255.0    241.6    227.9    314.5 
  1920    20.1     28.6    107.3    336.0     42.9    143.9     57.5       .0      2.2    184.0    452.6     61.2 
  1921   222.7       .0     10.6    162.5     12.8     18.2     28.8     52.4     32.3    228.8    111.6    127.6 
  1922    30.9     41.8      5.0     62.9     32.9     19.6       .0       .0       .0    236.2    451.4    126.5 
  1923   249.8       .0    149.3     92.0     23.0     67.2     94.3     37.7     45.2    375.0     81.7    197.0 
  1924    40.6       .0    109.1     99.2    103.0     68.2     82.7       .0    221.4    330.5    158.1    107.4 
  1925   177.2     35.9    165.0     25.1     11.0     68.8     21.9     32.5    157.3    151.3    192.8    135.0 
  1926   154.9       .0     30.3    123.7    445.1     55.0     32.3       .0    182.3    181.2    213.9     36.6 
  1927   191.7    128.6    118.9    140.7    106.4     25.0      2.5      6.3     75.4    154.7    171.9     69.3 
  1928   138.5     88.3     73.8    240.1       .0      8.3    219.8      3.8      3.0    137.6    347.3    108.5 
  1929     6.3      5.0    169.5    364.5     38.0     60.2      3.5       .0    103.8    127.2    303.6     36.7 
  1930   113.8    124.3    175.6    115.5    225.8     19.4       .0     63.7    107.0    428.9    168.7     59.1 
  1931   179.7      6.6     50.6    157.3     80.2     39.8     26.9     19.8      3.2    198.9    243.4    323.4 
