



                              STATION NAME : MANNAR                  
                              LAT:  8.98N    LON: 79.92E    ELEV:    3.6M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1870    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    23.3       .0       .0    229.3    120.1    121.9 
  1871   226.3     54.1     33.5    134.5     27.6       .0       .0       .0     31.3    110.9    300.7    208.7 
  1872    25.1      7.5     49.3    219.1      3.8       .0     34.2       .0     83.6       .0    314.3     76.4 
  1873      .2     -9.9M    45.6     30.0     94.6       .0      1.5     15.6       .0    136.7    184.6    105.7 
  1874     4.8     61.3     -9.9M    47.9     30.4     -9.9M      .7      1.0     54.4     23.8    144.2    167.3 
  1875    37.2       .7     29.9     26.5     49.0     58.0       .0     14.7     12.4    268.8    141.5     72.9 
  1876    -9.9M      .0    124.3     58.5    113.3       .0       .0     82.7       .0     85.7     88.0    124.0 
  1877      .0       .0     52.2     26.8     59.3     19.7       .5       .0     21.5    159.7    181.1    454.9 
  1878    37.7       .0     32.5    186.5    174.6       .0      3.5     13.3     28.3     36.7    109.1     25.1 
  1879    18.4     19.2    187.1     15.6     81.9       .0       .0       .0     17.5    164.4    265.6    191.5 
  1880    64.4       .2    160.1       .0       .0       .0       .0     14.6      3.0    268.6     -9.9M    -9.9M
  1881   167.1       .0     77.6     19.0       .0       .0      1.0      1.5       .0     32.6    352.1    379.7 
  1882    44.6     62.5     19.7     62.7     50.0       .0       .0       .0      7.1    227.4    404.8    440.1 
  1883    34.2    269.3      2.7     17.6    224.3       .0       .0       .0       .0    464.0    290.7    153.7 
  1884    14.2       .0       .0     11.8     22.6       .0       .0       .0      1.0    481.1    577.0    351.6 
  1885     7.7      8.6      2.2       .0    102.6    140.2       .0       .0     23.0    601.8    377.5    293.0 
  1886   134.5     50.9       .0     70.8     42.8       .0     61.9    118.6     65.0    137.7    291.1     90.4 
  1887     5.0     25.5    110.3     42.0      2.5     59.1       .0       .0       .5    310.6    174.5    584.6 
  1888     1.9       .0       .0    215.2     88.1       .0     22.8       .0      1.5    102.5    295.8    251.8 
  1889    42.2       .0     19.8    115.5     69.6       .0       .2     22.5     24.4     88.6    102.8     46.4 
  1890   122.3     17.5     51.3    101.7       .0       .2       .2     11.1     72.0    117.1    125.7     29.0 
  1891    -9.9M     9.3     19.6    130.1    132.6       .2      1.0       .0       .0    640.6    385.7    263.4 
  1892    88.6     83.6       .0     66.0       .0      4.7      6.6      6.8     68.3     24.5     89.1     78.3 
  1893     1.9     14.2     82.8     83.5      4.0     23.3     23.0       .0     -9.9M    82.6    329.4     63.5 
  1894    23.2       .0     36.0     41.4       .0       .0       .5     48.5     48.8    226.1    113.3     93.1 
  1895    38.6       .0       .0     52.5       .0       .0     17.0      2.7      3.4    401.0    206.5    161.3 
  1896    95.8       .5     11.3       .5     24.0     29.6       .7       .0     76.4    190.9    373.6    490.6 
  1897    18.3     49.5     17.8     68.8       .2      3.5       .0      4.2     89.1     99.7    135.9    489.9 
  1898    90.4      4.0      5.5     17.3     44.9       .0       .0       .0     33.6    245.5    373.1    135.4 
  1899    63.8      6.8     20.2     81.9    142.9       .2       .0       .0      2.2    308.0    408.2     89.6 
  1900    92.2     -9.9M    -9.9M    -9.9M    28.9     25.3     -9.9M    -9.9M    50.1     96.6    305.6    147.3 
  1901    48.3     80.3     50.8    109.8     37.8       .0       .0       .0      4.3     57.1    243.4    103.9 
  1902   183.0     50.5     80.9     32.3     27.5     87.6       .0       .0       .0    357.9    414.7    164.4 
  1903      .7     65.4       .0     58.9    229.0      8.8      6.3      3.9    193.1    113.4    202.1    202.5 
  1904    56.6      4.5       .0       .2      1.5       .0     82.5       .0      3.8     88.8     43.3    285.0 
  1905    19.8     13.4       .0    166.5     73.5       .0       .0     16.0       .0     -9.9M   136.3     40.7 
  1906    35.0       .0       .0     64.4     52.6       .0      9.0     17.5       .0    191.4    428.6    102.6 
  1907    96.2     18.4      8.0    140.0     32.3       .0      5.8      3.0      8.5    326.4    412.0    124.8 
  1908   102.4       .0     78.4     93.3     -9.9M      .0       .0       .0     12.0    318.0    141.5    176.3 
  1909    45.3      3.0     21.3     51.2    100.8       .0       .0    107.5     24.7    269.1    322.6    130.3 
  1910    61.8     33.2      8.8     30.0       .0       .0     37.9    184.4      2.7    198.2    210.2     77.3 
  1916    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   130.2    122.6    126.4 
  1917   118.5     38.6     67.1     59.1     34.9      9.9     -9.9M    -9.9M    62.0    122.1    227.8    138.0 
  1918   226.6     27.0      8.6      4.0     35.6       .0      3.3      1.0       .0    161.8    466.7    359.6 
  1919    67.6     30.2     61.6     41.2     57.8     40.2       .0       .0     57.3    229.6    403.8    492.6 
  1920   147.3       .0     39.6    195.4      7.1      2.5       .0     15.9      5.5     85.3    508.1    134.8 
  1921   121.6       .0     16.7     88.5       .0       .0      9.3       .2     12.3    218.1    213.8    273.7 
  1922    69.1    374.3       .0     98.3     64.3       .0       .0      9.5     13.2    303.0    260.7     48.5 
  1923   209.0       .0    100.8     74.8       .0       .0       .0       .0     39.8    197.0    124.3    464.0 
  1924    73.5      2.9    103.3     73.5     53.7       .5       .0     48.2     87.9    113.4    134.3     96.9 
  1925   118.4     84.3     72.8     71.5      4.1     12.4       .0    105.8     18.0    141.6    210.0    259.3 
  1926    87.0      3.5     71.0     77.0     55.0       .0     29.7       .0    104.5    175.7    427.1    134.4 
  1927   159.3     81.5     94.6     89.3     93.1       .7       .5       .0      6.1     54.2     83.4     25.4 
  1928    65.5     70.8      6.6     40.0     33.5       .0     24.1      9.8       .0    160.1    307.3    126.9 
  1929    14.7     57.1     38.2    220.9     37.8     24.0       .0       .0     58.5    142.7    232.7    175.6 
  1930   106.3      3.2     22.5     87.4    209.9      2.5      5.8      8.8     29.1    411.9     42.1     25.1 
  1931   105.0       .0       .0     92.5     21.3       .0       .0       .0      4.8     87.9    397.5    534.2 
  1932     8.7     13.2     10.2     18.1     83.3       .0       .0     74.4       .0    402.2    278.9    148.8 
  1933    80.8     27.4      9.1     17.5     70.0       .5      6.6    149.0     24.8    328.3    222.9    106.5 
  1934   302.8      5.3     52.7     77.7      2.4     14.8       .0       .7       .0    208.4    180.7     48.4 
  1935    26.3     23.8     70.4    114.1       .0      2.0       .0       .0       .7    122.1    262.6    306.3 
  1936    40.4     33.9    175.4      7.2     12.6      1.7      1.0       .0     65.8     24.4    217.3    396.7 
  1937    93.8     16.9     22.5    112.4       .0       .0       .0     18.9    144.9     53.2    310.4     62.0 
  1938   146.9    245.7    175.9     63.1     17.2       .0      1.0      5.4       .0     78.2     41.9    150.0 
  1939   103.1     31.4      6.8    375.3    132.7       .0       .0      2.2      8.3     79.1    462.3     53.6 
  1940     5.1     11.6       .0    138.8     56.8      2.7       .0       .0     17.9     72.3    379.3    154.8 
  1941   106.1     30.1       .5    126.7     27.9       .2       .0     31.9     95.8    141.1    478.9    107.6 
  1942     5.5      6.2     74.5    125.6    146.1       .0       .7      8.8     50.0    182.1    144.2    353.5 
  1943   163.9     22.8     19.8    148.9    163.3       .0       .5       .0      5.8    269.3    146.3    226.7 
  1944    55.7     91.8    152.6     55.3     24.5      4.3       .0       .0     32.0    237.3    147.3    103.3 
  1945    16.4     11.4     69.8     49.9       .0      1.5       .0     34.2       .0    140.4    401.7    291.9 
  1946     2.5     16.7     51.3      8.6     27.1       .0       .0      1.5       .0    140.0    298.0    402.3 
  1947   252.4     31.8    120.5     74.1     38.4       .9     33.7     31.0     12.5    153.2     83.4    143.0 
  1948   177.7       .0      7.7     47.7     16.2       .0       .2     49.7       .0     49.8    383.5    317.1 
  1949    45.2      4.5      5.0     40.9    126.0       .2     34.8     20.1       .0    121.5    115.3    262.3 
  1950    51.0     28.3     37.6     30.6     40.0       .0       .0      9.1       .7    172.2     52.3    130.8 
  1951   180.6    113.9     71.2    157.4     24.3       .0       .0       .0     84.7     74.0    245.9     72.4 
  1952   104.2     35.0       .0     32.0     14.4      1.0     41.6       .0       .0    115.1     72.7     62.3 
  1953    36.2     70.4     52.8     48.7       .0      2.5      6.3       .0     57.3    293.3    193.3    110.0 
  1954   123.7      3.3     70.9    164.8       .2       .0      8.5     20.1       .0    495.5    196.5    384.0 
  1955   162.1      8.4      7.4    130.0     67.9       .0       .0     13.6     69.0     96.5    135.9     53.4 
  1956    41.7      7.3     23.2     19.2      2.2     51.1      1.4       .0      2.7     47.0    270.8    180.6 
  1957    54.4     29.2       .7      1.9    108.7       .7     11.1       .7      6.6    236.6    419.4    618.7 
  1958    26.7      3.5     37.3    112.0     67.0       .0       .0      8.2       .0    229.7    161.4     71.4 
  1959    41.4      9.4       .0    153.9    156.8     56.7       .0       .0     16.3    216.6    190.5    124.8 
  1960    49.6     69.9      2.3     96.1     27.1       .0     67.6       .0      2.0    151.2    370.3     75.5 
  1961   218.7     11.6     49.5     44.1      8.5     10.2     20.7      1.2       .0     49.0    236.5    139.2 
  1962    27.3     45.1      6.7     64.8    187.9      1.2       .0      6.1     56.3    331.3    140.2    147.9 
  1963   204.0    110.5    127.7     63.5     13.2       .0       .0     69.6      2.2    231.4    258.2    304.5 
  1964    11.0     86.0     51.4     32.0     22.8       .0     84.1       .0     29.4    101.4    119.6    150.3 
  1965     8.5    104.7     10.3     58.9     12.1     13.2       .0     52.7     46.8    249.7    235.9    243.7 
  1966    26.8      4.7     43.9    162.7      2.7       .0      1.0     42.1     11.7    298.1    188.8     85.1 
  1967     6.0     46.7     21.2     35.3     90.1       .0       .0       .2       .0    368.4    420.0    507.5 
  1968    28.1      2.5     85.0    111.5     31.9      1.7       .0       .0      4.0    135.0     -9.9M    -9.9M
  1969    20.1     74.5       .0     93.0     54.5       .0       .0     -9.9M      .0    293.5    139.4    398.1 
  1970    26.9     32.2     21.9     95.7     37.7       .5       .0       .0       .0    135.6    430.6    186.4 
  1971   140.0     43.6     81.0     62.3    122.5       .0       .0     25.0      2.5    115.1     73.0    423.6 
