



                              STATION NAME : MARADANKADAWELA         
                              LAT:  8.13N    LON: 80.57E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1888    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   129.5 
  1889    69.8       .0     46.9    239.0    201.5      7.1     23.7     55.2    175.5    150.7    129.3    110.4 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M      .0     17.3       .0    118.1    192.4    142.2 
  1891     1.0     93.5     77.3    280.9    467.7     25.3       .0     11.4      8.3    630.9    171.5    419.5 
  1892   199.0     70.9       .0    210.6       .0     25.1     20.3     57.0     22.8    291.9    208.0     36.6 
  1893    25.3     76.1     80.5     83.9     25.1      7.3    202.6       .0       .0     54.2    384.0    123.6 
  1894    24.5     19.7     47.3    123.4      8.3       .0       .0    102.0    107.9    304.6    166.1    139.4 
  1895    58.5       .0     58.0    166.9       .0     54.5      6.7    180.9     31.9    671.2    174.6    279.9 
  1896    96.7     35.4     40.2    124.8    116.6    159.8     28.5       .0     92.4    302.7    372.9    424.3 
  1897    62.7     35.0    101.5    190.9     14.6    125.7      4.9    152.6    151.8    118.8    116.0    388.2 
  1898   213.2     27.3      2.5    164.4    172.8      9.8       .5     10.0    136.1    432.1    211.8    308.2 
  1899   291.8      5.0     58.9    392.8    143.2      7.3     44.9       .0     53.0    265.1    257.1    225.6 
  1900   100.6     42.9    121.8    123.8     92.8     28.2      5.0      7.8     68.9    132.3    144.0    461.8 
  1901    62.8     58.9     79.0    259.2     54.5     47.4       .0       .0    118.1    299.7    369.5    221.1 
  1902   239.4    137.3     81.7    169.2       .0     40.6       .0     30.4    218.2    592.5    396.0    320.5 
  1903   120.0    172.7       .0    125.8    186.3       .0     34.9     84.6    193.6    374.7     61.5    236.7 
  1904   294.7     19.0     57.4     19.0    107.2      7.3     48.4       .0      6.3    306.9    261.3    345.2 
  1905    45.5     64.6    103.3    168.7     91.3     16.2       .0      3.8     96.5    158.4    347.3     92.3 
  1906    96.2     17.7     48.2    149.5     66.9     31.4     61.3     94.9     70.9    411.0    278.3    243.2 
  1907   104.3     26.5    206.7    157.0     10.1     73.5    144.5       .0     46.9    320.6    325.6    395.0 
