



                              STATION NAME : MARAWILA (HORAKELLE)    
                              LAT:  7.45N    LON: 79.85E    ELEV:   15.2M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1868    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   211.8     50.5    113.3 
  1869    49.9     83.7       .0    140.9     31.0     94.9     15.7     50.7     63.5    164.7    261.4    319.9 
  1871    88.9     13.8     37.9    339.1     42.7     13.8     20.2     26.4     10.0    193.7     97.4     91.2 
  1872     8.3      9.3     38.0    169.0     42.7     39.3     26.3     15.1     58.8    125.4    271.1    173.7 
  1873     7.5     24.7     49.7    158.4    259.7     95.7     75.8      6.1      6.1    127.5    120.2     77.5 
  1874    23.2     37.8     18.5     66.8     97.5     67.9     11.4     28.7       .0    302.3    189.9     99.2 
  1875    39.2      5.2     47.2    528.0     79.1    293.8     15.4      3.8     15.6    270.5    291.1     -9.9M
  1876    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    32.6 
  1877      .0     76.1    127.4     89.8    312.7    353.6     37.9    160.0    277.0    490.9    552.6    338.2 
  1878   118.9       .0    154.4    115.7    638.4    274.1    524.5    242.3    193.5    298.0    102.6     82.6 
  1879    17.2    150.0    193.7    201.5    395.9      9.7     80.1      5.8       .0    188.6    261.0    160.9 
  1880    52.7     79.9    191.4     38.1    130.0     49.4     13.8       .0       .0    171.6    437.7    129.9 
  1881    92.1     26.1    159.5    130.8    174.9     41.4     44.4     79.9     79.9    313.8    329.9     -9.9M
  1882    76.2     21.9     39.7     94.1    312.8    232.1    171.8     26.7    319.2    172.3    228.9     -9.9M
  1883     7.5     57.7     47.3    175.1    490.5    117.4     36.8    256.2     34.3    263.9    180.9    146.2 
  1884     5.2       .0     35.7    137.5    122.2     16.9     40.7     29.0     40.1    249.2    298.1    166.2 
  1885      .0     10.3    233.8     21.0    143.0    403.7     98.0    151.6     64.2    471.9    260.6     97.5 
  1886   128.3     28.8     90.0    169.9    556.9    181.9     -9.9M    23.8     59.7    235.5    109.5     28.1 
  1887    33.1     -9.9M    -9.9M   238.7    132.8    166.5     28.6     56.2     27.0    334.5    143.2    280.2 
  1888    -9.9M    -9.9M    81.1     -9.9M   353.3    152.0      4.0      3.7     11.8    306.6    329.9     97.2 
  1889    29.8     -9.9M   210.1    289.5    311.9     35.5     56.4     32.1    337.0    295.8    131.5     70.7 
  1890     3.8    104.2     82.3    289.4     66.5     17.1     40.5       .0       .0    407.7    139.3    124.8 
  1891    29.6     34.4    216.8    115.7    304.1    170.8     49.8     59.3     42.8    796.0    477.9    259.7 
  1892    64.2     56.2       .0    416.9     32.5    252.4      8.0      6.1      7.5    166.3     80.1     48.6 
  1893    11.9     36.2    199.8    305.6     73.3     62.0     21.8      2.5       .0    192.7    429.5     29.6 
  1894      .0       .0    222.1    175.5    123.1    119.3     39.4       .0      3.9    564.7    242.9    121.6 
  1896    12.0     48.7     87.2    169.2    223.0    268.9    101.2    112.7    202.4    348.4    495.5    517.3 
  1897    16.9     70.2    112.9    570.4    143.6    511.8    146.7    178.3    211.9    133.9    504.1    159.4 
  1898   131.2     35.9    114.4    235.1    221.1    264.0     41.3     28.8    129.7    359.9    804.6     -9.9M
  1899   144.8       .0    115.6    218.6    255.5    140.3     22.2      1.0     15.1    215.6    119.1     54.1 
  1900    82.1     25.0     10.3    291.2     40.8    309.9    134.5    106.9     41.3    241.5    173.2    103.8 
  1901   160.6    100.5    122.7    187.0    143.6    184.3     52.1     11.6     27.4    122.1    524.5     51.1 
  1902    83.9     50.3     39.1    291.6    111.3     64.6    155.0     96.0    117.8    623.2    402.9    368.0 
  1903    66.8    101.7    112.2    211.6    308.5    138.6    112.7    257.6    121.9    436.5    181.1    111.1 
  1904   226.5      4.2     12.8    315.3    504.5    214.2    128.9      5.0     23.2    409.7     83.3    174.4 
  1905     7.5     66.9       .0    465.7    367.4     77.4     16.8     23.2    174.3    531.7    168.2     45.3 
  1906    77.5     75.6    101.4    166.9    303.7    118.6     23.6     56.3       .5    511.7    320.6     47.5 
  1907     1.5     52.5    113.1    133.4    148.0    125.3     86.4     23.9     69.3    436.6    406.9     79.8 
  1908   165.5     22.8    173.7     59.0    328.0     43.7     12.9      3.2     77.8    270.3     78.1    153.1 
  1909    80.1     30.1    118.7     13.4    180.3     46.4    160.7    253.7      5.0    406.7    107.7      9.8 
  1910     6.3     34.2     35.3    323.4     26.4     59.5    102.5      3.1     19.7    411.4    139.3     94.5 
  1911    28.7      6.2    101.7     47.7     65.5    158.2     24.1      8.8     13.3    198.5    139.4    246.3 
  1912     7.8       .0     30.1    183.4    272.5    275.8     38.4     16.4    113.4    409.9    224.0    192.0 
  1913   226.4    130.0    138.4     46.7    100.9     89.3     56.4       .0      5.8    104.7    227.3    196.8 
  1914     5.4     10.4    167.8     47.6    111.8    181.5      4.5      3.0     27.4    438.5    318.2    210.7 
  1915    52.4     16.0     73.0    131.5    206.3    201.8    123.5       .0    113.0     99.9    545.4     33.0 
  1916    14.1      3.2    108.3    102.2    641.8    153.7     87.0    120.6     79.8     81.0    216.5     54.3 
  1917    74.0     96.8     69.5      5.0     41.2     59.2     35.8      7.2    187.8    117.6    323.2    118.2 
  1918   137.1     12.9     82.5    154.2    238.7     56.6      9.8      8.4      8.4    253.7    284.1    228.1 
  1919    51.8       .0     92.5    103.0    312.3     87.4     49.9     78.8    290.7    179.5    184.9    208.4 
  1920    28.1     40.4    127.8    193.1     89.9    301.9      3.3      5.1     39.6    278.4    470.1     87.2 
  1921   135.9       .0     22.1    232.4     88.4     19.0    141.0     27.9     21.8    275.5     52.5    142.4 
  1922   102.7     18.6     33.4    117.9    319.8     75.2     45.1       .0       .5    194.8    596.2     31.3 
  1923    77.5       .0    166.3    115.7    100.8    177.9    143.0    122.5    110.1    336.9    270.8    229.6 
  1924   100.9     37.7    254.5     45.5    250.3    202.1    160.2     12.8    317.0    215.0    238.8    100.5 
  1925   111.5     25.1    262.2    197.7    183.7    248.6     70.0      8.5    229.7    417.1    309.7    115.9 
  1926    60.2       .0    140.9    146.3    707.7    146.2    218.8    145.4    145.4    203.0    220.8     50.9 
  1927   230.0     76.3    154.9    135.4    245.1     93.0       .0      6.8    253.2    175.3    146.4     38.8 
  1928    94.2    115.9     75.2    151.3     51.3    140.7    169.7     22.5     15.3    403.1    347.8     75.6 
  1929    23.3       .0     75.2    241.1    128.4    101.9     33.2     22.3    173.9    204.0    187.9    110.0 
  1930    63.6     44.8     49.4    305.0    442.8     55.8       .7     79.8    111.6    715.5    349.3     74.0 
  1931    48.4      2.7     26.9     48.9    311.9    177.2    139.3     62.6     46.3    256.6    284.9    201.3 
  1932      .0     50.7     22.4    243.7    227.9     12.4     40.3    382.8    121.1    517.2    404.4     62.2 
  1933   167.7     54.4     40.7    193.9    341.5    184.4    108.3    210.9     45.6    274.5    220.2     39.4 
  1934   189.5     59.3    135.1    233.2    298.1    220.9     43.8     28.1      4.0    384.3    577.9     58.9 
  1935    32.2     19.8    142.0    125.1    221.5    128.6     10.3    134.6     16.7    435.2    281.6    116.5 
  1936    54.7     44.1    177.2     31.5    590.2     95.3     72.3     10.5    177.0    183.7    252.0    151.7 
  1937   126.6     31.9    117.6    228.7    245.0     55.9     68.3     42.5    398.1    172.8    273.5     43.0 
  1938    35.6    178.9    190.0    258.4     17.9      3.8     22.1     57.8     61.1    194.5     31.6     57.0 
  1939   187.2       .0     69.8    386.3    263.8    209.0    110.3    154.5     46.2    170.2    289.1     33.4 
  1940      .0      4.5     35.0    270.4    191.6    152.5     23.0     45.2     65.6    291.7    473.5    100.5 
  1941    25.9     10.6      8.2    344.9    170.3    144.4     24.2     63.3     93.3    207.4    654.8    100.5 
  1942    17.2     40.6     89.3    286.9    250.4     82.4     22.6     75.8      2.5    108.3    114.7    330.5 
  1943    94.8     19.6    113.3    249.2    248.7     95.8     20.0     55.6     15.5    320.4    169.1     69.0 
  1944    37.0     30.8    241.6     70.6    111.0    109.9      8.2     33.0    208.6    270.1    357.1    101.1 
  1945      .0      3.0    157.3    148.1     61.1    234.0     81.1     17.0      6.5    659.4    269.0    142.0 
  1946     6.9     33.1    230.2    198.7    233.9     78.9     29.8     18.8     80.7    396.2    591.1    349.6 
  1947   157.5     46.9    105.5     62.9    150.4    199.0     70.3     97.4     56.9    151.6     27.9     93.7 
  1948    23.7     14.2    118.3    267.1     52.4    142.9     28.5    125.9     18.1    337.5    226.1    107.7 
  1949    37.2      6.8     14.9    549.6    402.8    176.7    125.6     96.2     28.0    269.7    164.1     65.4 
  1950    11.1    131.2     44.0    132.0     40.5     84.4     87.8     30.1     45.9    283.1    116.1    100.2 
  1951    93.3     29.2    181.5    249.9    311.5     45.4    217.2      2.2    279.0     97.4    372.0     28.2 
  1952    60.0     79.2     41.6    156.0    219.1     85.5      3.2     20.5    173.3    324.4    259.4    118.0 
  1953    59.1    119.2    230.2    350.6     48.0     62.6    351.8     11.9     99.8    451.2    136.6     28.3 
  1954   188.1     12.1    189.6    367.3    330.4     12.5    117.1    121.0     24.8    261.1    194.4    263.7 
  1955    39.9     17.3    127.0    233.2    444.8    111.6     14.6      6.5    362.5    270.5    270.2     68.0 
  1956   152.0     26.0    106.6    254.6     91.9    111.2      3.3      7.6     44.7    126.9    187.8     28.3 
  1957    25.9     22.6       .0    173.2    264.1    134.6     37.2      1.2       .7    117.4    501.9    314.1 
  1958     8.8      3.7    173.1    149.8    496.9    125.3     36.2     30.9      6.1    145.0    200.4     81.9 
  1959    15.2     26.3     50.0    280.2    322.9     94.8    103.8    158.9     53.6    300.3    316.1     48.5 
  1960    16.3    138.6     58.9    513.7    315.7     53.8    471.0     25.0     14.1    303.0    302.2     20.3 
  1961    72.9    143.8     58.5    165.4    364.0    154.6    112.4     81.7    262.9    383.4    408.9     58.4 
  1962    62.8     30.6    167.7    232.6    350.8    111.5     50.6    131.1    107.6    493.3    149.2     49.5 
  1963   170.9     23.8    185.0    161.0    412.3    122.2    153.7     43.9    261.5    402.8    328.0    177.9 
  1964    76.2     79.2    261.9     23.9    217.1    186.4    121.7     79.4    194.4    244.5    249.4     73.2 
  1965    35.5     16.1     26.0    103.2    299.2     93.0     36.7    137.7     98.3    543.6    145.1    160.8 
  1966    16.3     12.8    223.2    223.5     29.9     68.7     36.8      4.0    259.0    317.7    113.7    111.1 
  1967    21.6     64.0     50.9    152.9    265.8    128.1     85.3     65.9    203.2    644.2    265.6    155.6 
  1968    10.7     39.8     56.9    340.4     95.2    277.9    125.7      9.4     63.6    312.9    244.9     69.0 
  1969    88.5     69.4     14.6    264.5    248.4     30.5     28.4    122.6      8.2    458.7    147.1    243.4 
  1970    46.5     96.0    220.3    176.4    286.0     18.6    129.2     10.2     62.6    325.1    552.7    137.7 
  1971   107.4     75.2     75.3    116.4     67.2    224.8     31.1     88.3    237.5    290.5     67.5     92.7 
  1972     4.0       .0     31.7    180.8    534.8     48.1     32.1      7.0    156.0    366.9    160.5     83.3 
  1973      .0     37.6    231.6    251.8    276.5    146.7     65.6     15.3      6.9    329.1    333.5    225.8 
  1974      .0     43.3     94.0    334.8     -9.9M   109.7    112.0    114.0    158.3     36.2    159.0     83.6 
  1975    16.3     57.2    137.0    341.7    117.5    148.2    151.2     45.3    143.6    113.8    310.4     92.8 
  1976    12.2       .0    157.5    142.7    172.3     36.8     14.4     37.7     42.2    308.9    507.0    195.5 
