



                              STATION NAME : MIHINTALE               
                              LAT:  8.35N    LON: 80.52E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1880   129.5      4.1    169.6    221.9      1.7       .0       .0     20.2      2.7    355.3    404.2     88.9 
  1881   132.1      2.5     -9.9M    -9.9M    16.0     41.1     20.2     33.5     67.7     52.3    233.2    307.2 
  1882    23.0     40.3     82.9     18.4     75.8     39.7      3.2    198.4       .0    214.6    147.3    595.8 
  1883     7.6    155.5     85.5    230.9    170.1     72.8     48.7    108.1       .0    324.1    335.9    173.7 
  1884    11.6       .0     14.7    128.7    132.0     26.6       .0       .0     78.6    549.2    302.3    174.9 
  1885    21.5      3.0    135.7    296.1    160.6    106.0       .0     25.9     88.6    487.9    398.5    441.9 
  1886   183.3     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1889    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   156.1    191.3    121.6 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M      .0     87.4     75.3     36.9    114.1     91.6 
  1891      .0     35.7     62.4    183.8    430.5     11.1       .0       .0     21.5    452.2    151.5    360.7 
  1892   111.4    141.3     24.1    235.6      3.8     24.0     43.1     55.8     20.8    181.3    311.9    251.0 
  1893    89.3      8.8    140.8    117.2       .0     24.1    148.5       .0       .0    201.9    264.1    105.3 
  1894    60.9     22.8     54.2    114.1     41.8       .0     13.9     40.5     46.8    185.8    164.3     87.4 
  1895    82.3       .0     58.2    144.3       .0     78.7       .0     84.8     83.8    446.1    256.3    338.4 
  1896   147.0     10.1     53.2     43.1    147.2    147.1     22.7       .0    101.5    215.4     -9.9M   707.3 
  1897   133.6     31.7     68.5    133.6     72.8     76.2       .0     81.8    278.7     88.4    275.3    638.2 
  1898   262.2       .0     33.0    140.7     43.1       .0       .0     76.1     54.4    301.9    216.8    426.8 
  1899   219.9      6.3     84.6    338.1    137.2       .0     28.9       .0    112.4    290.9    284.8    160.2 
  1900   143.5       .0     86.3     91.6      9.3       .0     23.0      5.0     32.0     64.0    182.1    143.4 
  1901    39.1     72.3     50.6     91.9     62.8      9.3      8.6       .0    146.4     77.2    482.7    206.8 
  1902   173.9    104.3    108.2    223.1     29.9      4.5       .0     77.1     81.2    578.5    531.7    235.7 
  1903    31.6     98.5     10.3     36.9    204.4      9.3     11.5     83.6    269.6    318.8    123.5    270.0 
  1904   178.8     11.4     31.2     27.9     37.7     12.1     54.3       .0     15.7    253.7     75.2    322.9 
  1905    32.6     50.8     36.3    244.7     78.1     19.5       .0     48.3     70.2    157.4    296.0     74.0 
  1906   125.6      1.2     27.9    158.2    106.5     31.3     18.7    141.2     47.0    475.5    197.1    266.7 
  1907   109.2     55.7    178.9    265.2      8.1      7.5    183.3       .0     74.8    188.7    241.3     91.3 
  1908    70.0     89.5     37.8     80.9     36.0       .0       .0      8.0    235.1    505.7    185.7    345.8 
  1909    26.4     34.9    155.1    446.4     51.9     16.5       .0    101.3     10.1    308.1     87.4     41.6 
  1910   101.4     67.0      8.8    155.9     33.0     45.7    258.7    188.8       .0    191.3    221.5    210.3 
  1911    64.6      8.8     43.1     18.9       .0     60.6       .0      7.1     63.4    302.0    285.3    607.8 
  1912    22.6       .0     36.5    109.6     90.2     99.9       .0     29.0       .0    178.5    193.1    102.8 
  1913   440.2     46.4     16.5    125.8       .0     67.2     20.2     16.4       .0    173.0    243.1    367.7 
  1914    31.6      3.8    165.0    183.2     21.0       .0      4.5     91.2    174.5    427.7    254.9    416.3 
  1915   169.8    110.1    128.6    255.3     29.3     31.3     24.3    155.5     72.0    270.3    441.6    120.0 
  1916      .0      5.5    135.7    152.0    162.3     12.1     62.6    133.0    166.1    215.9    180.0     87.5 
  1917   158.2    102.5    113.3     73.2    173.0     23.3    104.8     93.4    182.5    291.1    355.7    121.3 
  1918   390.3     27.0     83.7     97.3     97.5     24.1     97.7      2.5     10.1    365.1    502.0    337.0 
  1919   115.3     15.2     81.0    135.2    131.6     69.7     50.7       .0    149.1    226.5    343.6    340.8 
  1920    82.9     25.6     87.8    281.5     25.3     67.6       .0     37.6     10.7    127.0    467.4    160.5 
  1921   469.6       .0    129.2    239.4       .0     51.9     57.7    127.8     58.5    313.5    286.6    367.2 
  1922    48.5    271.1     24.3     22.3     11.0     32.9       .0     10.1       .0    490.9    334.2    203.2 
  1923   559.3       .0     26.3     83.5      8.8       .0       .0     10.1      7.6    180.5    222.2    490.9 
  1924   156.1     20.3     79.8    205.4    102.8       .0     12.8     76.9    232.0    236.7    302.1    122.3 
  1925   227.0    122.0    176.7    190.2     55.7      3.7       .0     54.6    167.1    178.8    346.8    262.7 
  1926   118.0      2.5    143.3     58.1    126.8       .0     63.4     20.2    160.1    181.9    344.0     51.1 
  1927   151.8    134.3    166.7    129.6     81.9       .0     12.7     52.9    127.5    210.3    180.0    126.6 
  1928   146.3     83.7     56.0    126.8      2.5       .0     44.0     23.8       .0    147.2    409.9    248.4 
  1929    12.6      7.6    141.4    309.1    102.0      3.0       .0     39.7    308.1     86.6    310.6    120.7 
  1930    57.8       .0    114.5    140.6    257.3       .0       .0       .0    125.8    472.2    181.9     89.9 
  1931   273.9       .0      7.3    142.8    184.6       .0       .0       .9     18.9    317.5    342.3    484.9 
  1932    34.2    124.6     33.2    125.2    212.9       .0       .0    189.5     10.3    275.2    250.0    155.4 
  1933   247.6     26.7     44.9    125.0    162.6      5.4     90.7    157.2    118.2    151.9    170.1     81.8 
  1934   227.4    109.7     49.1    106.5     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   119.4    137.6 
  1935    99.6     27.5    210.0     97.7     30.2      3.5       .0     40.5     77.1    202.2    216.6    373.2 
  1936    89.4     54.6    254.4     26.0    108.8      9.6     64.5      4.2    188.0    270.2    123.0    366.8 
  1937   214.2     16.1    102.5    173.4     10.3       .0       .0    138.1     60.4    161.4    295.4     59.9 
  1938   205.7    146.3     76.4    165.0      8.1       .0     88.1     21.8     58.6    138.7     81.0    116.2 
  1939   144.7    101.5     49.4    388.1     88.0       .0      5.0    102.2       .0    163.0    391.2    191.2 
  1940      .0     42.5     20.3    219.9    119.8      5.0       .0       .0    203.3    376.8    297.9    165.8 
  1941   141.9     16.4    113.2    197.7     58.3       .0       .0    123.1     88.1    138.1    309.6     50.1 
  1942      .0     38.0     63.4     93.7      5.0       .0       .0     79.8    137.1     75.9     27.8    485.7 
  1943   196.8     55.7     63.5    121.7    581.3       .0       .0       .0     54.5    127.0    239.0    170.7 
  1944    79.0    167.3    189.6     25.0     41.8       .0       .0       .0     97.1    139.6    448.8    143.5 
  1945     3.8       .0     53.9    189.1       .0       .0     27.6     90.6       .0    303.1    391.6    194.2 
  1946    42.0     19.7    116.8    158.4     57.2     17.7       .2    100.8     44.6    308.2    356.2     -9.9M
  1947   200.4    143.5    192.7    103.5     22.5     22.8     30.4     51.9     41.3    295.0     99.3    281.4 
  1948    74.8       .0       .0     77.9     50.7       .0       .0     37.5       .0    194.4    204.0    647.3 
  1949   185.6     13.9     44.1    203.6     85.6       .0     11.9     29.1       .0    163.5    247.6    262.0 
  1950   105.2    112.8     36.2     63.7     67.3       .0       .0       .0     39.2    200.7    134.9    184.3 
  1951   331.0     86.0     63.7    237.6    106.2       .0     40.6     39.8    261.4    230.1    528.1     68.9 
  1952   238.1      3.8     77.4    250.2     54.5       .0      3.8       .0    116.9    158.2     62.1    110.6 
  1953   104.0     18.9     32.8    244.5       .0      7.6    100.8     47.3     63.5    317.2    211.4    223.5 
  1954   120.3      3.3    123.9    310.5     44.2       .0     30.4     67.2       .2    173.9    157.2    448.0 
  1955   167.0     39.6     49.8    267.5    104.9       .0     31.7    133.2    263.5    151.5    113.6     48.8 
  1956    91.3     33.4     68.2     48.9      3.3     55.5      5.9     60.0       .0    199.9    204.2    106.0 
  1957    78.4    126.6       .5    229.7    170.9     11.7      5.7       .0     20.2    381.1    495.8    972.8 
  1958    61.3     13.4    147.4    244.6    138.4       .0      5.5     86.1     52.7    209.6    145.0     94.1 
  1959   148.1     14.4      3.8    205.7    156.8     50.7      4.5     12.7    269.9    175.5    315.2    170.8 
  1960   118.8    196.3     19.8    118.4     90.1       .0    175.6       .0     37.5    100.2    404.0     51.7 
  1961   355.1    135.0     61.6    145.4    105.0     51.1     73.2      1.5     23.5    228.2    183.7    267.3 
  1962   222.4     39.4     64.5    212.6    203.9      3.8       .0     30.9     39.3    403.2    107.4    194.0 
  1963   377.2     95.9    203.8    223.8     27.9      2.0     31.1     21.0     72.2    264.9    400.1    444.1 
  1964    42.4     45.8     66.8     79.7     57.7       .0     61.6     14.1     68.7    299.5    184.7    149.5 
  1965    23.9     94.9    162.6    215.1     66.3       .7      9.6    200.5     41.9    290.3    351.4    329.5 
  1966   130.0      6.8    109.1    261.1       .0       .0     12.6     55.3    213.5    265.1    345.4    175.1 
  1967    13.7     80.7     38.5     57.9     55.0       .2       .2     24.2     35.1    235.0    201.6    306.5 
  1968    19.3       .0     33.5     73.2     20.3     -9.9M      .0     11.9     81.8    129.4    131.7    170.9 
  1969    31.0     18.9     51.3    179.7     64.8       .0     21.0     61.9     38.5    411.0    122.4    339.1 
  1970    54.6    137.4     44.7    278.0    130.3       .0       .5     58.0     79.7    214.9    376.4    195.8 
  1971   160.7     73.6     68.6    250.6     19.7      3.7     35.2    133.7    155.9    187.9     -9.9M   528.6 
  1972    17.7       .0      6.3    258.8    167.9      6.1     30.9       .0     61.0    539.9    279.6    193.4 
  1973     9.9     11.5    117.7     96.5     17.8       .0    157.6     55.6     63.8    114.7    156.0    521.9 
  1974     1.0     56.3     40.0    137.2     26.8       .0       .7     19.5     69.0     25.1     76.9    293.0 
  1975    50.1      9.6    153.3    113.9    140.5      6.5     99.6     39.7     59.5    160.1    332.0     74.3 
  1976    10.3       .7     45.6    200.5       .0       .0      1.5      2.0     20.8    303.9    411.8    140.5 
  1977    20.8     70.3     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1978    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M      .0    159.8       .0     -9.9M   234.8     -9.9M    -9.9M
  1979    19.7     -9.9M    -9.9M    45.2     35.1       .0     32.8     61.5    231.5    263.6    381.0    252.7 
  1980      .0       .0       .5    180.5     75.0     10.9      2.9       .0     98.3    193.0    316.1    174.0 
  1981    -9.9M    39.5     62.2     93.6     58.2      3.5     68.5    148.6    131.3    164.5    131.7    123.5 
  1982     1.6       .0     52.6     81.7    159.9     22.4      2.0       .0     78.0    309.8    228.3    153.3 
  1983     2.8       .0     18.0     60.9    136.7     17.6     16.6     18.5     60.8    233.8     93.9    419.5 
  1984   352.1    380.8    200.4    125.2     42.7       .0     81.7      7.5    189.2    129.6    321.1     91.6 
  1985   313.3     75.9     61.4     64.2     88.6      7.6     44.5      3.6    120.1     49.6    282.8    227.9 
  1986   165.0     48.7    136.1    120.8     77.8       .0     22.5      1.8      7.4    377.1    110.8    113.4 
  1987    61.3       .0     50.8    145.4     60.4       .0       .0       .0    163.5    339.9    161.8    105.7 
