



                              STATION NAME : MINNERIYA TANK          
                              LAT:  8.05N    LON: 80.90E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1899    -9.9M    -9.9M   173.2    191.0     99.1       .0      2.5       .0     39.5    284.3    330.8    304.5 
  1900   156.6     22.0       .0    135.7     79.1       .0      7.5       .0     34.7    268.5    342.1    402.7 
  1901   128.9    139.0    193.1     25.3    145.3     38.6       .0     14.7    117.6    161.6    387.6    228.3 
  1902   261.6    179.6     57.6    136.4    103.9      5.0       .0    165.2     40.8    376.9    368.0    312.6 
  1903   227.0    178.1       .0    149.9    156.4     -9.9M      .0     25.2     65.1    335.3     58.1    293.7 
  1904   362.3     18.9     11.6    166.4     46.9      6.7     78.1       .0     -9.9M   255.5    158.5    458.7 
  1905   187.3     85.5     19.9    283.0     25.9       .0       .0       .0    107.0    242.8    304.8    173.5 
  1906   104.0       .0     55.8     53.4     89.0     49.4     12.4     94.8     99.6    312.0    363.5    225.3 
  1907   254.2     60.0     80.0    259.6     24.0      6.8     73.4       .0     27.2    415.1    375.6    267.2 
  1908   354.9    127.8     66.9    267.7     91.6       .0       .0      1.2    282.5    331.9    122.0    259.7 
  1909    28.4     72.2     56.1    163.8       .0      8.3      1.2     48.3     55.3    254.5     59.9    184.4 
  1910   150.2    101.3       .0     90.8     14.5    108.2    144.8    232.8      3.8    378.9    513.0    477.1 
  1911   145.9      6.3      2.9     30.8    160.5     70.3       .0       .0    147.4    604.4    961.1   1358.4 
  1912   109.6       .0    106.6    172.9     90.6      2.5      4.0     17.7    111.9    154.0    324.9    410.9 
  1913  1295.5    167.0     48.8    273.6     70.7     24.6       .0       .0     34.2    618.0    477.7    746.7 
  1914   148.1    163.5     82.3    195.3     38.0       .0       .0     72.3    211.1    333.6    808.2   1195.6 
  1915   694.8     11.6     78.3     79.5       .0       .0     63.4    253.1     32.7    130.5     77.2    175.5 
  1916      .0     40.5    182.9     73.7     97.1     21.0    202.4    114.3     99.4    156.4    198.4    108.6 
  1917   447.1    215.4    228.6    102.8    114.1       .0     91.3    241.1    150.7    109.5    285.7    224.6 
  1918   383.4     10.8     81.3    180.1     94.5       .0     20.2     35.5     75.6    332.7    401.7    346.8 
  1919   232.6     44.4     57.7     54.1     86.8     26.6     20.2       .0    166.4    194.5    248.0    474.3 
  1920   255.8     39.1     33.4    357.7    173.7     16.7       .0     65.7     78.9     79.8    714.6    204.2 
  1921    -9.9M      .0       .0    154.3       .0     18.2     13.7     63.6     62.5    343.4    396.7    543.6 
  1922   125.6    202.4       .0     86.4     44.0      4.2       .0      1.5       .0    453.9    263.9    278.5 
  1923   543.2       .0     79.4     18.1     60.6     86.5       .0     16.5      2.2    218.2    308.3    673.2 
  1924   193.3    106.6    168.7    135.4     21.5       .0       .0     19.4    181.3    190.4    173.2    269.5 
  1925   428.4    141.5    236.9    218.9     27.6       .0       .0      3.0    116.1    234.7    316.1    581.6 
  1926   210.5      8.8     19.4    128.1     89.5       .0     22.8    103.1     61.6    176.8    304.1    110.8 
  1927   291.5     96.2    343.4    122.8     86.2       .0       .0     37.0    185.6    102.1    228.8     99.3 
  1928   274.7     57.7    133.7    259.4     27.7     -9.9M    44.1       .0       .0     69.3    418.4    262.0 
  1929    41.2      6.3    121.3    426.7    134.6       .0       .0      6.1    323.1     61.9    276.8    236.5 
  1930   209.8     58.3     80.4    130.4    263.4      5.1       .0     26.0     15.9    600.2    317.3     75.8 
  1931   403.9     28.2      1.0    202.2     75.7      2.7      1.7      3.0     45.5    258.8    367.9    546.4 
