 
 
 
 
                              STATION NAME : MATALE-P.W.D.           
                              LAT:  7.47N    LON: 80.62E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    79.7     -9.9M   234.5    173.0    404.2    153.1    209.7     98.3    115.0    392.8    305.5    370.0 
  1880   166.1    178.9    152.1    120.3    181.1     59.1    103.2    162.1     63.3    635.5    221.5    218.3 
  1881   267.6     10.1     47.2    167.3     59.3    151.8     79.8    169.4    118.7    244.7    366.3    550.7 
  1882   259.1     33.2     68.1     57.9     77.0    199.3    322.8     99.1     28.2    235.5    273.9    324.7 
  1883    56.3    167.4    151.4    284.2    236.6    132.1     87.2    119.2     20.1    196.3    221.7    200.6 
  1884    54.9       .0     40.5    101.7    145.6     46.6     47.9     73.1     82.4    314.5    128.3     -9.9M
  1885    82.5     25.8     55.3     38.9    113.7    378.9    137.3     90.8    193.9    279.8    378.4    302.5 
  1886   132.1     25.3     48.2    215.8    163.2    133.1    131.1    214.5    148.8    271.8    187.6    178.3 
  1887    50.5    136.7     12.6    200.5     41.9    134.2     85.1    108.5     19.2    369.9    181.6    551.0 
  1888      .0       .0    131.6     56.0    200.3    289.1     12.1     55.2     30.0    377.3    192.9    195.2 
  1889    78.5      5.0     70.3    147.6    227.8     75.2    157.1     67.1    206.8    144.2     98.7     71.0 
  1890    40.7    191.4       .0    348.3     64.2    289.4     86.5     52.5    170.0    100.5    194.1    161.3 
  1891    40.0     29.6    210.8    242.2    528.4    184.1     99.9     77.5     44.7    790.1    229.0    473.1 
  1892   491.5    117.8     42.4    336.7     71.2     97.9    132.8     80.5     54.6    320.3    243.8     86.4 
  1893      .5     16.6    135.3     80.7     60.5    123.7     77.9     49.0     38.0    231.5    487.7    129.7 
  1894   311.5     43.8     42.2    152.4      5.5    177.3     73.4    173.9    102.0    155.8    229.5    145.9 
  1895   165.2      6.8    105.9    286.5     14.0    223.0     51.6    131.6    127.1    600.7    122.4    353.9 
  1896   123.3    174.7     86.1     94.7     48.4    287.3    151.2     73.1    132.8    352.7    456.7    804.9 
  1897   153.4     57.3     74.6    230.3     45.3    236.6     85.5    272.6    187.5    211.7    256.1    519.3 
  1898   142.2     10.2     40.0    138.7    197.2    124.6    140.5    124.0    229.6    246.9    148.3    172.5 
  1899   331.6       .0    132.2    307.1    163.7    161.5    104.5     51.3    112.6    381.1    211.6    244.7 
  1900   174.8      8.1     23.7    120.7     55.0    221.7     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1902    -9.9M    -9.9M    -9.9M   231.1    119.1     36.5    187.0     60.7    236.7    451.5    480.6    244.7 
  1903    79.2     96.9       .0    131.5    193.2    126.7    124.0     68.6    294.4    274.9    128.0    169.1 
  1904   440.2     25.3     16.1    134.5    239.3    348.3    195.5     51.4    249.7    269.1    211.5    393.9 
  1905    80.8     41.7     76.6    257.4    290.9    226.7     64.5     28.4    214.1    249.4    193.0    173.7 
  1906    79.3       .0       .0    320.9     54.0    125.3    128.0    183.2     67.9    577.7    355.9    222.6 
  1907    62.7     40.4    146.8    320.6     54.4    254.2    177.3     88.1    141.5    409.5    311.8     93.9 
  1908    98.7     98.1     50.6    131.3     93.4    101.8    127.5     19.0    210.7    286.3    100.6    494.4 
  1909    61.8     68.2    259.9    266.3     56.9    141.1    169.6    285.7     87.3    237.4    221.7     97.2 
  1910   124.8    222.6     18.2    152.4    101.9    161.1    189.4    188.8    104.3    178.3    332.0    347.8 
  1911   112.3      2.7     16.6     21.9     17.9    441.6    107.3     21.9    143.1    298.7    263.3    564.2 
  1912     4.0       .0      9.9    105.6    114.1    135.7    224.3     63.8     52.1    260.5    289.2    353.0 
  1913   798.8     33.7     17.9    144.6    111.0    139.0     69.1     54.8     26.8    740.1    279.1    456.2 
  1914   117.7     11.3    176.4     85.9     75.2    147.5     27.5     66.4    161.3    429.0    295.7    429.5 
  1915   271.9     61.4    118.2    284.3     27.1     96.6    228.5     67.2    169.8    135.7    361.4    123.9 
  1916    42.1      5.7    116.9    153.6    171.8    201.6    189.3    197.0    120.9    186.3    238.7    106.0 
  1917   262.5    270.7    234.8     67.7     81.0    254.5    167.5     99.1    230.7    231.9    362.0    122.5 
  1918   170.1       .0    165.7    131.7    258.5    115.8     19.8     67.3     53.2    247.6    373.3    315.8 
  1919    43.8      5.0    183.5    106.6    191.5    127.7     99.5     87.5    210.1    223.9    278.7    248.8 
  1920   106.2     17.9    150.5    253.7    121.6    271.8    108.9     20.7    116.6    355.1    543.4     67.4 
  1921   307.7       .0     22.5    155.9     22.7     98.6    155.4    273.6     61.0    308.3     95.2    288.6 
  1922    78.5    119.5      4.7     87.5     69.3    168.6    152.6     60.1     85.5    535.4    311.3    207.4 
  1923   494.2       .0     78.5     54.4      1.4    281.2    146.3    168.1    188.6    355.9    251.2    498.6 
  1924    89.4    113.5    132.1    114.1     50.6    139.5     -9.9M   157.3    310.0    281.1    189.7    168.0 
  1925   368.5     70.7    279.9    177.4    170.8    129.5     66.7     91.2    117.0    459.4    524.5    214.7 
  1926   107.4      5.3     47.2    113.1    345.6    115.1    209.9     82.3     78.0    181.3    230.6    101.5 
  1927   367.6     89.0    200.1    208.0     -9.9M   158.8     93.1     13.2    137.2    205.3    241.4     82.9 
  1928   115.4     57.4    133.8    356.0     77.5    180.9    267.2     98.4     24.2    308.9    434.0     98.4 
  1929    19.1     13.2     86.6    271.0    118.8    135.1     93.2     37.4    238.2     75.0    230.8    174.3 
  1930   249.6     53.7     65.0     85.0    354.3    133.8     29.9     85.5    189.6    796.1    150.8     52.7 
  1931   309.5     19.4     17.3    231.8     59.4    238.2     93.0    331.2     91.5    181.6    331.6    345.0 
  1932    28.6    153.9     78.8    258.5    192.7     60.6     97.7     89.2     79.1    327.5    386.7     88.7 
  1933   681.0     90.3    170.8     65.6    707.1    152.7    237.5    156.9    117.6    203.4    466.1    161.4 
  1934   213.3    105.7    158.9    211.7     91.7    172.5     66.6     20.8      5.2    198.3    105.7    108.8 
  1935   114.3     83.2    104.1    103.1     35.7     80.0     59.0     91.2     36.0    403.7    280.4    305.6 
  1936   146.7    252.0    326.7     36.5    367.9     69.2     65.3     38.2    260.6    175.4    137.3    341.6 
  1937   300.1    111.3     78.5     91.0    105.6     63.1    187.6    167.3    110.8    214.2    224.2     59.7 
  1938   133.4    200.0    188.1    299.2     21.6     60.5     84.8     66.5    128.8    105.5    139.3    205.8 
  1939   196.0      2.9     24.4    445.8     97.9    159.9    139.9    240.7     83.6    269.9    294.5    166.7 
  1940    11.9     52.4     14.9    436.0    527.5    229.6     88.5    119.1    291.5    389.8    352.1    176.1 
  1941   191.0     81.7     53.6    121.3    362.0    154.2     93.3    141.1    154.7    319.5    491.7    212.5 
  1942   137.0     63.1     95.2    216.8     82.1    152.6    217.3    203.8     44.8    196.7    158.5    280.8 
  1943   107.8     94.8    161.1    102.6    529.7    179.0    128.7     96.2     81.7    412.9    328.5    322.7 
  1944   109.4    286.7    135.5    179.7    146.1    141.4     69.3     30.0    167.9    357.8    401.6    328.3 
  1945    20.2       .0     60.3    103.6     15.7    165.1     61.4     53.5     29.8    372.4    252.4    390.5 
  1946    36.6     73.2    197.5    270.1     29.5    104.0     51.5    113.7    154.3    225.1    304.8    396.8 
  1947   253.2     14.9    242.0    147.3     39.8    108.0     94.5    500.8     98.6    287.6     39.8    138.8 
  1948    96.6      1.2    152.5    131.6    112.9    210.9    213.2     58.3     29.1    289.0    179.7    307.9 
  1949   185.1     18.1     76.0    179.9    106.6    126.8    320.2    221.7     95.9    132.0    250.4    288.7 
  1950   107.6    113.1     83.7     79.5    170.2    136.3    160.8    135.4    157.6    139.3    183.2    108.3 
  1951   545.7     81.0     42.0    325.7    114.1    183.3    178.2      4.7    306.3    531.2    322.3    231.3 
  1952   238.8    115.5     58.8    350.5    368.8     75.3     27.3     95.2     71.2    300.5    254.7     85.2 
  1953    51.8     79.5    125.4    304.1       .0     46.3    309.5     42.3     61.3    394.8    131.4    109.6 
  1954   217.4    134.2    157.1    198.3     79.8     66.5    148.2    141.4     15.2    405.1    158.0    473.7 
  1955   198.3    137.8     53.2    333.1    144.7    305.8     87.1     62.1    216.4    168.8    157.3     64.6 
  1956    42.9      3.5     73.0    141.1     92.1    304.9     44.3     52.0     45.2    261.4    449.3    223.4 
  1957   224.9    185.4       .0    235.1    206.4    245.8    160.5     35.7     55.9    309.4    636.2   1166.8 
  1958   105.0     24.2    223.6    318.6    166.4     80.1     50.2    199.2     28.5    327.3    166.2    205.2 
  1959    42.2     36.7       .0    253.3    195.6    225.2    310.4     73.0    152.2    358.5    204.4    155.6 
  1960   241.6    342.9      4.4    227.4    132.9    130.0    201.9     28.4    151.7    282.3    460.1     57.5 
  1961    86.1    149.9     49.3    220.5    226.7    139.0    146.0    133.3    101.5    199.2    262.1    212.5 
  1962   119.6     39.8     66.5    262.1    303.9     52.4    147.2    135.1    119.3    455.0    182.4    120.4 
  1963   274.1     62.5     45.1    232.1     75.1    111.6    138.5     90.0    128.0    216.8    375.7    257.1 
  1964   227.2    210.3     63.8     76.4    143.9    101.3    203.5     56.6    135.4    226.2    346.8    235.0 
  1965    84.6    162.3     39.0    246.5    168.0     93.1     32.9    200.2     56.7    349.6    331.0    284.8 
  1966    72.9     12.1    100.7    148.8      6.9     86.2     35.4     43.1    326.3    201.9    426.8    241.5 
  1967    89.9    218.6    123.7    152.7     66.0    151.9     93.2     57.8     42.3    350.1    421.9    385.8 
  1968    73.3     18.4    101.1    140.5     67.2    163.0    208.7     68.8    119.8    369.1    289.8    262.2 
  1969   105.6     38.0     70.5    264.5    101.7     90.1     19.7    169.2    114.6    410.9     79.2    331.1 
  1970    82.8    299.9     24.1    341.5    116.9     91.0     89.1     53.2    154.9    307.2    316.8    221.5 
  1971   141.2    160.6     44.7    432.6    130.7    189.3     78.8    216.7    333.8    118.2    101.2    420.8 
  1972    22.5       .0      9.5    114.1    275.8     48.6    128.1     45.2    130.7    550.9    291.5    255.8 
  1973      .0     29.3     92.6     77.2     71.9     82.2     74.3     70.1     43.9    113.0    136.7    275.0 
  1974      .0     69.6     19.5    149.5    115.3    112.9    126.9     87.6    110.4     55.6     79.5    115.0 
  1975    38.4     33.9     44.3     67.8     98.4     93.5     68.4     81.3     42.1    119.1    167.0     75.5 
  1976    43.8      1.2     11.6     99.5      1.5     11.0     22.7     26.1     11.5    177.2    107.2     17.2 
  1977      .0      1.8     16.4     37.8    102.9     25.7      5.6     36.8     -9.9M    -9.9M    -9.9M    -9.9M
  1978    -9.9M     1.5     45.1      2.0    272.6      9.8     60.4     16.8    103.0    244.2    505.8    127.7 
  1979    13.2     34.7     26.0    151.3    123.0    163.0     69.1      5.0    255.9    198.3    444.3    147.4 
  1980      .5       .0     11.4    191.2     86.6     65.6     71.1     71.8    189.7    163.6    335.6    117.4 
  1981   128.1     11.6     36.9    108.8     77.2    118.8    220.0    185.5    288.1    315.2    355.5     89.6 
  1982      .0       .0    106.0     83.7    221.8    201.1    181.7     93.3     14.0    350.7    388.5    461.4 
  1983    27.4       .0       .0      5.2    215.9     40.5     91.0     80.9     64.7    252.9    259.5    379.7 
