



                              STATION NAME : MULLAITIVU              
                              LAT:  9.25N    LON: 80.82E    ELEV:   13.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1957    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   773.0    504.9 
  1958    72.4      4.9      8.2     28.0     68.3       .0      8.1     24.0    138.2    518.2    392.1    199.1 
  1959   117.1       .5       .0     34.2     49.5     50.6     28.9    187.2    107.0    285.2    491.9    211.6 
  1960    49.2    226.3     51.1    128.1    104.1      1.7     86.4     12.4      4.9    122.7    465.9    128.0 
  1961   284.6     13.6     35.4     12.8    121.3      2.7     51.2     66.4     60.0     87.2    355.9    345.7 
  1962   103.6    109.2      5.0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1980    -9.9M    -9.9M      .0     98.0     40.4     64.5      4.2     41.7     40.6I   214.8I   183.9     71.1 
  1981    89.3     14.3      4.8     93.1     26.4     57.4     87.9     81.6    142.2    227.7    782.4    272.5 
  1982      .1       .0     26.1     83.2      5.9      1.4       .0I    61.8    104.4    111.6    440.5    410.3 
  1983    25.8       .0       .0      4.5      5.6     60.3     82.7     68.0     33.3     96.7    263.4    619.8 
  1984   351.6   1063.3     60.0    106.8      6.1       .0    117.8     46.6     39.9      3.3    577.0    133.2 
  1985    64.4     48.2     18.4     92.9       .1      1.6    103.4    140.8    116.7    317.5    365.7    231.5 
  1986   190.1I    74.1     46.0     10.2     40.1      6.6     39.9      3.9     86.9    149.7    119.6    136.0 
  1987    14.4      2.4      4.4      3.3     34.6     26.1      1.7     41.6     59.5    490.4     -9.9M   252.5 
  1988     4.8      4.8     47.1I    80.1     20.4     57.6     95.0I   198.8     14.5I    75.0    356.9     86.1 
  1989     9.8       .0I     5.4I    54.3      3.8I     3.2     49.6I    89.0     70.4    185.7I   354.5I   157.5 
  1990   227.4     89.4     39.8      2.3     84.7     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
