



                              STATION NAME : NEGOMBO                 
                              LAT:  7.22N    LON: 79.83E    ELEV:    3.1M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    36.7     29.6    171.0    125.5    332.3    132.2    150.9       .0      5.0    205.7    246.0    152.4 
  1880    76.0     71.6    195.9    217.0    153.0     21.1     25.5      5.5      6.3    184.7    293.6     57.2 
  1881    16.7     44.4    323.3    177.1    224.4     29.0     24.5     64.6     69.2    105.7     -9.9M   232.3 
  1882    43.8    192.1    141.6    171.2    399.8    172.5    248.3     14.9       .0     51.4    224.2    111.0 
  1883      .0     73.3     42.9    193.7    452.4    255.7     71.9    271.3     52.2    278.5    283.7     56.2 
  1884    42.9       .0    110.0    150.2    134.1    118.2     65.2     25.3     72.2    389.9    374.3     63.4 
  1885    25.8     81.4    129.5     56.9    174.2     -9.9M    39.8    113.1    124.1    557.8    326.4    111.8 
  1886    23.3       .7     51.6     70.2    575.4    177.6    163.9     18.2    117.5    285.7    257.4     11.3 
  1887   106.6     29.1     61.1    570.4    198.5    148.6     20.4    100.3     26.3    203.7    236.4    214.2 
  1888      .0       .0     58.1    209.6    370.6    191.0     11.2      6.0     22.8    366.8    305.6    108.6 
  1889    33.2       .0    240.1    292.0    311.7     89.2     76.5     86.0    484.2    277.7    266.3     52.3 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     1.5      5.0    284.1    223.4    149.6 
  1891    44.9     -9.9M   197.3    111.4    326.1    168.2     55.5     26.5     72.7    738.1    541.3    240.5 
  1892   245.5    245.4      6.3     46.7     46.7     93.0     11.8     26.6     33.3    275.1    192.2     32.7 
  1893    38.6    136.4    107.6    473.6    188.6    136.9     28.3     29.3     32.6    126.3    415.0     35.2 
  1894    31.1     14.4    139.7    212.1    173.0    178.0     15.7      1.2      3.3    193.5    158.3     82.1 
  1895    96.9       .0      3.0    191.5    142.7    164.0       .0     26.0     33.7    664.6    130.7    117.5 
  1896    54.0     17.7    171.6    120.2    192.7    110.8     52.7     81.1    234.3    299.5    301.0    332.6 
  1897      .0     11.7     40.9    344.1    143.5    128.2     76.8    180.9     52.0     90.2    190.9    144.9 
  1898    27.1     11.9     71.7    413.5    132.6    188.4     29.0      2.5    106.3    340.1    417.6    149.4 
  1899    63.2       .0     54.5    308.7    226.8    208.4       .0      1.9     17.9    363.8    217.0      9.6 
  1900   128.1       .0      5.0    724.1     43.2     90.2     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1901    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     6.8     37.3     48.6    570.6     47.4 
  1902    20.7     27.9    158.8    235.0    165.0    102.5     95.1    101.1    197.1    769.9    394.8    210.9 
  1903    25.9     82.4     31.7    167.0    478.9    342.2     92.5    327.9    207.2    333.4     65.4     61.8 
  1904    81.2       .0     19.0     83.5    578.9    225.4    121.3      4.5     50.5    365.0     -9.9M    96.3 
  1905     7.6     54.6      4.5    289.1    436.1    111.5     17.2      3.0    208.9    902.3    326.5     17.9 
  1906    28.6     41.3     39.7    127.1    262.0    144.8     28.1     37.8       .0    496.2    360.1     39.2 
  1907     6.0     18.9     73.2    145.4     43.0    165.7    186.0     25.1     70.9    433.7    264.5     13.3 
  1908    70.9     10.1    147.4     72.2    142.4     27.7     16.2       .0     38.9    171.1     98.9    105.0 
  1909     5.0       .0     21.5     24.1     50.9     60.4    220.7    146.0      5.0    318.4     82.8     95.9 
  1910      .0       .0      5.0    121.4     54.7    118.8    181.6       .0     10.1    317.9    108.1     64.5 
  1911    11.4       .0    114.2     37.4     42.2    118.7     36.1     12.3     31.2    295.6    207.1    309.2 
  1912     5.0     29.2    153.7    233.3    190.2    332.6     37.0     26.4     60.2    213.1    168.4    188.0 
  1913   281.9     85.3     48.6    164.5    139.0     89.0    123.4     17.0     23.9    223.5    336.9    474.0 
  1914     3.7     19.0    125.5    116.8    187.1    150.4     60.7     12.5     60.5    653.3    543.8    173.1 
  1915    88.4     57.1    188.6    147.5    190.5    246.8    358.0     10.6    206.5    212.2    724.5     37.1 
  1916     2.5     26.5    229.3    189.5    693.3    227.4    125.2    181.0    103.0     80.3    147.1     36.8 
  1917    68.0    172.9    271.0    134.8    129.8     69.5     20.3     17.2    309.6     87.7    319.2     55.6 
  1918    68.2     23.3     34.0    399.9    315.9    107.5     50.0     32.1      7.7    274.2    252.3    232.0 
  1919    99.9      3.0    120.2    110.4    377.0     95.9     78.1    118.7    365.5    238.3    257.0    175.5 
  1920    11.7     66.0    262.0    393.9    107.2    470.2      7.2     25.2     62.0    311.0    301.7    129.4 
  1921   139.9       .0     72.7    259.6    118.1     28.6    242.6     51.4     11.8    253.4     93.3     46.8 
  1922   146.5     18.1    144.6    231.8    311.0    215.6     95.0      7.6      7.4    196.6    569.7     68.6 
  1923   124.9       .2    119.6    264.8     95.7    135.6    324.9    146.7    157.0    377.6    208.7    192.7 
  1924    39.0     11.3    302.6     77.4    297.2    147.6    213.9     53.3    366.8    319.7    244.7     91.8 
  1925   117.4     58.6    149.4    520.9    316.2    266.1     85.8     23.9    184.0    344.2    396.4     94.7 
  1926    53.2       .0    218.8    139.9    538.3    209.4    242.0     77.2    197.3    250.3    179.9     33.4 
  1927    65.0     88.6    140.1    226.4    423.1    146.1     24.0      5.8    179.1    331.7    311.1     23.1 
  1928    42.1     57.5    115.8    223.1     67.8     72.4    103.3     35.6     14.0    451.4    248.8    274.1 
  1929    61.6     13.2     52.6    275.7    342.5    186.9     30.8     37.4    396.7    135.4    230.6     91.4 
  1930    98.6     44.5    109.9    170.5    466.8    162.8      5.0     99.8    110.9    590.3    280.9     26.2 
  1931   110.8     12.3     66.5     67.6    267.8    284.8    201.1    130.3     27.4    158.8    501.7    241.7 
  1932      .0     13.0     40.7    166.8    318.3     28.4     54.3    295.6     98.9    537.9    315.1    142.8 
  1933   152.6     61.6     52.9    132.8    534.8    241.6    114.8    302.2     88.8    262.5    267.2     45.5 
  1934   134.9     35.0    101.3    165.8    264.5    336.3      8.3     15.1     14.5    381.2    704.4     42.9 
  1935    64.2    104.9     59.4     62.4    202.3    178.7     20.7    137.2     46.9    359.8    244.7     37.0 
  1936    26.0    180.2    117.7     85.4    427.2    165.6     33.6     13.6    136.9    317.8    375.4    248.2 
  1937    24.4    103.5     61.1    284.8    342.8    103.1     58.8      7.0    372.1    170.1    401.8     73.7 
  1938    10.4    205.2    210.0    387.2     45.6     30.3     12.0    129.3    120.8    179.9     26.0     54.5 
  1939   188.0      5.2      2.4    242.9    268.7    185.1    178.1    102.6     50.5    400.2    370.1     59.9 
  1940      .0      6.6     19.0    238.5    214.8    143.1     53.7     72.8    172.1    447.6    516.2     59.4 
  1941    35.4     31.8     38.3    281.9    227.9    221.3     51.6     74.8    220.1    188.8    629.1     47.3 
  1942    20.0     19.8    112.5    370.2    371.0    146.3     29.5     79.2     12.7    114.6    120.8    159.5 
  1943    28.5     14.3     36.3    263.4    208.9    167.2     42.3     93.2     34.8    369.2    373.0    124.6 
  1944   173.2     45.7    204.8    263.6    164.9    114.6     27.7    151.1    275.3    302.9    266.8     91.5 
  1945      .0       .0    218.1    148.5    159.5    220.3    100.4     27.4     11.9    592.4    253.9    105.6 
  1946     2.7     32.1    285.1    246.6    212.8    164.0      9.8     42.0     86.7    616.7    463.6    371.9 
  1947    96.0     54.7    236.1     91.8    298.8    180.6     -9.9M   130.0     87.7    218.9     75.5     32.3 
  1948    42.5     51.7     97.5    275.7    136.1    181.5     49.9    159.5     24.0    252.7    227.9     43.3 
  1949    56.0     49.7     45.8    566.8    359.3    189.9    237.3     88.0     82.7    225.5    292.0    101.0 
  1950    10.3    144.3     49.0    212.5     98.9    141.5    101.7     56.6    104.0    258.9    117.1    186.0 
  1951   126.8     24.3    178.6    295.5    388.2     27.6    220.2       .7    319.2    134.6    480.1     37.2 
  1952    84.6     97.1     24.3    209.4    213.3     89.8      6.3     12.6    160.6    247.7    150.8    150.6 
  1953    75.0    113.4    242.0    671.4     18.4    152.4    443.9     32.4     63.9    537.5    153.7     66.9 
  1954    54.0     56.1    282.9    415.2    232.5     23.9     76.9     99.2     86.5    207.0     99.8    371.6 
  1955    52.1     51.2    206.8    228.4    430.7    144.0     15.0      4.4    358.1    442.3    338.9     78.6 
  1956   127.1     15.2    125.7    166.9    129.4    208.4      1.5     43.7     48.3    186.0    244.3    103.8 
  1957    22.7     -9.9M     2.9    175.0    288.9    194.3     37.1     21.0     10.5    207.1    383.5    362.2 
  1958    34.1     44.0    138.7    328.4    695.5    211.0     24.1     42.0     42.5    140.5    286.3     44.3 
  1959     7.8     26.0     53.0    421.2    399.7    187.9    167.9     79.8    134.5    257.9    279.4     72.3 
  1960    10.3     81.3     40.0    353.3    387.3    106.3    457.5     29.8     30.2    465.5    316.5     37.8 
  1961    86.4     77.0    261.2    288.0    504.4    294.3    101.5    114.2    346.7    251.0    291.0    167.6 
  1962    36.8     47.4    145.5    214.8    386.0    321.6     44.2    279.2     91.1    398.9    203.9     23.3 
  1963   145.9    192.3    252.8    307.0    634.5    125.9    195.4     49.9    352.2    601.8    518.8    113.8 
  1964    61.3     41.0    182.7    267.5    212.0    169.8    153.4    107.2    145.2    487.7    165.7     50.8 
  1965     5.5     18.4     28.0    133.0    294.4     74.4     45.6    204.3    143.8    564.4    238.7    236.8 
  1966    80.2     67.4    172.4    356.1     25.5     68.9     52.9     16.1    240.3    246.7    101.2    128.9 
  1967    22.2     83.5    148.1     73.2    394.7    136.0    117.4     71.6    218.1    570.4    418.0    104.0 
  1968     9.0     60.2     88.4    210.1    144.8    223.8    247.6     13.2    141.7    395.9    319.8     87.8 
  1969    50.7     73.4     79.8    327.4    265.8     65.4     16.3    140.7     26.0    670.9    346.7    508.4 
  1970    69.3     88.2    201.9    495.7    443.5    130.6    246.9       .5     76.9    385.5    535.7    168.5 
  1971    82.9    129.8    133.3    101.8    105.7    224.3     72.5     73.6    253.4    233.4     12.2    180.0 
  1972     1.2       .0     48.4    139.3    429.2     45.4     55.6     22.2    183.1    487.3    242.0    141.8 
  1973      .5    134.0    169.8    278.7    216.8    149.6    112.1     40.5     19.4    308.1    361.6    244.1 
  1974      .0     27.9    124.1    505.4    294.0     96.4    150.9     48.4    207.6    153.3     83.0     91.1 
  1975     7.8     23.0    109.8    239.4    189.3    152.6    106.7     25.0    187.4     74.0    242.0     32.5 
  1976     8.0       .0     13.2     17.1     39.5     14.3     14.9     52.3     10.5    152.7    109.8     26.5 
