



                              STATION NAME : NUWARA ELIYA            
                              LAT:  6.97N    LON: 80.77E    ELEV: 1893.6M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    26.2     37.7    217.5     79.3    319.6    202.1     -9.9M   233.4     -9.9M    -9.9M    -9.9M
  1870   373.3     26.7     78.5    124.7     68.9    249.0    129.7    147.0    236.7    230.9    123.5    111.3 
  1871   447.6     47.6     86.0    210.3    165.0    316.7    429.6    147.0    182.7    143.8    267.7    109.9 
  1872    29.5     21.5     34.6    246.2     79.7    438.4    186.2    216.0    892.8    185.7    261.3    108.3 
  1873    53.2    196.3    102.1    203.4    252.3    688.9     -9.9M   185.9     69.7    214.7    151.9     85.9 
  1874    81.0     -9.9M    -9.9M    -9.9M   242.3    474.0    329.2    150.4    265.0    403.4    180.4     72.1 
  1875    64.8     29.6    164.3    202.4     48.5     -9.9M   239.4    161.3    139.7    171.6    317.0    253.5 
  1876    92.0      3.0     17.3    188.3    291.5    320.7    495.3    132.9     99.2    148.5    305.8    173.0 
  1877    19.7     76.4     67.5     60.4    544.1    474.4     67.4    218.3    303.1    504.9    427.4    501.7 
  1880   156.5     84.2    157.0     -9.9M    -9.9M    94.3    505.8    180.9    100.0    348.8    198.4     -9.9M
  1881   172.7       .0     56.9     71.7     59.3    448.1    126.6    446.2    278.1    243.0    311.5     -9.9M
  1882   174.0     96.2     71.2     54.6    167.7    435.9    933.1    453.9    127.0    343.3    267.7    208.0 
  1883    69.7    153.3     86.5    271.5    333.5    185.8    535.8    335.8    103.6    214.1    208.2    120.3 
  1884    37.4      5.9     80.7     80.0    131.4    133.7    144.7    266.6    159.8    359.9    199.1    311.6 
  1885    78.2     71.8     23.3     79.2    130.3     -9.9M   282.7     97.0    115.0    229.7    173.3    213.7 
  1886   169.4     35.0     71.2    112.3    287.6    257.0    306.7    345.2    285.4    288.3    144.7    149.8 
  1887    42.4     68.5     17.0    203.9    121.7    225.6    207.9    104.0    193.9    418.9    239.4    514.9 
  1888     1.9       .5     81.5    132.8    314.6    590.1     82.5    127.2    195.4    234.7    239.2     -9.9M
  1889    84.7      7.5    152.9    208.5    261.5    335.9    238.6    212.4    243.0    129.5    152.4     87.9 
  1890    77.0     68.5     24.4     -9.9M    86.0    180.4    140.8     93.0    244.1    160.1    161.6    127.1 
  1891   103.6     71.1    134.0     62.6    545.0    263.2    185.5    151.6    114.7    488.1    176.2    350.3 
  1892   448.0     78.3     19.6    111.8    110.8     78.1    623.2    304.8    148.1    291.3    211.6     96.0 
  1893    -9.9M    18.2    221.4     12.4    120.4    343.6    217.5     89.7     33.5    110.0    311.0    139.4 
  1894   112.0     13.1    119.0    148.9     51.5    171.5    114.7    255.2    131.0     -9.9M   190.9    115.5 
  1895    97.5     26.1     51.2    113.3     81.7    275.1    253.3    194.8     -9.9M   435.1    109.9    446.6 
  1896    97.6       .0    109.9    147.7    181.2    429.1    204.8    165.0    211.6    218.5    287.9    480.3 
  1897    22.4     48.8     95.7    197.0    102.8    409.1    132.1    415.2    235.5    164.4    186.3    343.6 
  1898   144.5      4.7     66.8    155.9     87.9    206.6    250.2     44.3    245.0    323.0    165.4    160.4 
  1899   320.0      2.7     95.0    279.0    358.3    347.0    213.4    131.9    202.7    364.6    150.6    127.5 
  1900   101.4     -9.9M     6.4    181.1    155.4    357.6    385.6    320.4    287.8    163.3     -9.9M   152.7 
  1901    92.1     57.7     67.4    228.0     78.8    549.3    166.5    121.5    152.3    205.4    340.4     89.7 
  1902   150.0     52.0     49.5    147.1     91.2    112.0    441.9    149.4     -9.9M   361.1    337.8    157.4 
  1903   146.0     66.4       .0    150.8    187.4    170.9     -9.9M   140.1    230.4    261.3     69.0     96.6 
  1904   363.3     35.9     31.5    105.2    290.8    581.7    312.5    200.7    281.7    216.0    160.8    264.9 
  1905    52.1    101.5     85.1    197.6    187.8     -9.9M   137.1    108.9    192.9    253.8    238.6    112.3 
  1906    46.6     29.3     56.5     87.6    144.2    127.8    361.7    211.9     76.9    722.4    275.8    133.5 
  1907    33.0     76.7    246.8    263.8     55.3    289.3    436.7    223.8     82.2    455.5    276.6     48.5 
  1908   145.8     81.4     87.6     87.6    140.7    256.0    272.2     82.5    317.0    219.1     56.9    428.1 
  1909   152.8     51.6    175.8     78.8    101.9    344.2    324.5    216.4    166.4    228.8     99.3    113.1 
  1910   126.9    103.1     36.4     82.1     18.7    298.6    279.1    218.1    219.0    277.7    372.1    371.4 
