



                              STATION NAME : PUTTALAM                
                              LAT:  8.03N    LON: 79.83E    ELEV:    2.1M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    71.4     57.9       .0    119.3     14.4      8.1      1.7     15.6    133.7    206.3    315.1    192.9 
  1870   100.8     24.7     72.0     35.8       .0     12.1       .0     79.1      3.2    165.3    229.2     52.4 
  1871   191.1     39.5    123.4    247.2     32.1      9.6       .0       .5       .0    101.8    230.8    122.3 
  1872    11.2     36.5     19.1    277.7     38.0      5.9      2.7      3.5     42.0     38.1    408.6    103.8 
  1873    10.9     -9.9M   107.4     -9.9M   149.5     17.9     -9.9M    15.0       .0     76.9    212.5    126.8 
  1874    43.1     51.1     -9.9M    27.9     93.3      3.2       .0     13.4       .5     96.1    312.1    191.3 
  1875    41.8     10.4    145.6    282.6      4.4    183.5       .0       .0      3.0    218.6    214.8    165.5 
  1876    11.2       .0     39.8    294.2    117.0     17.5       .0       .0      4.5    202.5     29.4    118.4 
  1877     7.3       .0    159.4    144.2    182.6     76.8      4.0     54.3    134.5    257.1    488.0    441.5 
  1878    90.7       .0      1.0    191.9    216.8     36.5    199.4     97.0     42.3    148.4     88.4     18.7 
  1879    10.4     60.0    219.7       .0    136.1     13.7       .0       .0     80.0    249.6    365.8       .0 
  1880      .0       .0    224.9     25.4       .0       .0       .0     14.2       .0     52.1    502.4     -9.9M
  1881    56.9     -9.9M   130.2     70.2       .0     -9.9M      .0    127.0       .0    158.3    245.1     -9.9M
  1882    50.4     98.8       .0    141.9    112.7     99.8     18.7     18.7       .0     42.3    156.7    335.8 
  1883      .0     63.6     41.6     78.6    327.1     12.1       .0     40.7       .0    204.0    269.6     12.6 
  1884    68.4       .0      5.5     89.5    156.5       .0      5.5     -9.9M    -9.9M   329.2     -9.9M   104.0 
  1885    -9.9M    36.5     39.3      8.3     40.6    140.9     34.0     75.1     17.6    413.3    454.1    131.9 
  1886    -9.9M    63.4      5.0     96.4    118.4     64.3     23.9     12.1    109.5    194.4    127.7    104.0 
  1887     3.1     21.2     53.1    177.5     48.3     16.1      8.3       .5       .0    334.4    246.7    439.4 
  1888      .2       .0     25.2     88.1    134.7    105.0       .7       .0      5.4    273.6       .0    301.8 
  1889    54.2       .0    153.5    370.8     54.7       .0     11.6      5.2     65.4    136.9    118.5    119.7 
  1890    37.7     98.9    128.0    214.5       .0     21.3      1.5       .0       .0     -9.9M   310.7     -9.9M
  1891   133.4     11.0    216.0    222.8    176.8     84.7     16.4      5.5      8.3    734.7    339.0    216.2 
  1892    56.3     83.9      2.2     96.5       .2     95.0      5.0     -9.9M    -9.9M   120.5    173.9    154.7 
  1893    17.5     35.8    186.6    130.6     28.6     18.3      1.2     35.5       .0    113.9    321.5     51.3 
  1894     5.0      6.5     88.8     78.0       .0     14.4       .0       .0       .0    130.2    293.4    104.2 
  1895    47.3       .0      2.7    222.5     10.6     44.8      1.2      1.2       .7    625.5    168.7    195.0 
  1896    53.4      7.1     33.1     74.7    132.4    131.1     31.8     12.1     61.9    377.4    432.9    306.5 
  1897    16.3     54.2     58.3    196.7     -9.9M    51.3     17.3     53.4     22.9     16.1    247.1    122.1 
  1898    48.6     15.2     69.6     67.1    155.7     12.8       .0      5.0     23.8    313.9    513.8    225.6 
  1899   264.8     34.2     92.8    185.6     59.0     10.0       .0       .0       .0    256.2    281.0     60.1 
  1900    75.1     -9.9M     3.2    255.1     67.2     73.3      1.2     11.3     24.0    243.4     -9.9M    92.6 
  1901   158.3     74.9     55.6       .0     48.1     34.0     27.5       .0     32.8    121.4    357.3     66.6 
  1902   232.3     -9.9M   103.0    126.6    102.9      7.5     16.1     33.7     10.0    311.4    326.3     -9.9M
  1903    55.1       .0      2.0    137.9    198.9     43.2     25.5     56.6     60.2    401.2     45.2     -9.9M
  1904    -9.9M    19.2       .0     17.4    161.3     -9.9M    32.9       .2       .9    253.2     47.6    192.2 
  1905    21.8     81.9     16.0    255.2    123.6     -9.9M    -9.9M      .0      5.5    411.7    176.7     50.3 
  1906    40.4     65.7      8.8     79.4     75.0     54.4       .0     58.8       .7    330.7    297.1    130.6 
  1907    30.2     48.9     60.9    153.9     33.5     58.5     39.1       .0     31.2    124.6    290.4    100.3 
  1908   155.3     21.5     58.0     37.8     73.7      2.7       .0       .0     49.1    197.3    119.5    132.4 
  1909    25.3     24.4    136.9     29.1    199.8     93.8      4.0     61.9       .0    273.2    116.7     17.8 
  1910    38.0      2.0      8.0    134.1     14.6      1.7     76.3     27.7      5.3    263.1    209.8    132.4 
  1911    22.3      7.0     46.1     22.3      3.9     40.9       .0       .0     -9.9M    -9.9M    -9.9M    -9.9M
  1912    -9.9M     2.5    124.7    282.2     87.5    194.1      5.0       .7     18.2    290.5    161.6     -9.9M
  1913   218.3     65.8     76.9     74.0     44.9     21.2     13.0       .0     12.3     93.1    354.3    167.3 
  1914      .0      6.9     59.9     35.9     34.2     43.2       .0      1.5     20.4    525.4    213.7    228.8 
  1915    49.1      2.4     20.2    114.9     81.2     46.1     25.7      2.2     53.8     36.8    320.4     65.7 
  1916     2.7     14.9     94.8    151.6     74.4     36.0     44.5     24.3     18.1    149.6    188.2    167.5 
  1917    80.7     -9.9M   191.9     60.0      9.0     14.1     22.0      7.0     76.4     30.5    200.7    106.9 
  1918   194.0      1.5     57.7     52.6     70.7      1.9     23.8       .0     10.1    128.9    389.4    165.7 
  1919    46.5       .4     37.9    105.3    173.4     40.3       .0      6.8    122.2    340.7    181.5    132.7 
  1920    16.8       .0    180.3    265.0     44.0     90.9       .0       .0       .5    141.4    357.1    130.5 
  1921    -9.9M      .0      6.8    145.8      9.3     23.3     23.2     10.5      1.9    236.4    112.1    187.5 
  1922    98.5     99.0     -9.9M   131.7     70.0     11.7       .0       .0       .0    238.9    458.5    206.0 
  1923   246.9       .0    105.7     39.6     23.5     13.7     35.7     11.3     29.3    324.9    242.6    240.9 
  1924    65.3      8.1    202.9     48.0    130.8     60.9     43.0      3.7     78.9    264.0    138.5    158.7 
  1925   168.7     25.5    146.7     44.7     31.7     50.9      6.8      2.0     86.7    230.4    150.2    285.3 
  1926    54.3       .0     66.3     17.0    249.1     44.5     77.8       .5    109.9    196.9    111.4     44.2 
  1927   108.9     86.5     67.6    182.0     77.9     28.2     12.3       .0     54.8    164.0    143.4    100.6 
  1928   146.2     99.7     19.5     83.3      3.3     10.8    355.4      2.4      1.5    132.0    363.6     88.3 
  1929    17.8     14.3     25.7    377.2     93.4     64.0      1.5       .5    125.6     54.9    343.9    119.7 
  1930    55.9     25.2     61.3    213.0    369.1      4.0       .0     51.3     70.7    346.2    386.5     44.4 
  1931   112.1      6.7     90.2    130.9     33.3     17.7     20.7      1.6     10.8    184.3     -9.9M   282.9 
  1932     7.1     71.5     71.7     96.5    206.0       .9       .9    126.7      4.3    278.7    294.6    134.7 
  1933   116.1     17.3     17.0    106.8    288.3     33.1      8.4     61.2     44.0    111.1    260.2     76.7 
  1934   222.0     93.9     74.7     43.0     34.5     30.5       .0       .0       .0    223.2    176.8     67.4 
  1935     9.2     43.3     78.0    150.2     21.2     41.8      1.5     19.3     30.9    241.8    316.2     80.8 
  1936    29.7      9.5     78.8     -9.9M   114.7     40.3       .5       .0     73.5    113.5    130.1    165.0 
  1937    96.9     71.3     18.4    163.8     23.3      3.2       .0     88.5     82.1    119.3    382.9     54.5 
  1938    95.9    160.7    184.7     99.4     10.4       .0      6.5     30.6      2.0     54.1     17.5     96.6 
  1939    82.5     18.4     34.4    178.2     96.4     15.7     21.2     19.7       .0     69.2    297.2     51.2 
  1940      .0      7.7      3.8    247.2    149.5     21.0       .0     23.1     38.4    198.1    475.8     49.2 
  1941    62.7      2.9     27.3     75.0     96.1     25.0      1.5     12.6     21.7    149.8     -9.9M   116.3 
  1942    14.4     19.3     18.3    105.9     58.9     28.1      4.0     58.0      5.5     43.8     98.1    536.9 
  1943   129.9     26.9    165.3     97.9    131.3      9.7      3.6       .7      4.3    144.2    219.0     89.1 
  1944    45.4     92.8    130.1    101.0     31.7      7.0       .4      3.8     52.1    196.7    373.4     72.0 
  1945      .0      7.1     53.9    112.1      4.5     21.1     74.5       .0       .0    379.0    263.5    144.5 
  1946     1.0     40.7    107.8    111.2     34.1     38.2       .7      1.9       .7    208.5    297.4    298.2 
  1947   152.3    104.2    116.6     37.5     37.9     43.3      3.4      9.6      3.5    144.9     40.2    113.5 
  1948    84.0      5.0     16.3    106.6     31.8     34.7      3.0     54.6       .0    231.5    189.9    224.0 
  1949   114.1     17.8     34.4     83.2    115.2     15.5     13.5     46.0     12.6    146.6     70.5     48.4 
  1950    14.2     77.0     44.0    119.7     35.9     14.2       .0     33.3      4.3    123.7    158.6    152.0 
  1951   219.1     42.0     96.2    346.4    231.9      3.3      1.2       .0    364.4    127.9    304.1     85.3 
  1952   115.2     85.7      7.7     95.4     26.7      5.0      2.2       .0     28.3    205.8     86.7    241.8 
  1953   104.2    108.4    126.2     90.4     10.3      9.4    147.2       .0     46.0    277.3    137.5    124.0 
  1954    66.2     35.4    241.1    237.2     57.9      2.4     40.9     12.3       .7    426.0    112.5    168.1 
  1955    99.1     36.7     96.8    216.6    199.4      3.5       .0      4.7     95.9    144.0    247.2     47.5 
  1956    39.6     33.9    169.8     87.4     15.8     74.7       .0       .2      2.7     39.0    311.2    110.1 
  1957    34.4     49.3       .0     85.4    248.0     62.1      5.3       .0      2.7    112.3    451.5    696.3 
  1958    50.8      8.8    105.4    323.3    216.7     40.7      9.5     18.5       .5    212.6    232.2     90.2 
  1959    22.1      2.7      9.6    257.8    243.9     27.2      6.7      7.4    112.5    217.4    224.1    101.2 
  1960    20.7     65.0     53.7    203.0    147.1      4.5    130.7      1.1      8.3    116.5    550.4     28.3 
  1961   111.5     41.6    144.6    195.3    131.5    181.1     62.2     34.4     57.4    219.9    186.8    113.7 
  1962    96.1     23.2      9.5    208.7    114.0    163.6      2.5     48.6     41.2    329.1    187.9    210.1 
  1963   206.6     66.4     67.6    185.6     70.0     41.7     43.9      3.4     77.7    272.2    421.8    179.4 
  1964    15.9     79.6    142.5     36.2     16.5     26.1     30.9     25.0    112.2    235.6    159.1     56.9 
  1965    21.7     42.5     15.2    190.2    115.9     25.1     -9.9M    59.2     27.2    348.0    219.6    211.5 
  1966    59.3     24.4     41.2    127.2     13.0      5.9     10.0      1.9     63.5    244.1    211.5    116.6 
  1967    46.4     30.9     27.4    115.7     70.5     66.7     15.6      7.3     75.1    216.8    267.8    215.6 
  1968    18.9       .0    110.0    215.9       .0     49.3      1.7       .0     26.3    224.7    197.1    206.5 
  1969    32.7     14.6       .2    158.6     98.8      5.6      4.7     53.4       .0    406.6    164.5    188.2 
  1970    63.3     65.8    101.1    247.1     93.7       .4      9.3       .2     20.8    137.8    270.0    149.4 
  1971    98.0     17.4     65.8    147.6    115.4     59.8       .5     19.9     38.6    162.1    141.1    175.1 
  1972    12.3       .0     30.8    151.6    286.7       .9      8.3      1.4     73.8    613.8    273.3    177.1 
