



                              STATION NAME : RATMALANA               
                              LAT:  6.82N    LON: 79.88E    ELEV:    5.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1951   134.3     39.0    105.1    129.0    760.7    274.0    350.6      2.5    422.5    164.2    605.1    103.0 
  1952    99.4    170.6     48.5    220.4    319.1    251.5      8.1     11.2    174.7    290.6    248.2     60.5 
  1953   120.2    139.7    118.5    542.0     23.0    261.2    567.4     51.9     84.4    497.7    323.1    194.1 
  1954    70.5     90.3    459.9    496.9    352.6     51.6    112.1    150.3     78.1    289.1    138.5    394.0 
  1955   119.0    200.5     82.1    205.2    332.3    227.8    153.6     22.9I   423.9    393.2    494.1     33.8 
  1956    85.0     87.7    209.3    359.4     99.6    165.2     21.6     86.1    168.7    300.1    274.1    228.3 
  1957    54.8    142.2     16.2    173.0    450.3    238.2    130.0     36.4      8.4    276.8    673.1    561.9 
  1958    20.7     58.2    180.2    264.8    564.4    225.9     37.2     93.9     91.2    394.7    377.3    169.4 
  1959    14.3    115.5     34.8    310.5    293.1    391.0    208.9    184.8    232.8    267.4    270.9    207.3 
  1960    -9.9M   149.0     84.6    150.4    413.2    106.1    386.2     49.4    109.3    351.6    326.3     24.2 
  1961    62.1    126.4    199.3    311.8    456.1    323.2    183.6    295.7    375.5    440.8    272.6    252.7 
  1962   230.9     36.2    108.3    242.7    594.4    275.9     99.9    385.6    158.6    370.7    196.4     80.6 
  1963    71.0    188.6     80.2    165.2    618.6    231.5    462.1    129.0    634.1    626.2    348.3    225.3 
  1964    46.2     86.8    169.7    119.5    495.2    152.2    197.3    111.5    132.0    423.1    197.8    162.5 
  1965    49.6     80.4     86.0    225.6    519.5     76.6    104.9    189.5    224.4    405.8    253.4    253.2 
  1966   299.2     26.8    236.0    392.7     98.0    120.9    125.1     43.1    414.2    449.6    256.4     99.4 
  1967    56.4     54.6    121.1     68.8    596.9    135.5    207.4    116.3    327.4    513.4    306.8    170.1 
  1968    33.7     23.0    214.3    286.1    117.6    244.3    264.5     42.1    128.9    354.6    145.8    104.7 
  1969    61.4     92.3     48.4    235.0    608.4    119.2     63.0    239.7     80.3    617.1    264.6    429.7 
  1970   163.1    188.6    192.3    410.1    470.0    111.4    209.5     59.3    265.1    291.9    427.8     89.4 
  1971    46.2     74.9    116.1    189.0    143.0    197.5    148.2     83.1    292.1    409.1     60.7    178.3 
  1972    38.3      1.2    106.9    119.4    456.3    230.1     80.5     29.6    200.5    502.1    300.3    193.1 
  1973      .0     16.4    267.7    219.7    371.7    243.0    155.2     69.0     35.0    380.3    474.1    351.7 
  1974      .0    120.1     64.3    678.9    267.2    248.6    210.1     95.0    267.4    174.9    138.7    136.9 
  1975    30.2     48.4    193.2    516.6    263.2    291.1    185.7     87.8    266.1    165.5    503.2    190.4 
  1976    21.4      1.7     96.8    217.5    227.4    165.6    111.0    191.1     41.1    462.2    495.7    370.2 
  1977    16.6     61.1    333.7    202.4    723.5I   311.1     42.0    142.9    183.2    768.9    239.0     46.1 
  1978    12.9     34.4    199.3    150.2    509.9    173.5     38.2     54.8     86.7    237.6    516.1    157.5 
  1979     1.4    134.3     34.5    190.0    223.7    277.5    111.0     49.5    491.7    265.0    438.0    162.7 
  1980     2.2       .0     65.4    175.0    231.5    192.2     66.7    131.1    241.5    370.3    333.5    211.1 
  1981   155.2     83.3     69.4    268.6    528.9    187.6     19.6     97.7    144.5    277.3    374.7    108.8 
  1982    20.5     35.0    272.0    299.7    261.8    185.8    130.1    106.2    114.6    349.1    404.1     83.7 
  1983     8.7     19.3     31.8    105.4    386.0    168.7    189.5    185.8    457.0    149.8    355.7    289.4 
  1984   237.7    213.1    124.4    355.0    290.5    177.2    135.3       .2    288.2    186.8    503.5     49.9 
  1985    41.6    162.3     92.5    112.6    326.2    295.4     17.9    100.8    227.6    282.6    346.4    304.5 
  1986   125.1    173.8    152.6    243.0    254.4     47.3     10.4    138.8    232.9    230.0     94.2    113.2 
  1987    92.2       .0    109.3    241.7    284.4    128.4     12.0    504.6    362.5    612.2    248.3    106.9 
  1988    17.0     82.0    177.2    158.6    136.2    244.7    133.6    219.8    464.7     82.6    186.1I    55.8 
  1989    23.0      4.2     65.0    347.8    372.4    202.0    130.7     39.8    157.8    452.1    363.4     93.7 
  1990    75.7     56.9    156.4    351.4    256.6    154.1    201.2     14.6     32.1    262.8    329.9    106.1 
  1991    87.7    131.1    197.4    197.6    261.2    209.8    164.4     70.4    155.5    350.0    285.8    134.2 
  1992    27.5       .0     23.4     81.8    421.6    454.7    154.8     78.5    339.7    210.1    482.7    110.9 
  1993     5.0     12.8     16.3    260.6    841.5    134.8     82.0     35.8    411.1    465.3    329.7    227.0 
  1994    77.6     96.4     96.2     91.9    403.7    103.9    174.8     74.6    508.8    566.0    292.8      7.1 
  1995   137.1     22.1     41.3    334.1    499.1    386.2     66.2    106.7     -9.9M   276.4    333.2     14.5 
  1996    71.9     60.3      3.5    266.2     97.5    104.8    261.6    181.1    208.0    224.9    236.7    139.3 
  1997     1.0     35.0     30.6    141.3    267.8    188.6    225.9    106.7    375.6    562.3    333.6    270.8 
  1998    86.9       .1     77.3    189.3    202.0    227.3    440.4    173.0    274.9    272.3    380.7    543.3 
  1999   106.6    143.6     81.7    722.3    382.7     88.9    109.5    125.3    297.2    599.7    242.7    203.4 
  2000   129.7    169.6    203.7    379.3    193.6    233.7     65.4    166.3    308.2    345.9    331.5    178.1 
  2001   129.7     67.8     39.1    246.8    203.4    128.2     60.0      2.5    272.8    374.5    320.6    242.2 
  2002    63.9    120.2     71.5    315.4    363.7     62.3     40.1     30.2    130.4    546.9    269.8    287.8 
  2003   141.6    109.4    247.6    135.0    185.8    177.6    214.5     83.9    280.3    236.2    403.1     32.1 
  2004    32.1     32.8     19.7     78.8    242.2    208.5    113.5     92.3    584.9    297.3    291.4    115.0 
  2005   187.9     11.7    165.8    179.5    412.1    313.7    129.0     29.2    103.1    556.4    912.6    206.1 
  2006   258.4    143.2    119.3    108.9    292.1    190.5     93.9    324.8    201.7    660.5    602.5     86.5 
  2007    76.0     12.8     33.1    403.4    287.7     95.5    126.3    217.9    158.1    313.1    232.2    128.3 
  2008    95.3    145.1    231.1    644.2    290.5    267.8    135.9    190.0    166.4    498.3    211.3     91.3 
  2009    79.6      5.5    286.1    395.5    162.9    212.3    128.7    108.1    169.4    257.1    504.2    166.8 
  2010   112.1      9.4     66.0    391.1    862.5    222.5    103.8     29.0    247.6    274.7    836.0    250.2 
  2011    92.8     23.5    104.6     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
