



                              STATION NAME : RATNAPURA               
                              LAT:  6.68N    LON: 80.40E    ELEV:   34.4M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   377.6    480.5    341.3    238.6 
  1870   308.4    202.6    304.7    167.3    422.5    335.6    168.8    517.2    525.6    600.4    329.0    196.3 
  1871   224.8    151.2    155.2    364.3    344.7    548.9    409.9    228.0    507.6    262.9    390.5    146.1 
  1872   133.3    162.1    112.7    448.8    131.6    452.8    212.3    237.9   1082.0    279.9    495.1     94.4 
  1873     7.6     98.7    229.7    141.3    598.5    449.6    274.5     98.1     98.3    514.9    289.1    231.9 
  1874   231.0     90.0     -9.9M    -9.9M   358.6     -9.9M    -9.9M    -9.9M    -9.9M   568.9     -9.9M    -9.9M
  1875    76.9     -9.9M   299.6    307.7    272.3    790.7    178.5     -9.9M    -9.9M   262.8    484.8     -9.9M
  1876    93.4     -9.9M    -9.9M    -9.9M    -9.9M   644.5    349.0    125.5     -9.9M    -9.9M   246.9     -9.9M
  1877    -9.9M    75.3    196.0    323.4     -9.9M   760.0    148.8    510.4    301.6    330.5    668.5    332.3 
  1878   279.1      3.4    267.1    378.9    416.5    754.6    482.9    657.6    455.7    583.6    199.5    169.8 
  1879    30.0    135.6    179.0    178.7    419.4    407.1    590.9    150.5    218.0    351.1    413.0    151.0 
  1880    -9.9M   225.4    303.1    265.1    813.2    118.3    264.7     -9.9M    90.4    720.2    352.8     -9.9M
  1881    66.2    116.4    161.6    511.8    300.2    402.8    115.8     -9.9M   471.3    424.1    502.6    416.5 
  1882   164.7     -9.9M    -9.9M   176.8    499.8    347.0    415.8    564.9    189.5    613.8    364.0    162.6 
  1883   156.5    172.5    247.2    364.5    690.4    418.2    208.1    472.1    382.2    552.9    305.4    228.9 
  1884    21.2     52.2    545.8    249.6    396.4    347.0    191.2    299.1    288.1    659.3    249.7    267.3 
  1885    82.5    173.6    231.1    217.2    231.5    714.9    301.6    180.0    368.9    566.5    598.7    254.4 
  1886   230.8     42.3    118.3    274.6    642.4    413.4    442.0    415.6    475.1    268.2    225.0     53.7 
  1887    52.2     55.6     -9.9M   405.7    584.7    721.6    196.7    380.8     75.9    326.8    436.6    284.9 
  1888    81.6     78.3    280.1    166.0    614.3    686.4    112.6    234.5    313.3    476.2    368.5    213.0 
  1889   125.9     -9.9M   178.2    296.6    604.3    285.1    478.3     -9.9M   475.5    387.6     -9.9M   241.3 
  1890    49.8    193.0    170.3    442.8     -9.9M   296.4    225.8    196.7    311.5    474.5    243.0    254.9 
  1891   190.3    171.6    333.8    234.3    853.0    496.3    294.1    266.0    384.7    627.3    283.8    326.0 
  1892   133.4    156.6    158.4    436.7    522.9    962.5    460.1    525.2    306.1     -9.9M   362.0     -9.9M
  1893   197.3     55.1    243.8    241.3    659.2    802.4    320.0    166.7    113.0    319.2     -9.9M   298.5 
  1894    -9.9M   163.8     -9.9M    -9.9M   121.7    726.0     -9.9M   224.3    344.0    657.8    448.4    172.6 
