



                              STATION NAME : SAGAMAM TANK            
                              LAT:  7.13N    LON: 81.80E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879   299.1    242.2     83.7      2.5       .0     16.5     65.8     24.1     15.1     -9.9M    93.7    233.2 
  1880    17.7     53.3    253.6     12.5     34.2       .0      6.3      2.5      5.0     58.2    118.5     68.3 
  1881   228.1     31.7     30.3     15.2    134.5     33.0       .0     57.3     20.4     82.7    176.2    530.6 
  1882   449.1    217.9    171.1     48.2     12.6     29.1     22.8     70.8       .0    181.1    172.4    391.9 
  1883   309.4    213.1     27.8     12.6    100.3     71.0     19.0     58.0     19.0     99.6    210.1    144.2 
  1884    97.3     24.0     51.9     51.9     13.8       .0     11.4      7.6     79.8    168.6    248.6    597.4 
  1885   182.4     58.2     63.2     12.6     35.4    100.1      7.6       .0      6.2     72.0    166.1    570.5 
  1886   518.8     59.5     26.6     86.3     86.2     41.7     23.9    119.2     63.3     72.2    364.9    423.3 
  1887   181.0    130.5      2.4     44.6       .0     52.6       .0     77.3       .0    183.8     64.5    837.3 
  1888    13.9       .0     27.9     15.1     67.1     22.8     22.8       .0     62.1    144.3    223.1    562.9 
  1889    74.6     57.1    143.1    145.7     63.3     71.0     17.7     15.1       .0     21.5    194.0    138.0 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    24.0     50.6      2.5    116.6     72.1    324.5 
  1891   219.4    317.1    195.0       .0     78.6     62.1     52.0     31.6     20.3    317.0    270.1    383.5 
  1892   765.5    407.9    103.1     61.8       .0     78.1     64.6     22.2     30.8    154.5    157.3    231.3 
  1893   267.7     85.0    196.9     30.9     41.0     52.9     34.8     33.7     36.7    117.7    397.1    326.3 
  1894   313.7     26.3    163.1     36.7       .0      3.0     29.4     88.1     97.0    132.2    429.5    412.1 
  1895   232.1     14.7     19.0    264.7     64.9      3.0       .0     70.5     33.6    252.8    278.8    637.3 
  1896   391.3    379.5    130.9     29.4    150.0     57.1     51.5     30.8     57.3    196.3    294.2   1003.4 
