



                              STATION NAME : TISSAMAHARAMA IRRIGATION
                              LAT:  6.28N    LON: 81.30E    ELEV: ******M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1879    32.8     37.9    132.9     73.6    155.8     40.5     79.9     10.1     27.9     77.0     64.5    159.6 
  1880    32.9     22.7    288.9    190.1     11.4       .0      2.5     17.7     -9.9M   110.4    271.0     92.3 
  1881    96.1     -9.9M   115.3     62.0     87.5      6.3       .0     21.5     91.1    328.4    333.2    184.9 
  1882   122.6    111.0    123.4     72.3     70.9     28.0     38.7     51.8       .0     54.6    235.7    161.4 
  1883    67.4     56.2     78.1    127.6     62.0     19.1     -9.9M    59.4     16.7    219.9    170.0    124.5 
  1884    24.3      4.8     51.5     63.2     93.8     22.0       .0      5.8     58.4    188.3    119.3    187.0 
  1885   100.8     49.0     54.5     60.1     72.1     63.4       .0      7.5     18.9    182.1    199.3    182.4 
  1886   100.7     25.7     27.6    166.9    106.3     24.7     61.7      4.0     43.0     -9.9M   175.6    144.9 
  1887    60.5     27.2     16.4     93.7     20.3      7.5     38.0     31.7       .0    157.3    219.6    344.8 
  1888      .0       .0      7.6     49.2    123.3     12.5       .0       .0     31.6    256.0    252.4    132.5 
  1889    34.2      7.6    149.0     71.8    126.3      7.6     22.6       .0     69.0     72.3    346.3    313.7 
  1890    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M      .0     45.6      7.5     26.7    185.6     35.4 
  1891   101.6    161.3    107.5    129.8    124.2     68.2      9.3       .0     16.8    587.6    208.1    271.2 
  1892   208.0    131.9      7.6     71.1       .0     46.2       .0     45.7       .0     25.3    102.7     70.0 
  1893    36.3     21.2    161.3     83.7     52.1       .0     40.5       .0       .0     38.5    212.6    133.4 
  1894    18.9       .0     76.1     74.4       .0       .0     27.8     16.5     83.8     66.9    232.8    138.5 
  1895    74.9       .0      8.6    172.2       .0       .0       .0     41.2     66.8     93.5     92.9    222.3 
  1896    67.4     62.5     82.7     97.5      7.7     31.7     10.0     31.4     79.5    128.4    156.5    192.1 
  1897    22.7    102.6     51.9    251.1     41.4     41.7     16.4     23.8     86.0    211.2     79.1     95.0 
  1898    83.7      6.3     78.6     83.6     35.0     26.6      7.6       .0     15.4    144.9    171.9    245.7 
  1899   238.7     -9.9M    -9.9M    -9.9M    36.9     43.2      7.6       .0     11.4     44.8    129.5    108.8 
  1900    99.2     19.7     34.4    132.9     54.9     19.6     38.8     43.1      7.9    437.2    274.8     -9.9M
  1901    -9.9M    27.3      3.0     -9.9M    46.9     46.3     27.3      3.0     32.9     85.3    106.2     38.5 
  1902   144.6     78.4     30.1    104.5     52.0      1.2     19.0     24.1    222.3    256.5    347.1    108.8 
  1903    94.6    140.7      5.0      7.5    128.9     39.5     63.5     19.7     35.9    126.7    110.3    181.9 
  1904   256.3      7.5     46.2     54.1     48.0     29.8     62.8       .0     67.0    189.5     67.3     81.8 
  1905    15.4     26.4     33.6    142.7     80.2       .0       .0      1.2     23.5     76.0    265.0    166.2 
  1906     4.5     44.7     56.7    155.4     33.6     58.2      4.9     40.8     23.9    150.4    161.4     41.0 
  1907   104.0      7.7    117.0    200.2     29.5      6.6      7.5      5.3      5.0    146.5    229.1     31.0 
  1908    62.9    255.7     71.3     31.9     29.9      7.5       .9       .4     43.0    162.7     37.9    130.4 
  1909    59.2     79.6     64.8     88.0     30.9     32.7     31.6     14.3     12.0    131.9     62.2    165.3 
  1910   117.4     67.0     16.9    118.1     11.1      1.7     62.6     14.2     10.7    106.6    153.7    155.7 
  1911    95.2     11.2      7.7     35.8      3.5      5.9     17.7       .0     28.6    224.5    433.4    260.0 
  1912    20.7      7.5     25.2     86.0    121.5     13.8       .0     11.4     18.3    188.5    274.5    233.3 
  1913   258.4     40.0     75.2     87.9     57.4     42.9     12.6       .0      1.4    185.8    137.4    299.5 
  1914    60.1     20.2     87.2     59.1     84.4     19.4      2.5       .0     32.9    160.7    244.7    206.7 
  1915   191.9     17.7    103.4     96.1     23.8     28.1     63.9       .0     57.1     98.9    165.1    188.9 
