



                              STATION NAME : TRINCOMALEE             
                              LAT:  8.58N    LON: 81.25E    ELEV:   23.9M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869   252.6     16.5     -9.9M    -9.9M    -9.9M      .2     31.3     62.4    152.6     85.6    516.9    156.7 
  1870   240.5     38.0     11.5     -9.9M    10.0       .0     91.7     63.5     42.3     87.2    217.5    207.8 
  1871   563.4     93.2     45.8     21.8     84.5       .0     25.5     70.0    171.6    223.4    352.9    237.8 
  1872   142.9     31.1     14.9     56.8     23.8      3.8     36.9    112.7     79.5    145.3    406.3    199.2 
  1873    14.4    188.0     31.3    237.2    121.8       .0     79.9     54.7     72.2    216.6    338.5    183.0 
  1874    53.8     69.7     51.6      2.0     63.8     57.2    130.4     83.4    258.5    207.3    245.5    333.7 
  1875    -9.9M     1.1     21.8     20.9     18.6     50.8       .5    101.8    124.9    329.2    380.6    409.9 
  1876   118.0     19.3     24.8     63.6     53.2     81.6     95.6    250.7     18.3    149.5    267.1    251.3 
  1877    18.3       .0     39.4     10.5     94.6     13.4     12.7     52.7    193.5    362.8    433.9    493.8 
  1878   606.5       .0     26.1     37.0     19.7    141.8     98.8    154.8     51.7    160.6    240.8    278.4 
  1879    45.9    134.6    125.9     19.1     54.5       .5    126.9     53.4     57.9    121.2    262.4    237.6 
  1880    65.8     76.1     17.7    119.4     38.5     92.8     68.7    119.7     55.2    117.2    443.5    256.7 
  1881   197.9     33.9      8.2       .0     75.8     89.9     43.6    112.4    142.7    150.0    227.9    536.4 
  1882    58.0     40.6     36.7     24.0     45.0     33.8       .0    225.4    131.3    216.0    392.0    711.7 
  1883   146.8    206.5     63.5     17.7    116.9    163.8      2.7     34.4    110.8    320.5    544.6    206.4 
  1884    22.4       .0       .0      6.7     21.6     41.9     21.3     66.0    104.5    448.3    254.7    406.8 
  1885    57.1     67.9     23.1     27.1      9.5     -9.9M      .0     55.3    157.3    320.5    305.2    365.5 
  1886   237.1     51.1      1.7     28.6     92.1     55.0    113.6    169.5     72.0    102.4    297.4    316.1 
  1887    13.1      9.5      6.4     97.8     27.6     66.6     50.9    233.5     38.3    195.2    215.5    705.3 
  1888     6.9      2.2      1.5     58.5    244.6      5.8     41.3     65.8    105.4    218.2    390.5    419.8 
  1889    52.6      5.4     77.9     47.1     21.0      8.6      4.2    212.0     79.6    107.1    127.5    138.9 
  1890    62.5     50.4      8.4     28.3     85.6     23.6      8.8    104.2    126.0    152.0    371.5    206.6 
  1891   104.3    112.8     41.8     18.8     92.9      3.7       .0     57.0     94.8    302.3    140.2    700.2 
  1892   279.5    184.3       .0     74.4     19.5     58.1     78.1    207.0     45.0    179.3    286.1    182.3 
  1893    99.1     45.8    207.8     47.3    174.7     23.6    149.4      4.8     96.1    154.3    892.3    130.8 
  1894    47.4      3.4    107.8     23.4     53.2     36.4     69.9     74.1    156.4    214.8    266.3    298.0 
  1895   176.0       .0       .0    108.0     40.1       .7     68.3    159.8    151.3    177.1    365.0    627.8 
  1896   201.9     52.0     17.1       .0     62.6      8.2     46.5    123.3    174.3    107.4    475.5    799.4 
  1897   181.0    158.5     32.7    112.5     34.4     12.1     31.9    222.1    202.6     72.5    109.2    733.3 
  1898   317.2      1.0       .0    138.1     21.1       .0     84.6     78.0    142.4    156.6    496.0    605.1 
  1899   183.6     14.0     53.0     83.2     12.9       .0     52.8     12.6     70.6    199.5    379.9    511.3 
  1900   127.4     -9.9M      .0    137.0     36.5       .0     26.2    138.9     61.1    248.3    524.0    197.1 
  1901    47.9     62.7    197.4     62.5     53.2     25.3     14.7     43.1    288.9     67.6    346.5    245.6 
  1902   280.5     87.2     80.8     -9.9M     9.3     51.9     -9.9M    48.2     -9.9M   273.7    676.2    387.3 
  1903   106.6    119.3       .0     14.9    145.8     82.2     40.2     38.9    266.0    243.8    163.9    279.9 
  1904   292.9     43.0       .0     16.4     84.8       .0     92.2     35.9     14.3    184.0    418.6    503.5 
  1905    56.7     23.4       .7    234.2     31.9      2.7     51.4     92.0     90.1     98.4     -9.9M   136.2 
  1906    57.5       .0      5.5     57.8     38.0     13.8    198.4    158.6    149.9    219.7    617.1    288.7 
  1907   259.3     37.4     49.1    107.1     81.1      1.7     86.1     39.5    121.0    343.6    561.2    153.5 
  1908   126.2    173.8     52.1      4.5     49.6       .0      6.3    120.3     61.4    266.3    136.2    362.0 
  1909    83.4     46.6     47.0      9.9     30.6       .5       .0    297.7     79.9    186.3    159.1    185.5 
  1910   103.5     54.0       .0     73.3     31.1     66.1    101.5    102.8    200.5    277.6    489.4    394.9 
  1931   524.2     64.1     16.5     59.3     80.5       .0     80.6       .5    120.2    170.0    353.8    376.5 
  1932    76.8     12.4     32.3     32.1    109.4     19.4      3.3    189.4     16.0    391.4    368.7    272.9 
  1933   225.4     17.1     33.4    108.2     88.2       .2      1.9    116.3    110.2    228.9    272.7    254.9 
  1934   252.4     51.6    142.6     23.0     37.9     17.9     35.3     75.9     32.1    345.6     80.2    137.8 
  1935    85.7     32.9       .7     33.1     99.9     32.3      1.0    245.8     76.0     98.8    671.5    672.4 
  1936   147.0    100.3     85.2       .5     20.4       .9    182.8    109.1    120.6    141.9    232.1    635.4 
  1937   221.9    153.6     61.0     86.5     29.3      1.5     10.6    132.0     37.3    152.0    517.4     74.0 
  1938   178.7    391.5    146.2    135.5     24.8     43.1      9.4     71.5     44.9    350.0    201.1    186.9 
  1939   176.7     61.3     30.4    105.7       .7      8.5      2.5     13.3     75.1    488.6    369.8    341.6 
  1940    18.4     93.9       .0     26.3    212.9     34.2     38.4     12.5     39.3    263.7    303.2    540.0 
  1941   206.2    185.9     26.5    103.9     61.2       .0     64.3     66.9    210.4    274.4    680.8    247.2 
  1942   230.4      6.3     51.2     -9.9M    32.2       .5      1.7     27.5    191.0    237.6    224.1    495.0 
  1943   222.4     85.3     17.9    163.9    233.8       .2      8.8      3.8     43.4    205.8    322.7    299.0 
