



                              STATION NAME : VAVUNIYA                
                              LAT:  8.75N    LON: 80.50E    ELEV:   97.5M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1957    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   632.2    926.1 
  1958    39.8     16.9     70.8    152.1    118.5       .0       .7    106.2     24.7    216.2    210.8    132.3 
  1959   187.9       .2       .0    120.9    135.7    130.0       .2     27.2    133.7    299.0    353.2    106.8 
  1960    59.8    167.2     18.1    147.8     89.9       .7    129.0     18.0     24.2    108.8    413.4    142.0 
  1961   413.6     64.2     24.7     99.5     22.0      9.7     28.5       .0      6.8    152.7    343.0    408.1 
  1962   138.1     89.5     20.3    264.0    104.1      1.7      2.4     56.2    103.0    377.1    200.3    216.3 
  1963   352.2    125.6    142.6    173.8     28.1     40.0     80.2     73.4    128.6    188.9    582.8    332.1 
  1964    50.8      9.3     27.7     65.5     80.9       .0    105.1     60.8     51.6    107.7    130.4    290.6 
  1965    31.8    140.0     77.1    143.0     53.4       .5     18.0    360.9     53.6    205.7    228.7    312.3 
  1966    29.8      9.7     56.0    184.1     17.7I      .0      3.5    288.1    147.4    332.1    379.1    142.5 
  1967    12.2     38.0     88.3     38.3     16.9     22.4     40.7     39.8     83.3    308.4    447.0    457.9 
  1968    50.5      5.5    121.0     66.0     63.9      3.2       .0     59.7    125.7    314.6    227.5I    -9.9M
  1969    69.6     64.2    100.9    101.9    126.4       .0     38.3    271.9     35.2    483.4    143.9    436.5 
  1970    56.5    142.0      4.5    108.3     69.6      7.5       .0    120.1    150.5    153.0    440.5    220.6 
  1971   208.9     47.9     37.9    259.8I    16.5      5.0      4.9    193.4     74.6     99.2     84.2    593.0 
  1972     2.9      1.2       .2    134.1    172.4     52.5     11.2       .0    205.4    729.7    273.3    488.6 
  1973    20.7     14.4     13.3     83.4     47.8     38.9    124.4     35.4    116.4    199.5    119.8    554.6 
  1974      .2     20.7     16.8    131.4    124.3       .0     15.7     91.2    222.6     84.9    138.7    181.0 
  1975    62.0     29.5    165.6    165.2    104.2      4.3    171.6     94.9     45.8    171.0    273.5    226.2 
  1976     9.9       .0     14.1    286.9      2.2       .0      3.8      7.6      2.2    143.1    439.7    235.1 
  1977     2.1     80.5     93.3    173.8    132.0     30.8     32.4     46.6    113.4    391.3    429.4    114.5 
  1978     5.0       .0     42.1     93.9     57.0I      .5     33.3       .0     33.2    216.7    362.4    130.9I
  1979     7.1I    34.1     13.5    115.6     62.3     21.1     35.0     33.4    294.3    351.7    483.0    307.4 
  1980      .2       .5       .0    137.2     50.1      4.7       .0I      .4    187.9    143.0    224.9    155.6 
  1981    36.8     18.6     20.3     81.1     57.1     27.9     89.3     22.6    187.6    343.8    182.2    115.1 
  1982      .2       .0     24.9    116.1    118.2      3.9       .0      1.0     56.0    133.6    261.7    192.1 
  1983    15.2       .0      9.9I    67.4    143.1     21.7     54.4I    43.4     12.7    242.5    249.6    601.3 
  1984   336.2    623.1    276.0    213.1     21.5       .1    139.0I     2.6    188.7     28.4    314.4     86.0 
  1985    84.6    108.6     96.6     42.5    125.6       .0    132.5     35.8I   128.4    111.6    313.2    398.7 
  1986   230.1     68.2     82.2     50.6     81.6      4.7     35.5      8.3      3.8    351.8I   145.9    116.0 
  1987    37.0       .0     84.2    142.7    100.9       .0       .4     15.4    148.5    445.5    156.0     57.2 
  1988    15.7     14.0     54.4    191.1     20.5      8.1I    79.9     97.5     97.7      9.5I   163.6     59.5I
  1989    14.2       .0I    86.6    121.3     72.9I    10.4    116.7     58.8     73.6    190.4    194.7     57.3 
  1990   133.6     27.1     80.2     40.9    104.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1992    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M     5.7     -9.9M   127.2     92.1    390.0     -9.9M
  1993     5.5     -9.9M    -9.9M    39.3     39.5     12.3    207.7     59.8     77.3     -9.9M   359.0    541.7 
  1994   102.6    222.1     31.4     -9.9M    83.3     -9.9M      .5     -9.9M    -9.9M   283.8    273.0     78.0 
  1995   142.1     58.0     22.3     -9.9M    99.1      3.1     -9.9M    -9.9M    -9.9M   189.4    218.0     15.6 
  1996     5.8     24.8     67.8    194.2     79.5     -9.9M    33.8     -9.9M    14.5     -9.9M    -9.9M    -9.9M
  1997    13.8       .0     41.7    159.7    122.7     15.2     63.5     24.2     68.4    274.8    399.3    305.3 
  1998    88.4     44.4      7.6     52.6    165.7       .0     47.9     93.4     61.0     84.5    194.4    529.7 
  1999   179.1     68.4     26.6    247.5      7.0      7.2       .0      1.7    128.6    318.1    184.6I   265.0 
  2000   183.4    293.4     17.1     14.3     82.7     56.8     11.0     98.7    232.7     87.7    291.8    347.8 
  2001   184.8     31.2      6.0    220.7      2.5     39.1     56.2      4.8    105.9    289.9    143.7    267.4 
  2002    77.6     31.0      3.9    225.6     15.3      9.5      6.8     18.2I   115.0    249.8    240.5    203.7 
  2003   152.8     92.5     24.3    126.3     80.8     42.0     44.2     75.0    110.2    119.8I   409.8     93.0 
  2004    28.0     24.1     55.1    199.6     96.7      1.2     20.0     69.5    130.0    212.2    254.9    319.9 
  2005   166.5      1.0     23.0    184.6     11.5      1.5     49.9     82.3      2.4    166.7    381.2     96.6 
  2006   145.8     21.9    109.7I   155.4     27.8       .0      1.3      6.8    105.4    214.0    234.9    114.9 
  2007   196.2     81.0       .5     62.1      3.9    164.0I    15.3     40.6     79.4    494.7     86.3    280.3 
  2008    42.6    205.1       .5    117.9       .0     15.2     48.6I    89.7       .0    161.5    298.3    244.9 
  2009    73.7       .5     48.6    116.3     14.6       .0     28.9    182.2     59.7    235.0    280.3    329.2 
  2010   109.0       .8     83.6    143.1     35.0      1.3     22.4     40.3    200.9     77.9    410.7    334.6 
  2011   357.8    297.1     25.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
