



                              STATION NAME : WOODSIDE ESTATE         
                              LAT:  7.27N    LON: 80.83E    ELEV:  950.0M
                              ELEMENT : Precip,Total Mly in Millimeters         
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1897    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M   202.5     -9.9M    -9.9M
  1898   246.9     36.3     -9.9M   152.5     68.2     83.6     92.3     53.6    136.6    494.9    272.3    371.7 
  1899   670.8      5.0    166.7    515.6    105.3    198.6     63.5     31.7    220.8    775.4    349.8    386.2 
  1900   235.2      9.9      8.2    125.4    117.5    112.3    154.6    105.0    114.9    347.8    525.8    321.8 
  1901   144.2    187.7    107.8    427.1    139.7    141.4     55.3     50.6     81.4    188.1    460.5    342.3 
  1902   218.1    227.9    101.5     89.9     78.8     20.6    101.8     51.3    151.5    493.9    554.0    247.8 
  1903   390.8    247.8       .0     99.6     90.2     39.9    179.0    113.2    220.9    288.7    140.1    188.2 
  1904   825.6     74.3     67.7    162.7    132.1    253.8    150.5     41.9    140.8    355.3    242.0    596.6 
  1905   322.7     30.6     49.5    269.3    161.8    201.9     50.1     10.5    169.6    209.7    335.4    293.4 
  1906   202.1      2.2     45.0     49.8     60.1    103.4    180.8    123.2     84.8    655.4    380.4    392.0 
  1907   104.6     58.1    125.2    291.8    138.7    156.6    159.6     82.2     40.4    508.6    410.2     82.1 
  1908   367.4    146.8     91.4     85.0     45.9     64.3     50.3     21.1    227.2    166.9    124.9    621.7 
  1909   241.2    109.6    268.4    175.6     31.9     93.3    131.9     73.0     90.6    269.7    197.6    291.9 
  1910   290.3    142.4     12.2    157.8     26.5     83.9    237.5    116.6     54.1    219.7    601.4    626.5 
  1911   301.5     61.0     79.4      9.5     10.8    155.7     82.2     45.9     77.1    406.3    736.8    748.7 
  1912   105.5     39.7     35.8     81.9    188.0     69.0     71.0     86.2     63.8    234.1    295.1    523.9 
