



                              STATION NAME : ANURADHAPURA (METEO)    
                              LAT:  8.35N    LON: 80.38E    ELEV:   92.5M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1870    -9.9M    -9.9M    -9.9M    -9.9M    28.2I    27.9     28.3     27.4     27.5     -9.9M    26.0     24.6 
  1871    24.5I    24.8I    26.2     27.4     27.7     28.1     28.0     -9.9M    28.3I    27.4     25.6     24.7 
  1872    24.2     24.9     26.8     27.2     27.5I    27.3I    28.6     28.4     27.0     27.0     25.7     24.9 
  1873    24.2     25.1     27.1     27.6     28.2     28.4     28.6I    28.1     28.8     27.5     25.7     25.1I
  1874    24.2     25.4     27.0I    28.2     27.2     28.6     29.1     29.2     28.1     27.6     26.2     24.7I
  1875    24.3     25.2     27.8     27.9I    28.2     27.2     28.1     28.4     28.8     26.7     25.8     24.5 
  1876    24.3     24.7     27.8     28.6     28.0     28.8     29.1     28.7     29.0     27.2     25.1I    24.6I
  1877    25.0     26.8     27.9     28.6     27.9     27.8     28.9     29.3     28.9     27.4     26.3     26.1 
  1878    25.8     26.7     28.5     28.9     28.3     28.0     27.8     28.2I    27.8I    27.7     26.2     25.4 
  1879    24.9     26.4     27.6     29.0     28.3     28.2     27.9     28.2     27.6I    27.1     26.4     25.2 
  1880    24.1     25.9     27.3     28.4     28.9     29.0     28.8     28.6     28.8     27.6     26.3     25.1 
  1881    24.2     25.6     27.7     28.8I    28.9     29.4     29.6     29.3I    29.4     28.7     26.2     25.4 
  1882    25.1     25.9     27.3     28.5     28.7     28.5     27.8     28.0     28.5     27.3     26.8     -9.9M
  1883    24.6     24.1     26.8     28.3I    28.0I    28.0     27.9I    27.9I    28.3I    27.0     25.4I    24.9I
  1884    24.8I    -9.9M    27.6I    28.4I    28.3     29.2I    29.0I    28.7     28.3     26.5     25.0     24.6 
  1885    24.2I    25.1     26.8     27.3     27.8     -9.9M    27.2     28.4I    29.3     27.0     25.9     25.4I
  1886    24.5     -9.9M    27.1     -9.9M    27.9     -9.9M    -9.9M    -9.9M    -9.9M    27.9     26.0     24.6 
  1887    24.8I    25.1     27.2     28.3     28.3I    28.4I    28.8I    29.3     29.7     27.2I    26.4     25.4I
  1888    24.8     26.1     29.2     29.7     28.8     28.0     28.9     29.2     29.0     27.9     26.6     25.0 
  1889    25.0     26.4     28.8     29.1     28.9     28.6     28.9     28.6     27.6     26.8     26.2     25.3 
  1890    24.1     25.5     28.7     28.6     29.0     28.8     28.5     28.7     28.9     28.0     26.5     24.9 
  1891    24.6     26.2     27.9     28.6     28.0     27.6     28.1     28.9     29.5     27.1     26.2     26.0 
  1892    24.8     26.4     27.8     28.6     29.4     29.2     28.2     27.8     28.2     27.1     26.2     24.7 
  1893    24.7     25.6     26.4     28.2     29.0     28.7     27.5     27.2     27.2     26.5     25.0     24.0 
  1894    24.1I    25.9     28.0     28.2I    29.2     29.4     28.8     28.8     28.4     27.4     26.0     24.6 
  1895    24.4     25.7     28.5     28.4     29.2     29.1     28.6     28.8I    28.6     27.0     26.1     24.7I
