



                              STATION NAME : BADULLA (METEO)         
                              LAT:  6.98N    LON: 81.05E    ELEV:  669.6M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1868    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    24.1I    22.7I    20.9I    -9.9M
  1869    20.4I    20.1I    21.4I    22.5I    24.5I    24.3I    24.0I    23.2     23.3I    22.7I    21.8I    21.6 
  1870    20.8     21.8     22.6     23.7I    24.5I    23.7     23.1I    23.3     23.3     22.8     21.8     21.6I
  1871    21.4I    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1872    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    23.1I    22.3I    22.1I
  1873    20.1I    21.2I    23.0     23.3     23.8     23.9I    23.4I    23.4     23.3I    23.1I    22.6I    22.4I
  1874    21.0I    21.8I    22.4I    23.8I    24.1I    24.1I    23.9I    24.0I    23.3I    -9.9M    23.3I    22.2I
  1875    21.6I    21.9I    22.7I    23.5I    23.4I    23.3     23.7     23.9     23.8I    23.8     22.4     20.8 
  1876    20.8I    21.8     24.0I    24.9     24.7I    24.5I    24.1     24.2     24.3I    23.8I    23.0     22.6I
  1877    -9.9M    22.7I    22.3I    20.5     24.6I    24.5I    23.7     24.2     -9.9M    -9.9M    -9.9M    -9.9M
  1878    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    23.8     23.4     24.1     22.5     22.3 
  1879    21.0     21.8     23.1     24.6I    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1881    -9.9M    -9.9M    -9.9M    23.0I    23.8I    24.3I    23.4     23.5     23.1     23.0     23.2     21.5 
  1882    21.1     21.1     23.4     23.4     23.8     -9.9M    23.0     23.1     23.9     23.6     23.1     21.4 
  1883    19.6     19.7     23.4     23.2     22.9     22.8     23.0     23.0     22.5     22.3     21.4     20.4 
  1884    19.9     20.8     22.5     23.6     23.8     23.5     23.3     23.4     23.5     22.8     21.1     20.5 
  1885    20.3     20.6     21.4     22.9     23.3     23.1     22.7     22.4     22.6     23.0I    22.4     21.7I
  1886    -9.9M    -9.9M    -9.9M    -9.9M    23.9I    -9.9M    -9.9M    22.3     22.3     22.0     20.9     -9.9M
  1887    -9.9M    -9.9M    20.1     -9.9M    -9.9M    23.4     -9.9M    22.7     23.3     21.9     21.1     20.0 
  1888    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    23.5I    24.0     24.2     -9.9M    23.8     23.5 
  1889    23.1     22.6     -9.9M    24.0     24.3     24.4     24.4     24.4     24.2     23.5     23.5     23.5 
  1890    21.2     21.6     22.6     23.0I    23.4     23.2     23.1     23.5     23.5I    24.7     24.0     23.7 
  1891    22.1     21.8     22.9I    24.1     24.5     24.5     24.9I    25.3     25.3     23.8     23.6     22.6 
  1892    21.8     22.6     22.8     24.4     25.3     25.2     24.7     23.9     23.9     23.9     23.3     22.0 
  1893    21.3I    21.6I    24.8     24.8     25.2     24.6     24.5     23.6     23.5     -9.9M    24.2     23.7 
  1894    -9.9M    23.6     -9.9M    23.2I    23.0     -9.9M    23.4     23.9     23.3I    23.2     22.4     -9.9M
  1895    20.8     21.4I    -9.9M    -9.9M    24.5I    24.3     24.1I    24.5     24.1     23.3     22.7     21.3 
  1896    20.9     21.1     23.4     24.5     24.9     24.4     24.8     24.4     25.0     23.6     23.2     22.5 
  1897    21.9     22.5     23.5     24.2     25.2I    24.5     24.4     24.6     24.1     23.9     23.2     21.8I
  1898    21.0     22.0     22.4     24.4     24.5     24.3     24.2     24.2     23.9     23.7     22.8I    22.0 
