



                              STATION NAME : BATTICALOA              
                              LAT:  7.72N    LON: 81.70E    ELEV:    7.8M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    -9.9M    27.9     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    28.6     28.3     -9.9M    -9.9M
  1870    25.0I    25.7     27.2     -9.9M    -9.9M    29.0I    29.1I    28.2I    -9.9M    -9.9M    -9.9M    -9.9M
  1871    25.4     25.7     26.9     28.3     29.0     30.1     28.9     29.1     28.8     27.8     26.6I    26.0 
  1872    26.0     26.1     26.9     28.4     29.8     29.7I    29.5     28.5I    28.0     28.0I    26.6     26.0 
  1873    25.1     25.9     26.9     27.9     28.8     29.9     29.5I    28.9I    28.6I    27.7     26.4     26.4 
  1874    26.0     26.6     27.4     28.3     28.7I    28.8     28.7I    27.9     27.7     27.4     26.6     25.7 
  1875    25.3     25.7     27.1     28.3I    28.7     29.0     29.8     29.0     28.2     28.0     26.7     25.7 
  1876    25.9     25.5     27.3     28.8     28.6     29.0I    29.3     28.2     28.2     27.4     25.8     25.0 
  1877    25.9     26.1I    26.8     28.3     28.7     29.5     29.3     29.6I    28.2     27.6     26.7     26.7I
  1878    26.6     27.3     27.9     28.8     29.2     30.0     29.0     28.8     28.7     27.9I    27.3     25.9 
  1879    25.4     26.3     27.0     28.5     29.3I    29.4     28.2     28.1     28.6     27.5     26.7     25.6 
  1880    24.7     26.3     27.4     28.7     29.5     29.4I    29.7I    28.6     28.7     28.0     26.6     25.7I
  1881    25.4     26.4     27.1I    28.9I    29.8     29.8     29.4     29.0     28.1I    27.5     26.5     25.7 
  1882    25.8     26.0     27.5     28.7     29.1     29.4     29.1     28.4     29.2     27.6     26.6     25.5 
  1883    25.5     25.0     27.0     28.4     29.3     29.3     29.3     29.4     28.7     27.0     25.1     24.7 
