



                              STATION NAME : COLOMBO                 
                              LAT:  6.90N    LON: 79.87E    ELEV:    7.3M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    27.1     27.0     26.9     26.2     26.5 
  1870    26.0     26.4     27.3     28.3     28.4I    27.6     27.0     26.4     26.6     26.1I    26.4     26.6 
  1871    25.8     26.2     26.7     27.2     27.7     27.1     26.2     27.1     27.2     27.3     26.9     26.6 
  1872    26.8     26.9     27.5I    27.7     29.1     27.9     27.7     27.2     26.5     27.1     26.6     26.8 
  1873    26.4     26.3     27.5     28.1     27.9     27.5     27.1     27.3     27.1     26.9     26.6     26.5 
  1874    26.3     26.6     27.5     28.4     27.9     27.6     26.9     27.4     27.1     26.7     26.5     26.3 
  1875    26.2I    27.1     27.6     28.2     28.6     27.4     27.4     27.2     27.7     27.0     26.7     26.5 
  1876    26.6     26.3     27.9     28.7     28.3     27.8     27.4     27.3     27.8     26.9     26.6     25.8 
  1877    26.6     27.0     27.6     28.2     28.1     27.3     27.9     27.6     27.0     26.8     26.7     27.1 
  1878    27.2     27.8     28.6     29.2     28.4     27.5     27.7     27.3     27.4     27.1     27.2     26.7 
  1879    26.6     26.8     27.6     28.8     27.8     27.5     27.0     27.3     27.3     26.8     26.7     26.3 
  1880    -9.9M    -9.9M    -9.9M    28.2     28.1     28.2     27.2     27.3     27.6     27.9     26.6     26.6 
  1881    26.3I    27.0     27.8     28.2     29.0     28.1     27.4     27.1     27.5     27.4     26.7E    26.5 
  1882    26.4     26.9     28.1     28.4     28.0     27.5     26.6     27.0     27.8     26.9     26.9     26.1 
  1883    26.5     26.4     27.6     28.2     28.1     27.3     27.3     26.9     27.7     26.9     25.8     25.6 
  1884    26.0I    26.7I    26.9     27.3     27.8     27.5     27.6     27.1     27.1     26.3     26.2     26.1 
  1885    26.8     26.9     27.6     27.9     27.9     26.9     26.9     27.8     28.0     26.5     26.7     26.9 
  1886    26.6     27.2     28.3     28.0     28.2     27.8     27.1     26.6     26.9     27.1     26.8     26.1 
  1887    26.6     26.6     27.0     27.4     27.8     26.5     26.8     26.9     27.0     26.2     26.6     25.9 
  1888    26.1     26.7     27.8     27.8     28.0     27.2     27.6     27.1     27.3     26.9     26.9     26.1 
  1889    26.9     27.0     28.2     28.4     28.1     27.4     27.0     27.5     27.0     27.1     26.8     26.4 
  1890    26.1     26.6     27.5     27.5     28.2I    27.5     27.0     27.2     27.2     26.6     26.2     26.3 
  1891    26.5     26.5     27.1     27.5     27.9     26.9     27.0     27.7     27.5     26.2     26.4     26.5 
  1892    26.0     26.9     27.8     27.8     28.7     27.6     27.4     26.9     27.5     26.7     26.6     26.4 
  1893    26.4     26.2     26.8     27.5     27.3     27.3     27.0     27.1     26.8     26.8     26.1     26.4 
  1894    26.1     26.9     27.6     27.5     28.5     27.2     27.1     27.1     27.3     27.0     26.7     26.6 
  1895    26.5     27.1     27.9     28.5     28.9     28.2     27.5     28.2     28.0     26.6I    27.2     26.5I
