



                              STATION NAME : GALLE                   
                              LAT:  6.03N    LON: 80.22E    ELEV:   12.5M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1873    -9.9M    -9.9M    -9.9M    -9.9M    27.8     26.8     26.1I    26.3     26.3     26.7I    26.3     25.9I
  1874    25.6I    26.4     27.0     27.9     27.3I    26.8     26.0I    26.8     26.4I    26.3     26.4     25.6 
  1875    25.8     26.6     27.1I    27.6I    27.6     26.6     26.5I    26.6I    27.0     26.5     26.1     25.6I
  1876    25.6I    26.2I    27.4     27.7     27.2I    27.2     26.8     27.0     27.2     26.4     26.1     25.3I
  1877    25.9I    26.7I    -9.9M    27.9     27.6     26.8     27.1     26.9     26.3     26.4     26.3     26.5 
  1878    26.2I    27.1     28.0     28.6     28.2     26.8     27.2     26.6     26.6     26.6     26.4     26.2I
  1879    25.4I    26.3     27.2     27.6     27.6I    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1881    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    27.2     26.8     26.6     26.8     -9.9M    -9.9M    -9.9M
  1889    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    26.5     27.2     26.7     26.8     26.2     25.9 
  1890    25.5     26.2     27.3     27.2     27.8     27.1     26.4     26.4     26.6     26.7     25.9     25.7 
  1891    25.8     26.4     27.1     27.3     27.4     26.8     27.2     27.4     27.2     26.1     26.1     26.3 
  1892    25.4     26.2     27.3     27.6     28.1     27.6     27.1     26.3     27.0     26.3     26.1     25.9 
  1893    25.6     26.0     26.9     27.2     27.1     26.8     26.5     26.0     26.2     26.9     25.8     25.5 
  1894    25.7     26.4     27.3     27.4     28.2     27.0     26.9     27.0     27.1     26.5     26.0     25.8 
  1895    25.7     26.5     27.3     27.7     28.3     27.7     26.5     26.9     26.9     26.4     26.5     25.9 
  1896    25.7     26.5     27.6     27.9     27.8     27.0     27.0     27.4     27.0     26.2     26.5     26.2 
  1897    26.6     26.8     28.4     28.0     28.7     27.6     28.0     27.4     27.3     28.1     27.5     26.3 
  1898    26.4     27.8     28.1     28.5     28.8     27.8     27.6     27.9     27.6     27.0     26.4     26.5 
  1899    26.1     26.5     27.8     27.8     28.3     26.9     27.2     27.2     27.3     27.1     27.6     26.1 
  1900    25.9     27.0I    28.2     28.3     29.2     27.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1911    -9.9M    -9.9M    26.9     27.2     27.2     26.9     26.3     26.4     26.5     25.8     26.0     25.7 
  1912    25.0     26.5     27.1     27.5I    27.5     26.3     26.5     26.5     26.5     25.8     25.8     25.4 
  1913    25.3I    26.3     27.3     27.8     28.1     27.6     26.7     26.6     26.6     26.6I    26.4     26.0 
  1914    26.3     26.6     27.6     28.1     28.3I    27.3     27.1     26.7     27.1     26.6     26.7I    26.1 
  1915    26.1     26.8     27.6     28.1     28.0     27.5     26.2     26.7     26.6     26.7     26.1     26.1 
  1916    25.6     26.2     27.0I    27.7     27.1     26.9I    26.5     26.5     26.4I    26.2     25.8     25.5 
  1917    25.3     25.5     26.1     27.6I    27.4     26.6     26.7     26.3     26.0     25.9     26.0     25.3 
  1918    25.0I    25.1     27.0     27.6     27.1     27.0     27.3     26.6     27.0     26.2     26.7     26.0 
  1919    26.4     26.8     27.2I    28.0     -9.9M    27.0     26.3     26.1     26.2     26.8     26.2     25.9 
  1920    26.0     26.6     27.2     26.9     28.0I    26.6     26.2     26.4     26.1     26.3     25.9     25.7 
  1931    25.8     27.0     27.8     27.7     27.5     27.0     26.6     26.1     26.3     26.6     26.1     25.9 
  1932    25.8     26.0     26.9     27.4     27.0     26.9     26.8     26.3     26.8     26.4     25.8     25.8 
  1933    25.9     26.2     27.0     27.6     26.6     26.7     26.3     26.0     26.1     25.7     25.7     25.8 
  1934    25.6     25.7     26.1     27.1     27.4     26.4     26.7     26.6     26.9     25.9     25.7     25.8 
  1935    25.7     26.2     27.1     27.5     27.5     26.6     26.0     26.2     26.6     26.1     26.0     25.6 
  1936    25.4     26.6     26.9     27.8     26.7     26.7     26.6     26.2     26.1     26.3     26.0     26.0 
  1937    25.8     26.6     27.4     27.5     27.5     27.6     26.4     26.0     27.0     26.5     26.1     25.3 
  1938    26.0     26.5     27.1     27.2     28.0     27.4     26.1     26.6     26.6     26.1     26.1     25.8 
  1939    25.3     25.7     26.9     27.2     27.3     27.0     26.3     26.3     27.0     26.4     25.9     25.7 
  1940    25.3     26.1     27.2     27.8     27.6     27.5     26.9     26.7     27.2     26.5     26.2     26.2 
  1941    26.4     26.9     27.3     28.3     28.0     26.9     27.1     26.7     26.6     26.7     26.3     26.0 
  1942    26.2     27.2     27.5     27.5     27.9     26.8     26.5     26.4     26.5     26.2     26.2     25.7 
  1943    26.0     26.1     26.7     26.9     26.7     25.8     25.6     25.9     26.1     26.2     25.4     25.9 
  1944    25.6     26.1     26.6     27.3     27.0     27.2     26.7     27.1     26.8     26.6     26.0     25.9 
  1945    25.6     26.4     26.7     27.8     28.2     27.1     26.5     26.8     26.4     25.9     25.9     25.7 
  1946    25.6     26.6     26.8     27.5     28.3     27.1     27.0     26.9     26.6     26.2     26.1     26.0 
  1947    26.2     26.7     27.3     27.6     28.2     27.2     27.2     26.6     26.4     25.9     26.5     25.9 
  1948    26.3     26.9     27.3     27.3     27.9     27.2     26.7     26.3     26.6     26.3     26.4     25.9 
  1949    25.6     25.8     27.1     26.9     27.9     27.2     26.8     26.7     26.6     26.5     26.3     25.5 
  1950    25.4     26.5     27.3     27.4     27.9     26.8     26.0     26.3     26.1     25.4     26.1     25.4 
  1951    25.1     25.7     26.9     26.9     27.3     26.0     25.8     26.6     26.4     26.6     26.5     26.3 
  1952    25.7     26.5     27.1     27.3     27.7I    26.8     26.4     26.5     26.9     26.1     26.0     25.9 
  1953    25.7     26.0     27.1     27.1     28.4     27.7     25.8     27.0     26.8     26.2     26.1     26.1 
  1954    26.0     26.3     26.7     27.5     27.3     27.0     26.5     26.3     26.3     25.8     25.9     25.6 
  1955    25.9I    26.2     26.8     27.2     26.8     26.0     26.3     26.8     26.7     26.5     25.8     25.5 
  1956    25.6     25.8     26.9     27.3     27.0     26.0     25.9     25.5     25.8     25.5     25.8     25.6 
  1957    25.3     26.0     26.7     27.5     27.3     26.9     25.7     26.5     26.6     26.3     25.9     25.6 
  1958    26.3     26.7I    27.1     27.8I    27.7     27.0     27.5     26.3     26.7     26.1     26.2     26.1 
  1959    26.5     26.6I    27.3     27.5I    27.4     26.4     26.7     26.5     26.4     26.6     26.2     26.1 
  1960    26.0     26.1     27.2     27.6     27.1     27.2     26.1     26.6     26.2     26.3     26.0     26.2 
  1961    26.1     25.9     27.0     27.4     27.0     27.1     26.8     26.1     26.0     25.8     26.2     26.2 
  1962    25.6     26.5     26.9     27.4     27.2     27.5     26.8     26.7     26.7     26.5     26.4     26.1 
  1963    25.6     25.9     26.8     27.4     27.6     27.2     26.4     27.0     26.6     25.7     26.0     26.0 
  1964    26.1     26.5     27.0     28.2     27.9     27.1     26.2     26.7     26.4     26.1     25.9     25.6 
  1965    25.8     25.9     26.6I    27.2     26.8     27.0     26.9     26.5     26.7     26.5     26.6     26.0 
  1966    26.0     26.7     27.2     27.3     28.0     27.0     27.0     27.0     26.8     26.0     26.0     26.0 
  1967    25.7     25.7     26.7     27.0     26.9     26.5     25.8     25.9     26.2     25.5     25.6     25.6 
  1968    25.4     25.9     26.7     27.0     27.2     26.5     25.4     25.9     26.3     26.8     26.0I    -9.9M
  1969    25.9     26.6     27.8     28.2     27.4     27.2     26.8     26.8     27.3     26.5     26.5     26.3 
  1970    26.1     26.7     27.4     27.6     27.6     27.6     26.7     26.7     26.8     26.5     26.4     25.6 
  1971    25.7     26.2     27.2     27.4I    27.6     26.9     26.3     26.3     26.3     26.1     26.0     25.6 
  1972    25.5     26.0     27.3     27.6     27.4     27.5     27.4     27.0     26.8     26.4     26.3I    26.8 
  1973    26.1     27.4     27.5     28.2     27.8     27.0I    26.6     25.6     26.5     26.5     26.1     25.7 
  1974    25.1     25.9     27.0     26.8I    27.1     26.8     26.3     26.1     25.7     26.1     26.5     25.8 
  1975    25.4     26.3     26.8     27.2     27.7     26.6     26.9     26.2I    26.5I    26.1     25.9     25.8 
  1976    25.2     25.8     26.7     27.0     27.5     27.6     26.7     26.5     27.1     26.2     26.1     25.9 
  1977    25.7     26.2     24.6I    27.9     27.4I    26.9     26.5     26.9I    26.9     26.2     26.2     26.0 
  1978    25.9     26.7     27.2     27.8     27.3I    27.0     26.1     26.0     26.6     26.4     26.3     26.5 
  1979    26.7     27.1     27.6     28.1     27.9     27.3     26.5     26.7     26.1     26.5     26.0     26.7I
  1980    26.2     26.9I    27.5     27.8     28.4I    27.6     26.8     26.9     26.9     26.6     -9.9M    26.3I
  1981    25.9I    26.4I    28.1I    27.8I    27.7I    27.1I    27.3     27.4I    26.5I    -9.9M    27.0I    -9.9M
  1982    25.8I    26.8     27.3I    28.0I    27.5     27.1     26.5     27.3     27.4I    26.6     26.6     26.2 
  1983    26.3     27.2     27.9     28.9     28.6     27.9     27.2I    27.3I    26.5     26.8     26.1     26.2 
  1984    25.8     26.0     26.7     27.2     27.5     27.0     26.2I    26.5I    26.4I    26.5     26.5     26.4 
  1985    26.6     26.7     27.8     28.5     28.0     26.1     26.7     26.5     27.1     26.8     26.4     26.5 
  1986    25.8     26.8     27.1     27.9     27.8     27.6     27.0     26.2     26.5     26.7     26.6     26.8 
  1987    26.6     26.9     28.7     28.6     28.3     27.8     28.2I    26.8     27.6     27.0     26.9     26.9 
  1988    26.5     27.1     28.0     27.9     28.3     27.4     26.8     26.8     26.5     27.3I    26.5I    26.2 
  1989    25.8     26.0     26.8     27.6     27.0     26.4     26.2I    26.1I    26.4I    26.2     26.7     26.6 
  1990    26.0     27.4     28.7     28.2     28.2     27.1     26.7     26.8     27.6     27.3     26.8     -9.9M
  1991    26.4     26.9     28.4     28.0     28.1     27.4     27.6     27.2     27.7     26.4     26.7     26.2 
  1992    25.9     26.7     27.8     28.5     27.6I    27.4     26.5     27.0I    26.8     27.1     26.7     26.5 
  1993    26.6     27.0     27.7     28.6     27.8     27.5     26.5     27.1     27.5     27.1     27.1     26.7I
  1994    26.4     27.1     27.8     28.2     28.0     27.2     27.2     27.1     26.9     26.2     26.8     26.8 
  1995    26.8     27.3     27.3     28.2     27.7     26.8     27.0     26.7     27.5I    27.1     26.8     26.6 
  1996    26.5     26.6     27.5     27.8     28.6     27.1     26.6     26.9     26.6     26.6     26.7     26.1 
  1997    26.6     26.9     27.8     28.4     28.2     28.1     27.2     27.5I    27.3     27.3     27.2     27.9 
  1998    27.9     28.3     29.4     29.8     29.7     27.8     27.1     27.5     27.4     27.2     26.9     26.5 
  1999    26.1     27.0     27.8     27.4     27.2     26.8     27.1     27.1     27.1     26.4     27.0I    26.6 
  2000    26.6     27.0     27.3     28.4     28.2     27.3     27.2     26.8     26.9     27.3     27.3     26.6 
