



                              STATION NAME : HAMBANTOTA              
                              LAT:  6.12N    LON: 81.13E    ELEV:   15.5M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    26.0I    26.8     27.8     28.1     28.2I    27.3     27.0     27.0     26.7     26.7     25.8     25.8 
  1870    25.4     26.1     27.0I    28.1     27.8     28.4     28.5I    27.8     27.5     26.6     26.2     26.1I
  1871    25.5     25.8     26.5     27.7     27.6     27.8     27.3     27.8     27.1     27.1     26.4     25.9 
  1872    25.9     26.1     27.0     27.6     27.9     27.9     27.6     27.1     26.3     27.0     26.5     26.1 
  1873    25.8     25.7     26.9     27.3     27.5     27.4     27.5     27.3     26.9     27.1     26.5     26.1 
  1874    25.5     26.1     26.8     27.9     27.3     28.0     27.2     27.1     27.2     26.4     26.6     25.9 
  1875    26.0     26.2     26.9     27.8     27.6     26.9     27.1     27.3     26.9     27.3     26.5     25.6I
  1876    25.8     26.0     27.4     28.2     27.2     28.0I    28.2     27.6     27.4     26.8     26.2     25.8 
  1877    26.3     26.8     27.2     28.3     27.5     26.4     26.7     26.6     26.5     26.5     26.7     26.8 
  1878    26.7     27.3     -9.9M    -9.9M    -9.9M    27.4     27.3     26.6     26.9     26.7     26.7     26.6 
  1879    26.3     26.4     27.4     28.3     27.6     26.7     26.6     27.0     27.3     26.9     27.1     26.2 
  1880    25.3     26.4I    27.3     28.0     27.5     27.9     27.8     27.5     27.7     27.7     26.7     26.2 
  1881    25.9     26.6     27.1     28.2     28.7     28.3     27.3     27.2     26.7     26.7     26.4     26.3 
  1882    26.2     26.4     27.4     28.4     27.8     27.3     26.7     26.1     27.1     26.5     26.7     26.4 
  1883    25.9     25.6     26.8     27.6     27.3     27.2     26.9     27.3     27.4     26.8     25.9     25.8 
  1884    25.8     26.0     26.6     27.2     26.8     26.9     27.1     26.6     26.3     26.3     25.3     24.7 
  1885    25.1     25.6     26.5     27.1     27.2     26.5     26.5     26.8     26.7     26.0     25.8     25.4 
  1886    25.3     25.5     26.7     -9.9M    -9.9M    -9.9M    26.3     -9.9M    -9.9M    26.2     -9.9M    25.4I
  1887    -9.9M    25.3     25.9     -9.9M    26.7I    26.6     26.8     26.7I    27.1     26.3     26.1     25.3 
  1888    25.8     26.0     27.3     28.1     27.5     26.8     27.3     27.1     27.0     26.9     26.7     26.0 
  1889    26.8     27.1     27.4     27.7     27.7     27.6     27.5     27.4     26.6     27.2     26.5     25.9 
  1890    25.7     26.4     27.6     27.7I    28.2I    -9.9M    -9.9M    27.5     27.0I    26.6     26.3     -9.9M
  1892    -9.9M    -9.9M    26.8     27.9     27.5     27.7     27.8     27.2     26.8     26.8     26.4     25.8 
  1893    25.1     25.5     25.9     26.8     27.5I    27.4     28.9     25.9I    27.2I    27.1     25.8     25.8 
  1894    25.2     26.0     26.1I    27.4I    28.4I    27.3I    28.4     28.0     27.0     26.7     -9.9M    -9.9M
  1896    24.9     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    28.1     27.2     26.5     26.5     26.5     26.1 
  1897    25.8     25.6     27.6     28.0     28.0     27.7     27.6     28.0     27.2     28.8I    27.4     25.7 
  1898    25.7     26.4     26.2     26.8     28.0     28.2     27.6     -9.9M    26.6     26.8     26.3     25.6 
  1899    25.5     25.8     26.7     26.8     27.4     26.9     27.7     27.8     -9.9M    -9.9M    -9.9M    -9.9M
  1900    -9.9M    -9.9M    -9.9M    -9.9M    28.5I    27.4     27.7     27.6I    27.0     28.0     27.1     27.3 
  1901    27.3I    28.2I    28.4     -9.9M    29.0     28.3     28.6     -9.9M    -9.9M    29.0     28.5I    -9.9M
  1902    -9.9M    27.4     28.0     27.9     -9.9M    28.5I    -9.9M    -9.9M    27.6     -9.9M    26.9     26.3 
  1903    26.8     26.6     27.1     27.8     28.0     27.4     28.4     28.3     28.9     27.5     27.1     27.0 
  1904    25.6     25.8     26.6     28.0     28.8     27.9     26.8     28.0     27.1     27.4     26.8     26.1 
  1905    26.3     26.6     27.6     27.5     -9.9M    -9.9M    -9.9M    -9.9M    26.1I    26.7     26.2I    25.8I
  1906    25.7     27.0     27.6     27.8     27.2     26.7     28.2     27.4     28.6     27.1     26.8     25.9 
  1907    26.2     26.7     26.8     27.4     28.0     28.2     28.1     28.0     28.0     27.3     26.3     25.9 
  1908    26.2     26.3     26.7     28.1     27.6     27.6     28.4     27.3     27.6     27.1     26.5     26.0 
  1909    25.8     26.2     26.6     27.5     28.1     27.7     27.1     27.3     27.7     26.7     27.0     26.0 
  1910    25.9     26.4     26.7     27.4     28.0     28.7     27.8     28.0     27.4     27.5     26.4     25.8 
  1911    25.7     26.2     27.3     28.5     28.7     28.2     27.6     28.5     27.7     26.5     26.2     25.9 
  1912    25.3     26.4     27.2     28.0     28.0     27.1     28.4     28.2     27.7     26.8     26.0     25.9 
  1913    -9.9M    26.2     26.7     27.9     28.5     28.7     28.5     28.3     27.8     27.3     26.8     25.4 
  1914    -9.9M    26.2     27.2     27.7     28.5     -9.9M    28.2     28.6     28.1     27.0     26.8     26.1 
  1915    26.0     27.0     27.8     28.3     29.3     28.9     27.2     27.6     27.4     27.9     27.0     26.2 
