



                              STATION NAME : JAFFNA                  
                              LAT:  9.68N    LON: 80.03E    ELEV:    3.1M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1887    25.6     25.9     27.7     29.5     28.7     28.1     28.3     28.1     27.5     26.1     25.8     24.7I
  1888    24.8I    25.2     27.4     29.3     28.6I    28.0     27.6     27.3     27.4     26.9I    -9.9M    24.4 
  1889    24.7I    25.5I    27.9I    29.5I    29.6I    28.4I    27.4I    27.5I    27.8     27.3     26.3     25.1 
  1890    24.0     25.3     28.5     29.5     29.2I    28.4     27.5     27.2     27.0     26.6     25.9     25.4 
  1891    25.0     25.6     27.0     29.0I    28.9     27.8     27.3     27.9     28.0     26.7I    26.2     25.3 
  1892    25.0     25.8     27.6     29.0I    28.9     28.3     27.8     27.1     26.9     -9.9M    26.1I    24.7 
  1893    -9.9M    -9.9M    -9.9M    28.4     28.4     28.0     28.1I    26.9I    26.8     27.2     25.7     24.3 
  1894    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    29.0     27.7     29.1     28.6     27.6     27.1 
  1895    26.3     26.6     29.4I    30.7     30.6     30.3     29.2     29.2     29.1     28.7     27.7     26.3 
  1896    25.9I    27.7     29.9     32.3     30.8     30.1     29.6     29.1     29.9     28.6     27.7     26.8 
  1897    26.5     27.9     29.8     30.7     30.7     29.7     29.2     29.7     29.0     28.3I    26.7     25.1 
  1898    24.8     26.1     27.4     30.8     30.2     29.5     29.5     29.3     28.1     27.7     26.5     25.8 
  1899    25.3     26.1     28.5     29.6     29.7     28.7     28.9     28.6     28.5     27.6     26.3     25.3 
  1900    25.8     27.3I    29.8     30.4     30.1     29.2     28.4     28.6     28.3     28.2I    -9.9M    26.3 
  1901    26.6     27.6     28.4     30.3     29.7     28.9     28.5     28.5     28.5     28.0     26.4     25.5 
  1902    25.1     26.0     28.4     30.0I    -9.9M    29.3     28.6     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1903    26.1     27.3     28.8I    30.3I    29.4I    -9.9M    28.5I    28.0I    -9.9M    -9.9M    -9.9M    -9.9M
  1904    25.1     25.2I    -9.9M    -9.9M    30.0I    28.5     28.2     -9.9M    -9.9M    28.0     26.8     25.2 
  1905    25.2     26.9     29.2     28.9     29.4     28.7     28.7     28.7     -9.9M    27.9     27.2     26.1 
  1906    26.0I    27.4I    -9.9M    -9.9M    32.3     -9.9M    -9.9M    28.4I    28.8     27.8I    -9.9M    26.0 
  1907    -9.9M    -9.9M    28.5     29.6     30.1     29.0     28.9     28.2     28.6     28.1I    -9.9M    25.5I
  1908    25.3     -9.9M    28.0I    29.9     29.0     28.2     28.4     28.3     -9.9M    -9.9M    -9.9M    -9.9M
  1910    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    28.1     27.5     27.6     27.5     26.1     25.0 
  1911    25.0     25.8     28.5     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1914    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    27.1     26.4     25.6 
  1915    25.7     26.7I    28.5     30.5     30.3     29.7     28.4     28.9     28.2     28.4     27.1     25.2 
  1916    24.8     26.1     28.0     30.7     30.2I    29.0     28.6     28.5     28.0     27.7     26.5     25.0 
