



                              STATION NAME : KANKESANTURAI           
                              LAT:  9.80N    LON: 80.07E    ELEV: ******M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1951    26.1     25.3     27.9     29.2     30.8     30.4     29.6     29.8     29.3     28.7     27.0     26.3 
  1952    25.9     27.1     27.5     29.7     30.5     30.0     29.1     29.5     29.4     28.0     26.4     26.2 
  1953    26.2     26.5     28.1     29.5     31.0     30.2     29.2     29.5     29.3     27.5     26.5     26.1 
  1954    25.9     26.8     27.6     29.5     30.2     30.2     29.8     29.2     29.2     27.3     26.6     25.6 
  1955    26.3     26.3     27.8     29.1     28.9     29.4     29.0     28.2     28.8     27.8     26.2     25.7 
  1956    25.8     26.0     27.4     29.8     30.1     29.1     28.9     29.0     28.7     27.4     26.5     26.1 
  1957    26.2     26.2     26.6     29.1     30.2     30.4     29.4     29.0     29.1     27.8     26.6     26.1 
  1958    26.7     26.7     28.4     29.8     29.6     30.1     29.4     28.6     29.7     27.8     27.1     26.9 
  1959    26.6     26.6     27.4     29.7     30.2     29.7     29.7     29.9     29.8     28.6     25.3     26.2 
  1960    26.1     26.4     27.4     28.9     29.3     30.1     28.9     29.5     29.4     28.3     25.7     26.4 
  1961    26.1     26.3     28.5     29.8     30.0     29.3     29.1     29.6     29.3     28.0     26.7     25.9 
  1962    25.6     26.4     27.4     29.3     29.6     29.3     29.6     29.2     28.9     27.1     26.6     26.5 
  1963    25.5     26.1     27.0     28.6     30.5     30.1     29.7     29.4     29.7     27.9     26.6     26.1 
  1964    26.2     27.6     28.6     30.4     31.1     30.3     29.3     29.0     28.9     28.0     26.1     26.6I
  1965    26.4I    26.5     27.4I    28.3     29.3     29.7     29.6     28.4     29.1     27.6     26.7     25.9 
  1966    26.2     27.1     28.2     29.4     30.0     29.4     29.1     29.3     28.3     27.2     27.1     26.1 
  1967    25.6     25.9     27.7     29.4     29.9     29.3     29.1     28.8     28.9     26.8     25.9     25.6 
  1968    25.9     25.7     27.6     28.4     29.5     29.7     28.9     29.2     28.5     27.9     25.8I    -9.9M
  1969    25.2     25.8I    28.2I    30.2     30.4     29.8     29.4     29.0     29.4     27.6     26.8     25.9 
  1970    25.9     27.1     27.9     29.3     29.9     29.5     29.1     29.0     29.0     27.7     26.2     25.4 
  1971    25.5     25.6     27.3     29.0     29.8     29.2     29.1     28.3     28.6     27.6     26.5     24.9 
  1972    25.3     25.4     26.5     29.5     29.0     29.9     28.8     28.8     29.0     27.6     27.0     26.4 
  1973    26.1     27.3     28.0     30.8     30.8     30.3     29.8     28.2     28.8     28.1     26.4     25.7 
  1974    25.0     25.8     27.2     29.5     29.8     29.7     29.0     29.4     28.6     28.0     26.8     26.3 
  1975    25.8     26.6     27.6     29.8     30.3     29.5     28.9     29.4     28.4     27.6     26.5     25.4 
  1976    25.8     25.4     26.4     27.1     30.2     30.1     29.9     29.3     29.3     28.2     26.9     26.3 
  1977    25.2     26.8     27.8     29.9     29.4     29.5     29.5     28.8     29.3     27.3     26.9     26.2 
  1978    26.1     26.7     27.6     29.8     30.3     30.1     29.5     28.8     29.2     28.4     26.9     26.2 
  1979    26.4     26.7     27.4     30.0     30.4     30.3     29.8     29.3     27.7     27.6     26.4     26.3 
  1980    26.3     25.8     27.7     29.7     30.6     30.3     30.0     29.3     29.2     27.6     26.7     25.7 
  1981    24.9     25.2     28.0     29.5     29.8     29.4     29.0     28.7     27.9     27.7     26.3     25.3 
  1982    25.5     24.9     27.0     29.2     29.6     29.5     29.3     29.7     29.4     28.3     26.8     26.6 
  1983    26.2     26.6     28.0     30.0     31.1     30.9     30.6     30.1     28.6     28.3     27.0     25.8 
  1984    25.6     26.0     26.8     29.1     30.9     30.4     28.4     29.1     28.1     27.8     26.7     25.7I
  1985    26.0     26.3     28.2     30.3     30.8     29.1     28.8     28.7     28.7     27.9     26.2     26.4 
  1986    25.8I    25.8I    27.8     29.8     -9.9M    -9.9M    -9.9M    29.5I    -9.9M    27.8     26.7I    26.7 
  1987    -9.9M    -9.9M    27.7     30.4     30.5     31.2I    30.4     30.0     30.1     -9.9M    -9.9M    -9.9M
 
 
 
 
