



                              STATION NAME : KATUGASTOTA             
                              LAT:  7.33N    LON: 80.63E    ELEV:  417.1M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1951    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    24.2     23.0 
  1952    23.3     24.4     25.3     26.0     25.4     24.7     24.8     24.1     24.3     23.8     23.4     23.3 
  1953    22.8     23.5     25.2     25.7     26.0     25.8     23.7     24.7     24.2     24.5     23.8     23.4I
  1954    23.7     24.2     24.9     25.6     25.3     24.5     24.2     24.0     24.2     23.9     23.4     23.4 
  1955    23.4     23.7     25.2     25.4     24.4     23.7     23.7     24.2     24.2     23.9     23.5     22.8 
  1956    22.9     23.5     25.3     26.0     25.0     24.1     24.1     23.4     23.8     23.1     24.3     23.0 
  1957    22.9     23.6     24.9     26.1     25.7     24.7     24.3     24.3     24.4     24.6     24.5     23.4 
  1958    24.1     24.3     25.6     26.2     25.5     24.9     25.0     24.1     24.6     24.0     24.2     23.8 
  1959    24.2     24.6     25.7     26.1     25.7     24.3     24.3     24.2     24.1     24.1     24.1     23.9 
  1960    23.4     23.4     24.9     25.8     24.9     24.6     24.3     24.4     24.2     24.4     23.5     23.6 
  1961    24.1     23.2     25.2     25.8     24.9     24.0     24.0     24.3     23.9     24.3     24.1     23.5 
  1962    23.0     24.3     24.7     25.7     25.4     24.3     24.4     24.2     23.9     24.0     23.8     23.4 
  1963    23.0     23.9     25.2     25.5     26.0     24.5     24.1     24.3     24.4     23.9     24.2     23.6 
  1964    23.4     24.2     25.2     26.2     25.6     24.6     24.0     23.9     24.1     23.8     23.6     22.8 
  1965    23.1     23.6     24.8     25.5     24.6     24.6     24.5     24.1     24.1     24.7     24.4     23.5 
  1966    23.8     24.6     25.6     25.9     25.6     24.7     25.1     25.2     24.5     24.5     24.5     23.6 
  1967    22.8     23.6     24.9     25.9     25.6     24.7     24.4     24.4     24.1     24.1     24.2     23.4 
  1968    23.1     23.8     25.2     25.6     25.3     24.6     23.7     24.2     23.9     24.5     24.2I    -9.9M
  1969    23.4     24.3     26.3     26.6     25.7     24.8     24.8     24.7     24.7     24.6     24.4     23.9 
  1970    23.4     24.1     25.1     25.9     25.4     25.1     24.3     24.9     24.2     24.0     24.3     22.4 
  1971    23.2     23.6     24.8     25.6     25.2     24.2     24.0     24.0     23.9     23.8     23.8     22.8 
  1972    23.0     23.3     25.3     26.1     24.7     25.4     25.0     24.1     24.8     24.8     24.5     24.0 
  1973    23.5     25.6     26.3     26.6     26.1     25.4     25.1     24.1     24.4     24.8     24.0     23.1 
  1974    21.9     23.6     25.1     25.5     25.4     24.6     24.2     24.1     23.8     23.5     24.2     23.3 
  1975    22.4     24.1     25.0     25.7     25.3     24.5     24.2     24.4     24.1     23.9     23.9     23.3 
