



                              STATION NAME : KATUNAYAKA              
                              LAT:  7.17N    LON: 79.88E    ELEV:    8.5M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1961    26.9     26.0     27.4     27.7     27.5     27.3     27.0     27.4     26.5     26.6     26.7     26.5 
  1962    26.3     27.2     27.2     27.6     27.7     27.8     27.4     27.2     27.0     26.6     26.8     26.9 
  1963    26.2     26.6     27.1     27.5     27.7     27.5     27.0     27.8     27.2     26.4     26.6     26.5 
  1964    26.8     27.5     27.5     28.2     28.5     27.4     26.9     26.9     27.3     26.6     26.3     26.3 
  1965    27.0     26.9     27.2     27.7     27.8     27.7     27.8     27.4     27.3     26.7     27.1     26.3 
  1966    26.7     27.7     27.6     27.6     28.4     27.3     27.7     28.2     27.2     26.8     26.7     26.3 
  1967    26.0     26.5     27.2     27.9     27.8     27.4     27.1     27.1     26.8     26.2     26.8     26.7 
  1968    26.6     26.4     27.9     27.6     28.3     27.5     26.9     27.5     27.2     26.9     26.7I    26.5I
  1969    26.7     26.8     27.8     28.3     28.0     27.9     27.6     27.2     27.8     26.9     26.8     26.5 
  1970    26.5     27.0     28.2     28.3     28.1     28.7     27.5     28.0     27.7     27.2     26.7     25.6 
  1971    26.3     26.5     27.6     28.1     28.3     27.7     27.4     27.6     27.1     27.1     27.1     25.9 
  1972    26.6     26.3     27.6     28.3     27.6     28.3     28.2     28.0     27.7     27.1     27.0     27.2 
  1973    26.8     28.6     28.3     29.1     28.4     28.0     27.9     27.7     28.1     27.3     26.7     26.2 
  1974    25.8     27.0     27.6     27.6     27.8     27.8     27.2     27.3     26.9     26.7     26.6     26.8 
  1975    26.2     27.3     28.0     28.1     28.2     27.6     27.5     27.5     27.1     27.7     26.7     26.1 
  1976    26.1     27.0     27.5     28.0     28.6     28.2     27.9     27.6     27.8     27.0     27.0     27.1 
  1977    26.5     27.5     28.0I    28.6     27.7     28.4     27.8     27.6     28.3     27.1     27.2     27.4 
  1978    28.0     28.5     28.4     28.6     27.9     27.8     27.5     27.7     28.1I    27.2     26.8     27.5 
  1979    28.1     28.0     28.1     28.8     29.2     28.5     28.5     28.3I    27.5I    -9.9M    27.1     27.6 
  1980    27.5     27.7     28.3     28.7     29.5     28.4     28.6     28.0     27.8     27.1     27.1     26.7I
  1981    26.4     26.8     29.0     28.7     28.3     27.9     28.3     28.2     27.3     26.9     27.1     27.1 
  1982    27.8     27.1I    28.1     28.9     28.2     27.6     27.4     27.5     27.8     27.1     26.7     27.0 
  1983    27.6     28.0     28.8     30.0     29.3I    28.6I    28.1I    28.2I    -9.9M    27.4I    26.7     27.0I
  1984    26.8     27.0     27.8     27.6     28.5     27.7     26.8     27.4     27.0     26.6     26.3     26.2 
  1985    27.1     27.1     27.8     28.7     28.3     26.7     27.7     27.6     27.9     27.6     26.9     27.4 
  1986    26.7     27.5     28.0I    29.0     29.0     29.0     28.3     27.3     27.6     27.3     27.8     28.6 
  1987    28.2     27.6I    29.0     28.9I    29.0     28.8     28.7     27.6     27.9     27.1I    27.1I    27.2 
  1988    27.9I    27.3     28.4     28.1     28.3     28.0I    27.9     27.9     27.5     28.0I    26.7I    27.2I
  1989    27.3     26.6     27.3     28.6     28.3     27.1     27.2I    27.7I    27.5I    27.0     27.2     27.5 
  1990    26.5     28.2     28.0     28.4     28.2     28.3     27.1     27.9     28.0     27.3     26.8     27.1 
  1991    27.0     27.2     28.2     28.3     28.6     27.8I    27.9I    28.0     28.2     26.9     26.9     26.8 
  1992    27.0     26.8     27.9     28.8     28.2     28.0     27.2     27.8     27.3     27.0     26.9     26.5 
  1993    27.1     27.7     27.9     28.4     28.3     28.3     27.7     28.1     27.8     27.3     27.2     26.9 
  1994    27.0     27.1     28.1     28.4     28.6     28.2     28.0     27.8     27.2     26.7     27.1     27.8 
  1995    27.4     27.9     28.1     28.0     28.4     27.9     27.9     27.9     28.2I    27.8     27.1     27.4 
  1996    27.1     27.7     28.3     28.5     29.1     27.8     27.5     28.1     27.7     27.3     27.0     26.4 
  1997    26.9     26.7     28.1     28.4     28.2I    28.2     28.1     28.6     27.5     27.3     27.3     27.4 
  1998    28.1     29.2     29.3     29.4     29.4     28.7     28.2     27.9     28.2     27.6     27.2     27.0 
  1999    26.6     28.0     28.2     28.0I    27.7     27.7I    28.0     27.9     28.1     26.7     27.2     26.8 
  2000    26.8     27.5     27.9     28.6     29.0     27.5     27.9     27.4     27.2     27.5     27.4     26.9 
  2001    26.9     26.6     28.6     28.1     28.9     28.2     27.8I    28.3     27.8     27.9     27.3     27.4 
  2002    27.4     28.2     28.3     28.1     28.3     28.0     28.3     27.8     28.5     27.0     27.2     26.9 
  2003    26.9     27.7     27.9     28.5     28.8     28.3     28.1     28.4     28.2     27.5     27.4     27.4 
  2004    28.1     27.7     28.4     28.8     28.3     27.8     27.8     28.1     27.2     27.1     27.1     26.7 
  2005    27.4     27.8     28.2     28.1     28.6     28.4     27.9     28.6     27.9     27.2     26.4     26.5 
  2006    26.6I    27.6     27.6     28.9     28.5     28.2     28.3     27.6     27.8     27.3     27.3     27.0 
  2007    27.1     27.5     28.2     28.1     28.8     28.4     28.1     28.2     27.8     27.0     27.2     26.9 
  2008    27.0     27.2     27.4     27.7     28.8     27.9     27.6     27.8     27.7     27.4     27.5     27.0 
  2009    26.8     27.0     27.8     28.5     29.3     28.2     28.1     28.3     28.1     27.7     27.1     27.3 
  2010    27.1     28.4     28.7     28.6     28.6     28.4     27.9     28.1     28.1     27.8     26.9     26.2 
  2011    26.2     26.9     28.2     27.8     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
